"DateTime","(deg F) Mean Temperature (CFSR) at Tennessee, 2010-01-01 to 2019-03-14"
"2010-03-26:12 AM",43.8561
"2010-03-27:12 AM",46.7103
"2010-03-28:12 AM",51.0692
"2010-03-29:12 AM",46.9612
"2010-03-30:12 AM",47.5693
"2010-03-31:12 AM",54.4825
"2010-04-01:12 AM",61.0905
"2010-04-02:12 AM",63.7653
"2010-04-03:12 AM",60.991
"2010-04-04:12 AM",61.1262
"2010-04-05:12 AM",68.596
"2010-04-06:12 AM",68.0526
"2010-04-07:12 AM",66.6979
"2010-04-08:12 AM",56.392
"2010-04-09:12 AM",50.6372
"2010-04-10:12 AM",52.9671
"2010-04-11:12 AM",57.0038
"2010-04-12:12 AM",60.3748
"2010-04-13:12 AM",63.1663
"2010-04-14:12 AM",65.3292
"2010-04-15:12 AM",66.1858
"2010-04-16:12 AM",67.2039
"2010-04-17:12 AM",60.2551
"2010-04-18:12 AM",52.1071
"2010-04-19:12 AM",53.847
"2010-04-20:12 AM",56.2356
"2010-04-21:12 AM",55.969
"2010-04-22:12 AM",59.7771
"2010-04-23:12 AM",65.6535
"2010-04-24:12 AM",65.4373
"2010-04-25:12 AM",63.8713
"2010-04-26:12 AM",54.0331
"2010-04-27:12 AM",52.1271
"2010-04-28:12 AM",51.8632
"2010-04-29:12 AM",59.3348
"2010-04-30:12 AM",67.4193
"2010-05-01:12 AM",71.2458
"2010-05-02:12 AM",71.8596
"2010-05-03:12 AM",68.8847
"2010-05-04:12 AM",67.2805
"2010-05-05:12 AM",68.8678
"2010-05-06:12 AM",71.046
"2010-05-07:12 AM",72.7678
"2010-05-08:12 AM",59.549
"2010-05-09:12 AM",51.2461
"2010-05-10:12 AM",50.3272
"2010-05-11:12 AM",62.098
"2010-05-12:12 AM",72.5144
"2010-05-13:12 AM",74.5794
"2010-05-14:12 AM",73.848
"2010-05-15:12 AM",71.6173
"2010-05-16:12 AM",68.3238
"2010-05-17:12 AM",66.2625
"2010-05-18:12 AM",60.5838
"2010-05-19:12 AM",60.9139
"2010-05-20:12 AM",66.2882
"2010-05-21:12 AM",68.0169
"2010-05-22:12 AM",72.0804
"2010-05-23:12 AM",74.6911
"2010-05-24:12 AM",74.8938
"2010-05-25:12 AM",72.5468
"2010-05-26:12 AM",72.6523
"2010-05-27:12 AM",73.6381
"2010-05-28:12 AM",73.1424
"2010-05-29:12 AM",72.2928
"2010-05-30:12 AM",71.7733
"2010-05-31:12 AM",71.8455
"2010-06-01:12 AM",74.6634
"2010-06-02:12 AM",76.4724
"2010-06-03:12 AM",76.4121
"2010-06-04:12 AM",74.8087
"2010-06-05:12 AM",76.6195
"2010-06-06:12 AM",75.4862
"2010-06-07:12 AM",71.3748
"2010-06-08:12 AM",74.363
"2010-06-09:12 AM",76.6994
"2010-06-10:12 AM",77.2299
"2010-06-11:12 AM",79.1771
"2010-06-12:12 AM",79.8019
"2010-06-13:12 AM",81.0401
"2010-06-14:12 AM",81.8116
"2010-06-15:12 AM",82.5654
"2010-06-16:12 AM",78.822
"2010-06-17:12 AM",80.2832
"2010-06-18:12 AM",81.1576
"2010-06-19:12 AM",81.3871
"2010-06-20:12 AM",80.973
"2010-06-21:12 AM",81.8852
"2010-06-22:12 AM",82.684
"2010-06-23:12 AM",82.641
"2010-06-24:12 AM",80.6695
"2010-06-25:12 AM",80.672
"2010-06-26:12 AM",81.4955
"2010-06-27:12 AM",81.1366
"2010-06-28:12 AM",81.7455
"2010-06-29:12 AM",78.7192
"2010-06-30:12 AM",76.3698
"2010-07-01:12 AM",73.1592
"2010-07-02:12 AM",72.9223
"2010-07-03:12 AM",77.2916
"2010-07-04:12 AM",78.6569
"2010-07-05:12 AM",77.6977
"2010-07-06:12 AM",79.7967
"2010-07-07:12 AM",81.1933
"2010-07-08:12 AM",81.7785
"2010-07-09:12 AM",77.2374
"2010-07-10:12 AM",79.016
"2010-07-11:12 AM",78.6654
"2010-07-12:12 AM",77.0508
"2010-07-13:12 AM",77.2975
"2010-07-14:12 AM",79.8724
"2010-07-15:12 AM",82.4756
"2010-07-16:12 AM",81.6705
"2010-07-17:12 AM",79.4737
"2010-07-18:12 AM",78.5064
"2010-07-19:12 AM",81.5653
"2010-07-20:12 AM",81.2019
"2010-07-21:12 AM",82.1401
"2010-07-22:12 AM",82.9908
"2010-07-23:12 AM",84.3276
"2010-07-24:12 AM",83.5425
"2010-07-25:12 AM",85.5385
"2010-07-26:12 AM",84.6171
"2010-07-27:12 AM",78.3752
"2010-07-28:12 AM",80.4994
"2010-07-29:12 AM",81.8982
"2010-07-30:12 AM",80.9452
"2010-07-31:12 AM",79.6194
"2010-08-01:12 AM",82.2681
"2010-08-02:12 AM",81.3436
"2010-08-03:12 AM",84.4988
"2010-08-04:12 AM",87.737
"2010-08-05:12 AM",84.8116
"2010-08-06:12 AM",79.7016
"2010-08-07:12 AM",77.6955
"2010-08-08:12 AM",80.4951
"2010-08-09:12 AM",82.3285
"2010-08-10:12 AM",81.9122
"2010-08-11:12 AM",85.0028
"2010-08-12:12 AM",85.5718
"2010-08-13:12 AM",85.4274
"2010-08-14:12 AM",85.6756
"2010-08-15:12 AM",83.3158
"2010-08-16:12 AM",80.7418
"2010-08-17:12 AM",78.2161
"2010-08-18:12 AM",77.8024
"2010-08-19:12 AM",77.6959
"2010-08-20:12 AM",78.5379
"2010-08-21:12 AM",80.2155
"2010-08-22:12 AM",79.3918
"2010-08-23:12 AM",75.765
"2010-08-24:12 AM",73.2889
"2010-08-25:12 AM",72.2775
"2010-08-26:12 AM",72.9021
"2010-08-27:12 AM",73.0839
"2010-08-28:12 AM",77.8269
"2010-08-29:12 AM",74.4093
"2010-08-30:12 AM",74.862
"2010-08-31:12 AM",74.9689
"2010-09-01:12 AM",75.6703
"2010-09-02:12 AM",76.0782
"2010-09-03:12 AM",73.5939
"2010-09-04:12 AM",63.0671
"2010-09-05:12 AM",62.2697
"2010-09-06:12 AM",68.5983
"2010-09-07:12 AM",75.7773
"2010-09-08:12 AM",71.3435
"2010-09-09:12 AM",70.106
"2010-09-10:12 AM",71.049
"2010-09-11:12 AM",76.3432
"2010-09-12:12 AM",69.5802
"2010-09-13:12 AM",65.5459
"2010-09-14:12 AM",70.1231
"2010-09-15:12 AM",75.1894
"2010-09-16:12 AM",76.8763
"2010-09-17:12 AM",73.0729
"2010-09-18:12 AM",70.6613
"2010-09-19:12 AM",72.765
"2010-09-20:12 AM",73.9695
"2010-09-21:12 AM",77.7612
"2010-09-22:12 AM",78.391
"2010-09-23:12 AM",78.6807
"2010-09-24:12 AM",77.0194
"2010-09-25:12 AM",69.8977
"2010-09-26:12 AM",63.9288
"2010-09-27:12 AM",60.3356
"2010-09-28:12 AM",57.2317
"2010-09-29:12 AM",60.4787
"2010-09-30:12 AM",63.9757
"2010-10-01:12 AM",62.3134
"2010-10-02:12 AM",58.4899
"2010-10-03:12 AM",51.4458
"2010-10-04:12 AM",48.5067
"2010-10-05:12 AM",49.8911
"2010-10-06:12 AM",51.8412
"2010-10-07:12 AM",60.5143
"2010-10-08:12 AM",62.7591
"2010-10-09:12 AM",61.5115
"2010-10-10:12 AM",62.5069
"2010-10-11:12 AM",66.1626
"2010-10-12:12 AM",67.2777
"2010-10-13:12 AM",63.0462
"2010-10-14:12 AM",56.4606
"2010-10-15:12 AM",55.8374
"2010-10-16:12 AM",51.9597
"2010-10-17:12 AM",56.6782
"2010-10-18:12 AM",62.8923
"2010-10-19:12 AM",60.786
"2010-10-20:12 AM",55.7411
"2010-10-21:12 AM",58.2607
"2010-10-22:12 AM",55.4461
"2010-10-23:12 AM",61.8211
"2010-10-24:12 AM",64.978
"2010-10-25:12 AM",66.9776
"2010-10-26:12 AM",68.3334
"2010-10-27:12 AM",62.6783
"2010-10-28:12 AM",56.7934
"2010-10-29:12 AM",44.0463
"2010-10-30:12 AM",48.4774
"2010-10-31:12 AM",52.8939
"2010-11-01:12 AM",55.2175
"2010-11-02:12 AM",56.2192
"2010-11-03:12 AM",52.8472
"2010-11-04:12 AM",48.9189
"2010-11-05:12 AM",41.8921
"2010-11-06:12 AM",36.7169
"2010-11-07:12 AM",38.6989
"2010-11-08:12 AM",46.5987
"2010-11-09:12 AM",50.8887
"2010-11-10:12 AM",54.1494
"2010-11-11:12 AM",55.4531
"2010-11-12:12 AM",55.9634
"2010-11-13:12 AM",56.1454
"2010-11-14:12 AM",48.0907
"2010-11-15:12 AM",45.0392
"2010-11-16:12 AM",47.7903
"2010-11-17:12 AM",43.8118
"2010-11-18:12 AM",46.8252
"2010-11-19:12 AM",44.2492
"2010-11-20:12 AM",50.6962
"2010-11-21:12 AM",56.6587
"2010-11-22:12 AM",60.6069
"2010-11-23:12 AM",58.7014
"2010-11-24:12 AM",53.9006
"2010-11-25:12 AM",60.28
"2010-11-26:12 AM",38.3828
"2010-11-27:12 AM",35.1568
"2010-11-28:12 AM",37.9117
"2010-11-29:12 AM",45.5225
"2010-11-30:12 AM",49.2341
"2010-12-01:12 AM",32.4363
"2010-12-02:12 AM",34.1548
"2010-12-03:12 AM",37.2121
"2010-12-04:12 AM",40.3597
"2010-12-05:12 AM",31.2373
"2010-12-06:12 AM",25.2388
"2010-12-07:12 AM",23.8561
"2010-12-08:12 AM",23.2864
"2010-12-09:12 AM",27.8517
"2010-12-10:12 AM",35.6828
"2010-12-11:12 AM",41.7578
"2010-12-12:12 AM",28.9702
"2010-12-13:12 AM",19.4927
"2010-12-14:12 AM",18.2748
"2010-12-15:12 AM",26.4702
"2010-12-16:12 AM",40.2708
"2010-12-17:12 AM",30.8696
"2010-12-18:12 AM",30.6466
"2010-12-19:12 AM",28.7667
"2010-12-20:12 AM",33.2451
"2010-12-21:12 AM",43.4071
"2010-12-22:12 AM",39.4263
"2010-12-23:12 AM",31.062
"2010-12-24:12 AM",32.194
"2010-12-25:12 AM",31.3074
"2010-12-26:12 AM",27.3546
"2010-12-27:12 AM",26.4891
"2010-12-28:12 AM",27.7088
"2010-12-29:12 AM",35.1639
"2010-12-30:12 AM",44.5093
"2010-12-31:12 AM",53.1572
"2011-01-01:12 AM",47.7599
"2011-01-02:12 AM",31.7131
"2011-01-03:12 AM",30.0126
"2011-01-04:12 AM",35.4124
"2011-01-05:12 AM",34.2243
"2011-01-06:12 AM",33.0584
"2011-01-07:12 AM",36.5122
"2011-01-08:12 AM",25.4637
"2011-01-09:12 AM",20.0127
"2011-01-10:12 AM",27.3027
"2011-01-11:12 AM",28.8234
"2011-01-12:12 AM",19.0141
"2011-01-13:12 AM",17.4405
"2011-01-14:12 AM",20.1898
"2011-01-15:12 AM",30.4162
"2011-01-16:12 AM",33.8788
"2011-01-17:12 AM",37.8367
"2011-01-18:12 AM",40.8447
"2011-01-19:12 AM",34.7914
"2011-01-20:12 AM",32.2268
"2011-01-21:12 AM",23.1948
"2011-01-22:12 AM",22.743
"2011-01-23:12 AM",29.2069
"2011-01-24:12 AM",35.425
"2011-01-25:12 AM",36.5439
"2011-01-26:12 AM",31.7642
"2011-01-27:12 AM",31.8657
"2011-01-28:12 AM",36.0885
"2011-01-29:12 AM",43.0729
"2011-01-30:12 AM",47.507
"2011-01-31:12 AM",48.5222
"2011-02-01:12 AM",48.9067
"2011-02-02:12 AM",30.1863
"2011-02-03:12 AM",26.7537
"2011-02-04:12 AM",31.6612
"2011-02-05:12 AM",33.4656
"2011-02-06:12 AM",34.5506
"2011-02-07:12 AM",36.3585
"2011-02-08:12 AM",27.0466
"2011-02-09:12 AM",24.8859
"2011-02-10:12 AM",19.7805
"2011-02-11:12 AM",21.8511
"2011-02-12:12 AM",31.0152
"2011-02-13:12 AM",39.9193
"2011-02-14:12 AM",44.5456
"2011-02-15:12 AM",42.9386
"2011-02-16:12 AM",49.4334
"2011-02-17:12 AM",53.6695
"2011-02-18:12 AM",57.7341
"2011-02-19:12 AM",48.2859
"2011-02-20:12 AM",50.9203
"2011-02-21:12 AM",57.0178
"2011-02-22:12 AM",44.2341
"2011-02-23:12 AM",41.0365
"2011-02-24:12 AM",53.935
"2011-02-25:12 AM",45.4172
"2011-02-26:12 AM",41.4763
"2011-02-27:12 AM",56.7369
"2011-02-28:12 AM",58.359
"2011-03-01:12 AM",41.0005
"2011-03-02:12 AM",44.9413
"2011-03-03:12 AM",50.3407
"2011-03-04:12 AM",53.11
"2011-03-05:12 AM",50.7569
"2011-03-06:12 AM",36.9165
"2011-03-07:12 AM",37.4097
"2011-03-08:12 AM",45.7518
"2011-03-09:12 AM",51.6976
"2011-03-10:12 AM",40.3237
"2011-03-11:12 AM",37.4511
"2011-03-12:12 AM",49.249
"2011-03-13:12 AM",52.6275
"2011-03-14:12 AM",51.7699
"2011-03-15:12 AM",46.7616
"2011-03-16:12 AM",44.4814
"2011-03-17:12 AM",52.9281
"2011-03-18:12 AM",61.3143
"2011-03-19:12 AM",57.9834
"2011-03-20:12 AM",59.5416
"2011-03-21:12 AM",62.9803
"2011-03-22:12 AM",63.7954
"2011-03-23:12 AM",61.9138
"2011-03-24:12 AM",44.8628
"2011-03-25:12 AM",39.3787
"2011-03-26:12 AM",45.4282
"2011-03-27:12 AM",40.9197
"2011-03-28:12 AM",41.8228
"2011-03-29:12 AM",46.7325
"2011-03-30:12 AM",45.1432
"2011-03-31:12 AM",41.0922
"2011-04-01:12 AM",42.7082
"2011-04-02:12 AM",49.5291
"2011-04-03:12 AM",57.1107
"2011-04-04:12 AM",61.281
"2011-04-05:12 AM",43.8915
"2011-04-06:12 AM",50.0058
"2011-04-07:12 AM",58.2678
"2011-04-08:12 AM",64.8594
"2011-04-09:12 AM",71.5374
"2011-04-10:12 AM",71.0188
"2011-04-11:12 AM",68.4995
"2011-04-12:12 AM",55.1115
"2011-04-13:12 AM",53.0472
"2011-04-14:12 AM",57.8818
"2011-04-15:12 AM",59.0333
"2011-04-16:12 AM",48.7566
"2011-04-17:12 AM",50.5036
"2011-04-18:12 AM",60.0874
"2011-04-19:12 AM",69.181
"2011-04-20:12 AM",63.324
"2011-04-21:12 AM",55.2441
"2011-04-22:12 AM",65.0619
"2011-04-23:12 AM",68.3881
"2011-04-24:12 AM",69.7858
"2011-04-25:12 AM",69.3376
"2011-04-26:12 AM",67.9899
"2011-04-27:12 AM",64.9618
"2011-04-28:12 AM",56.5268
"2011-04-29:12 AM",58.7426
"2011-04-30:12 AM",62.2674
"2011-05-01:12 AM",64.6432
"2011-05-02:12 AM",62.3532
"2011-05-03:12 AM",52.7131
"2011-05-04:12 AM",48.4788
"2011-05-05:12 AM",50.4502
"2011-05-06:12 AM",55.5044
"2011-05-07:12 AM",59.0144
"2011-05-08:12 AM",67.7089
"2011-05-09:12 AM",71.5231
"2011-05-10:12 AM",73.9117
"2011-05-11:12 AM",74.7009
"2011-05-12:12 AM",73.0105
"2011-05-13:12 AM",67.7152
"2011-05-14:12 AM",59.3681
"2011-05-15:12 AM",52.8638
"2011-05-16:12 AM",50.8422
"2011-05-17:12 AM",50.1489
"2011-05-18:12 AM",52.4143
"2011-05-19:12 AM",59.8716
"2011-05-20:12 AM",69.4369
"2011-05-21:12 AM",71.2278
"2011-05-22:12 AM",71.9915
"2011-05-23:12 AM",73.5382
"2011-05-24:12 AM",73.1053
"2011-05-25:12 AM",75.3994
"2011-05-26:12 AM",67.8175
"2011-05-27:12 AM",63.8463
"2011-05-28:12 AM",68.2972
"2011-05-29:12 AM",76.4974
"2011-05-30:12 AM",78.6576
"2011-05-31:12 AM",79.9414
"2011-06-01:12 AM",79.3236
"2011-06-02:12 AM",78.9233
"2011-06-03:12 AM",79.7785
"2011-06-04:12 AM",79.6069
"2011-06-05:12 AM",79.2648
"2011-06-06:12 AM",77.2567
"2011-06-07:12 AM",79.5225
"2011-06-08:12 AM",80.5167
"2011-06-09:12 AM",79.0119
"2011-06-10:12 AM",78.6114
"2011-06-11:12 AM",79.2689
"2011-06-12:12 AM",76.7365
"2011-06-13:12 AM",74.4125
"2011-06-14:12 AM",72.3945
"2011-06-15:12 AM",74.451
"2011-06-16:12 AM",74.869
"2011-06-17:12 AM",75.4569
"2011-06-18:12 AM",77.6824
"2011-06-19:12 AM",79.1886
"2011-06-20:12 AM",81.6264
"2011-06-21:12 AM",77.5276
"2011-06-22:12 AM",72.5198
"2011-06-23:12 AM",76.5243
"2011-06-24:12 AM",76.1902
"2011-06-25:12 AM",73.9045
"2011-06-26:12 AM",76.411
"2011-06-27:12 AM",77.1809
"2011-06-28:12 AM",78.5586
"2011-06-29:12 AM",73.9877
"2011-06-30:12 AM",73.9645
"2011-07-01:12 AM",75.9884
"2011-07-02:12 AM",78.1288
"2011-07-03:12 AM",81.6958
"2011-07-04:12 AM",80.0386
"2011-07-05:12 AM",77.0864
"2011-07-06:12 AM",77.5602
"2011-07-07:12 AM",78.4197
"2011-07-08:12 AM",76.5433
"2011-07-09:12 AM",79.2844
"2011-07-10:12 AM",82.6254
"2011-07-11:12 AM",85.1198
"2011-07-12:12 AM",87.1457
"2011-07-13:12 AM",83.6359
"2011-07-14:12 AM",79.3067
"2011-07-15:12 AM",76.4285
"2011-07-16:12 AM",76.7678
"2011-07-17:12 AM",77.4696
"2011-07-18:12 AM",79.648
"2011-07-19:12 AM",81.5698
"2011-07-20:12 AM",83.6613
"2011-07-21:12 AM",84.2193
"2011-07-22:12 AM",81.5142
"2011-07-23:12 AM",82.2895
"2011-07-24:12 AM",80.7861
"2011-07-25:12 AM",80.3831
"2011-07-26:12 AM",80.7904
"2011-07-27:12 AM",82.3204
"2011-07-28:12 AM",82.2706
"2011-07-29:12 AM",79.8775
"2011-07-30:12 AM",80.6932
"2011-07-31:12 AM",81.4285
"2011-08-01:12 AM",81.5671
"2011-08-02:12 AM",82.1523
"2011-08-03:12 AM",85.4767
"2011-08-04:12 AM",83.705
"2011-08-05:12 AM",80.6248
"2011-08-06:12 AM",79.4822
"2011-08-07:12 AM",81.9545
"2011-08-08:12 AM",82.1314
"2011-08-09:12 AM",79.421
"2011-08-10:12 AM",77.0239
"2011-08-11:12 AM",76.2127
"2011-08-12:12 AM",76.7651
"2011-08-13:12 AM",75.4761
"2011-08-14:12 AM",74.8602
"2011-08-15:12 AM",69.7141
"2011-08-16:12 AM",71.6112
"2011-08-17:12 AM",75.0423
"2011-08-18:12 AM",79.4395
"2011-08-19:12 AM",78.1522
"2011-08-20:12 AM",79.8852
"2011-08-21:12 AM",80.0213
"2011-08-22:12 AM",78.0607
"2011-08-23:12 AM",76.3873
"2011-08-24:12 AM",78.9357
"2011-08-25:12 AM",80.004
"2011-08-26:12 AM",78.4798
"2011-08-27:12 AM",74.4429
"2011-08-28:12 AM",72.66
"2011-08-29:12 AM",71.3266
"2011-08-30:12 AM",73.6749
"2011-08-31:12 AM",77.9261
"2011-09-01:12 AM",80.7031
"2011-09-02:12 AM",81.0901
"2011-09-03:12 AM",81.039
"2011-09-04:12 AM",75.7152
"2011-09-05:12 AM",64.153
"2011-09-06:12 AM",59.112
"2011-09-07:12 AM",60.5093
"2011-09-08:12 AM",60.5215
"2011-09-09:12 AM",61.5648
"2011-09-10:12 AM",64.4313
"2011-09-11:12 AM",67.4319
"2011-09-12:12 AM",66.4893
"2011-09-13:12 AM",69.6423
"2011-09-14:12 AM",70.7324
"2011-09-15:12 AM",60.6785
"2011-09-16:12 AM",56.943
"2011-09-17:12 AM",62.4744
"2011-09-18:12 AM",66.785
"2011-09-19:12 AM",64.0391
"2011-09-20:12 AM",64.5751
"2011-09-21:12 AM",67.4843
"2011-09-22:12 AM",67.6767
"2011-09-23:12 AM",60.94
"2011-09-24:12 AM",60.1142
"2011-09-25:12 AM",65.9313
"2011-09-26:12 AM",63.8058
"2011-09-27:12 AM",60.976
"2011-09-28:12 AM",62.119
"2011-09-29:12 AM",64.915
"2011-09-30:12 AM",59.8935
"2011-10-01:12 AM",50.2979
"2011-10-02:12 AM",47.327
"2011-10-03:12 AM",50.1247
"2011-10-04:12 AM",54.4721
"2011-10-05:12 AM",59.8199
"2011-10-06:12 AM",63.1051
"2011-10-07:12 AM",63.9352
"2011-10-08:12 AM",61.9113
"2011-10-09:12 AM",61.3612
"2011-10-10:12 AM",64.1656
"2011-10-11:12 AM",61.3634
"2011-10-12:12 AM",61.4815
"2011-10-13:12 AM",60.8437
"2011-10-14:12 AM",59.0598
"2011-10-15:12 AM",54.5563
"2011-10-16:12 AM",60.9372
"2011-10-17:12 AM",63.5454
"2011-10-18:12 AM",58.9599
"2011-10-19:12 AM",46.917
"2011-10-20:12 AM",44.82
"2011-10-21:12 AM",43.0363
"2011-10-22:12 AM",44.915
"2011-10-23:12 AM",50.9308
"2011-10-24:12 AM",52.0849
"2011-10-25:12 AM",55.9087
"2011-10-26:12 AM",61.578
"2011-10-27:12 AM",55.2648
"2011-10-28:12 AM",43.7778
"2011-10-29:12 AM",41.3092
"2011-10-30:12 AM",42.8513
"2011-10-31:12 AM",46.2337
"2011-11-01:12 AM",47.3666
"2011-11-02:12 AM",50.8503
"2011-11-03:12 AM",48.6437
"2011-11-04:12 AM",46.5901
"2011-11-05:12 AM",47.9682
"2011-11-06:12 AM",48.6885
"2011-11-07:12 AM",54.5247
"2011-11-08:12 AM",57.866
"2011-11-09:12 AM",55.6948
"2011-11-10:12 AM",42.9958
"2011-11-11:12 AM",39.4756
"2011-11-12:12 AM",47.5592
"2011-11-13:12 AM",55.585
"2011-11-14:12 AM",63.6066
"2011-11-15:12 AM",63.2284
"2011-11-16:12 AM",56.7451
"2011-11-17:12 AM",40.0006
"2011-11-18:12 AM",37.738
"2011-11-19:12 AM",46.155
"2011-11-20:12 AM",58.6589
"2011-11-21:12 AM",61.5916
"2011-11-22:12 AM",62.1266
"2011-11-23:12 AM",48.3341
"2011-11-24:12 AM",43.7783
"2011-11-25:12 AM",47.1983
"2011-11-26:12 AM",54.2907
"2011-11-27:12 AM",53.166
"2011-11-28:12 AM",42.9796
"2011-11-29:12 AM",35.7719
"2011-11-30:12 AM",33.6079
"2011-12-01:12 AM",34.3333
"2011-12-02:12 AM",39.3885
"2011-12-03:12 AM",45.2619
"2011-12-04:12 AM",50.4313
"2011-12-05:12 AM",51.4805
"2011-12-06:12 AM",45.3949
"2011-12-07:12 AM",37.0665
"2011-12-08:12 AM",32.7335
"2011-12-09:12 AM",35.3039
"2011-12-10:12 AM",32.1226
"2011-12-11:12 AM",32.0819
"2011-12-12:12 AM",36.9149
"2011-12-13:12 AM",42.9606
"2011-12-14:12 AM",51.7321
"2011-12-15:12 AM",57.1377
"2011-12-16:12 AM",42.2404
"2011-12-17:12 AM",35.1415
"2011-12-18:12 AM",37.5427
"2011-12-19:12 AM",42.4355
"2011-12-20:12 AM",50.1051
"2011-12-21:12 AM",53.3338
"2011-12-22:12 AM",47.9347
"2011-12-23:12 AM",41.4223
"2011-12-24:12 AM",36.4406
"2011-12-25:12 AM",39.3705
"2011-12-26:12 AM",38.8942
"2011-12-27:12 AM",40.7118
"2011-12-28:12 AM",35.281
"2011-12-29:12 AM",39.5942
"2011-12-30:12 AM",46.1559
"2011-12-31:12 AM",46.1833
"2012-01-01:12 AM",46.7483
"2012-01-02:12 AM",31.1364
"2012-01-03:12 AM",24.3684
"2012-01-04:12 AM",32.1949
"2012-01-05:12 AM",38.6857
"2012-01-06:12 AM",45.5598
"2012-01-07:12 AM",52.2408
"2012-01-08:12 AM",46.0935
"2012-01-09:12 AM",47.7846
"2012-01-10:12 AM",46.9846
"2012-01-11:12 AM",51.3606
"2012-01-12:12 AM",38.9826
"2012-01-13:12 AM",26.2096
"2012-01-14:12 AM",32.484
"2012-01-15:12 AM",31.5385
"2012-01-16:12 AM",43.1204
"2012-01-17:12 AM",50.4095
"2012-01-18:12 AM",31.4451
"2012-01-19:12 AM",34.9084
"2012-01-20:12 AM",43.6831
"2012-01-21:12 AM",42.8036
"2012-01-22:12 AM",45.037
"2012-01-23:12 AM",51.4101
"2012-01-24:12 AM",43.0043
"2012-01-25:12 AM",43.3764
"2012-01-26:12 AM",54.5826
"2012-01-27:12 AM",42.2679
"2012-01-28:12 AM",38.6326
"2012-01-29:12 AM",36.1116
"2012-01-30:12 AM",40.8177
"2012-01-31:12 AM",47.5549
"2012-02-01:12 AM",54.4676
"2012-02-02:12 AM",51.1963
"2012-02-03:12 AM",48.4282
"2012-02-04:12 AM",52.9358
"2012-02-05:12 AM",48.7585
"2012-02-06:12 AM",42.0967
"2012-02-07:12 AM",39.8437
"2012-02-08:12 AM",39.6842
"2012-02-09:12 AM",34.8031
"2012-02-10:12 AM",34.9106
"2012-02-11:12 AM",26.771
"2012-02-12:12 AM",23.9322
"2012-02-13:12 AM",29.6942
"2012-02-14:12 AM",37.015
"2012-02-15:12 AM",41.7992
