"DateTime","(deg F) Mean Temperature (CFSR) at Vermont, 2010-01-01 to 2019-03-14"
"2010-02-24:12 AM",30.9171
"2010-02-25:12 AM",33.6628
"2010-02-26:12 AM",33.6387
"2010-02-27:12 AM",31.4789
"2010-02-28:12 AM",28.1181
"2010-03-01:12 AM",31.3205
"2010-03-02:12 AM",32.481
"2010-03-03:12 AM",31.9291
"2010-03-04:12 AM",28.3645
"2010-03-05:12 AM",24.7028
"2010-03-06:12 AM",27.8785
"2010-03-07:12 AM",33.5813
"2010-03-08:12 AM",34.9785
"2010-03-09:12 AM",30.8568
"2010-03-10:12 AM",31.2651
"2010-03-11:12 AM",35.1012
"2010-03-12:12 AM",36.2795
"2010-03-13:12 AM",33.9121
"2010-03-14:12 AM",33.6385
"2010-03-15:12 AM",36.8307
"2010-03-16:12 AM",36.9889
"2010-03-17:12 AM",40.1464
"2010-03-18:12 AM",40.5824
"2010-03-19:12 AM",45.3645
"2010-03-20:12 AM",44.3071
"2010-03-21:12 AM",36.3324
"2010-03-22:12 AM",37.9562
"2010-03-23:12 AM",36.1956
"2010-03-24:12 AM",32.3134
"2010-03-25:12 AM",39.3937
"2010-03-26:12 AM",20.8404
"2010-03-27:12 AM",22.5208
"2010-03-28:12 AM",30.7413
"2010-03-29:12 AM",38.539
"2010-03-30:12 AM",35.0883
"2010-03-31:12 AM",39.4974
"2010-04-01:12 AM",44.5095
"2010-04-02:12 AM",53.2551
"2010-04-03:12 AM",57.4983
"2010-04-04:12 AM",51.5502
"2010-04-05:12 AM",49.2098
"2010-04-06:12 AM",48.7238
"2010-04-07:12 AM",57.5164
"2010-04-08:12 AM",49.1207
"2010-04-09:12 AM",41.1078
"2010-04-10:12 AM",35.7199
"2010-04-11:12 AM",41.4505
"2010-04-12:12 AM",38.0835
"2010-04-13:12 AM",39.4612
"2010-04-14:12 AM",42.1428
"2010-04-15:12 AM",41.6635
"2010-04-16:12 AM",37.3368
"2010-04-17:12 AM",37.2745
"2010-04-18:12 AM",36.9558
"2010-04-19:12 AM",40.5903
"2010-04-20:12 AM",46.9936
"2010-04-21:12 AM",50.0891
"2010-04-22:12 AM",48.0965
"2010-04-23:12 AM",42.0575
"2010-04-24:12 AM",44.8731
"2010-04-25:12 AM",46.7737
"2010-04-26:12 AM",48.8745
"2010-04-27:12 AM",38.755
"2010-04-28:12 AM",34.3044
"2010-04-29:12 AM",38.9728
"2010-04-30:12 AM",46.9078
"2010-05-01:12 AM",57.5298
"2010-05-02:12 AM",67.9165
"2010-05-03:12 AM",65.0935
"2010-05-04:12 AM",55.7458
"2010-05-05:12 AM",56.0122
"2010-05-06:12 AM",54.5481
"2010-05-07:12 AM",43.8409
"2010-05-08:12 AM",43.6516
"2010-05-09:12 AM",33.373
"2010-05-10:12 AM",34.8206
"2010-05-11:12 AM",39.1032
"2010-05-12:12 AM",43.4352
"2010-05-13:12 AM",44.0638
"2010-05-14:12 AM",50.7702
"2010-05-15:12 AM",49.876
"2010-05-16:12 AM",52.8532
"2010-05-17:12 AM",55.096
"2010-05-18:12 AM",57.4651
"2010-05-19:12 AM",50.7927
"2010-05-20:12 AM",60.0021
"2010-05-21:12 AM",59.4946
"2010-05-22:12 AM",64.0076
"2010-05-23:12 AM",63.9649
"2010-05-24:12 AM",67.1151
"2010-05-25:12 AM",71.4387
"2010-05-26:12 AM",74.3635
"2010-05-27:12 AM",64.2569
"2010-05-28:12 AM",60.2719
"2010-05-29:12 AM",62.8327
"2010-05-30:12 AM",59.0794
"2010-05-31:12 AM",62.5962
"2010-06-01:12 AM",63.6109
"2010-06-02:12 AM",66.126
"2010-06-03:12 AM",65.1112
"2010-06-04:12 AM",64.1597
"2010-06-05:12 AM",66.3575
"2010-06-06:12 AM",53.6454
"2010-06-07:12 AM",54.0734
"2010-06-08:12 AM",52.414
"2010-06-09:12 AM",53.4702
"2010-06-10:12 AM",53.7424
"2010-06-11:12 AM",57.265
"2010-06-12:12 AM",56.9199
"2010-06-13:12 AM",61.4509
"2010-06-14:12 AM",58.8657
"2010-06-15:12 AM",57.6257
"2010-06-16:12 AM",57.8242
"2010-06-17:12 AM",61.3107
"2010-06-18:12 AM",66.4507
"2010-06-19:12 AM",71.7805
"2010-06-20:12 AM",67.8834
"2010-06-21:12 AM",65.7576
"2010-06-22:12 AM",64.5523
"2010-06-23:12 AM",67.0474
"2010-06-24:12 AM",69.7123
"2010-06-25:12 AM",64.5179
"2010-06-26:12 AM",62.7757
"2010-06-27:12 AM",63.6292
"2010-06-28:12 AM",69.1387
"2010-06-29:12 AM",64.6527
"2010-06-30:12 AM",57.8953
"2010-07-01:12 AM",54.8951
"2010-07-02:12 AM",60.1907
"2010-07-03:12 AM",66.5613
"2010-07-04:12 AM",70.9138
"2010-07-05:12 AM",74.1385
"2010-07-06:12 AM",78.5397
"2010-07-07:12 AM",79.5119
"2010-07-08:12 AM",78.7447
"2010-07-09:12 AM",76.1983
"2010-07-10:12 AM",70.1892
"2010-07-11:12 AM",70.7805
"2010-07-12:12 AM",72.8683
"2010-07-13:12 AM",74.1873
"2010-07-14:12 AM",70.5727
"2010-07-15:12 AM",72.5666
"2010-07-16:12 AM",74.6508
"2010-07-17:12 AM",73.0593
"2010-07-18:12 AM",70.8618
"2010-07-19:12 AM",67.7766
"2010-07-20:12 AM",65.0635
"2010-07-21:12 AM",68.2828
"2010-07-22:12 AM",67.1527
"2010-07-23:12 AM",62.5114
"2010-07-24:12 AM",70.7877
"2010-07-25:12 AM",69.3032
"2010-07-26:12 AM",65.5889
"2010-07-27:12 AM",68.4925
"2010-07-28:12 AM",72.6732
"2010-07-29:12 AM",68.9873
"2010-07-30:12 AM",59.7686
"2010-07-31:12 AM",58.307
"2010-08-01:12 AM",63.8827
"2010-08-02:12 AM",66.7324
"2010-08-03:12 AM",68.8563
"2010-08-04:12 AM",73.8293
"2010-08-05:12 AM",73.2063
"2010-08-06:12 AM",65.1072
"2010-08-07:12 AM",56.5138
"2010-08-08:12 AM",64.7884
"2010-08-09:12 AM",70.1397
"2010-08-10:12 AM",70.8123
"2010-08-11:12 AM",68.0661
"2010-08-12:12 AM",64.9364
"2010-08-13:12 AM",66.162
"2010-08-14:12 AM",67.5815
"2010-08-15:12 AM",67.7575
"2010-08-16:12 AM",67.3776
"2010-08-17:12 AM",67.2741
"2010-08-18:12 AM",64.4702
"2010-08-19:12 AM",66.7558
"2010-08-20:12 AM",59.5756
"2010-08-21:12 AM",59.5386
"2010-08-22:12 AM",61.293
"2010-08-23:12 AM",57.2297
"2010-08-24:12 AM",61.4574
"2010-08-25:12 AM",62.1185
"2010-08-26:12 AM",63.1783
"2010-08-27:12 AM",58.5599
"2010-08-28:12 AM",61.8793
"2010-08-29:12 AM",68.3517
"2010-08-30:12 AM",68.7792
"2010-08-31:12 AM",74.1178
"2010-09-01:12 AM",75.8221
"2010-09-02:12 AM",74.8791
"2010-09-03:12 AM",75.1597
"2010-09-04:12 AM",65.1607
"2010-09-05:12 AM",55.7076
"2010-09-06:12 AM",58.4074
"2010-09-07:12 AM",66.6145
"2010-09-08:12 AM",63.2565
"2010-09-09:12 AM",55.4047
"2010-09-10:12 AM",53.3385
"2010-09-11:12 AM",55.8313
"2010-09-12:12 AM",55.8005
"2010-09-13:12 AM",54.2862
"2010-09-14:12 AM",54.3711
"2010-09-15:12 AM",50.7225
"2010-09-16:12 AM",51.1466
"2010-09-17:12 AM",48.6174
"2010-09-18:12 AM",51.3804
"2010-09-19:12 AM",55.4531
"2010-09-20:12 AM",51.2373
"2010-09-21:12 AM",53.1388
"2010-09-22:12 AM",63.7214
"2010-09-23:12 AM",55.3676
"2010-09-24:12 AM",68.0324
"2010-09-25:12 AM",65.4373
"2010-09-26:12 AM",54.918
"2010-09-27:12 AM",53.0312
"2010-09-28:12 AM",63.999
"2010-09-29:12 AM",60.5287
"2010-09-30:12 AM",62.5442
"2010-10-01:12 AM",55.476
"2010-10-02:12 AM",48.5404
"2010-10-03:12 AM",43.6784
"2010-10-04:12 AM",46.7706
"2010-10-05:12 AM",52.698
"2010-10-06:12 AM",50.1006
"2010-10-07:12 AM",47.6289
"2010-10-08:12 AM",50.8901
"2010-10-09:12 AM",43.9365
"2010-10-10:12 AM",44.0366
"2010-10-11:12 AM",45.6512
"2010-10-12:12 AM",43.7198
"2010-10-13:12 AM",42.2836
"2010-10-14:12 AM",46.0688
"2010-10-15:12 AM",40.8963
"2010-10-16:12 AM",39.5276
"2010-10-17:12 AM",42.6747
"2010-10-18:12 AM",40.6962
"2010-10-19:12 AM",39.301
"2010-10-20:12 AM",43.6132
"2010-10-21:12 AM",42.7566
"2010-10-22:12 AM",33.7242
"2010-10-23:12 AM",33.8805
"2010-10-24:12 AM",37.4578
"2010-10-25:12 AM",48.3028
"2010-10-26:12 AM",57.4095
"2010-10-27:12 AM",60.0451
"2010-10-28:12 AM",51.4684
"2010-10-29:12 AM",41.9542
"2010-10-30:12 AM",37.3539
"2010-10-31:12 AM",35.7939
"2010-11-01:12 AM",32.8951
"2010-11-02:12 AM",32.803
"2010-11-03:12 AM",33.2362
"2010-11-04:12 AM",36.3061
"2010-11-05:12 AM",37.7665
"2010-11-06:12 AM",34.9752
"2010-11-07:12 AM",31.4589
"2010-11-08:12 AM",31.888
"2010-11-09:12 AM",37.188
"2010-11-10:12 AM",35.9832
"2010-11-11:12 AM",35.4168
"2010-11-12:12 AM",38.8463
"2010-11-13:12 AM",39.7315
"2010-11-14:12 AM",39.3435
"2010-11-15:12 AM",41.9061
"2010-11-16:12 AM",43.7581
"2010-11-17:12 AM",44.89
"2010-11-18:12 AM",34.8503
"2010-11-19:12 AM",28.6097
"2010-11-20:12 AM",31.73
"2010-11-21:12 AM",25.1497
"2010-11-22:12 AM",37.5507
"2010-11-23:12 AM",46.8469
"2010-11-24:12 AM",28.8171
"2010-11-25:12 AM",23.7454
"2010-11-26:12 AM",29.7037
"2010-11-27:12 AM",26.8322
"2010-11-28:12 AM",25.9941
"2010-11-29:12 AM",31.0235
"2010-11-30:12 AM",34.169
"2010-12-01:12 AM",42.6835
"2010-12-02:12 AM",31.6537
"2010-12-03:12 AM",29.5639
"2010-12-04:12 AM",26.4475
"2010-12-05:12 AM",23.3845
"2010-12-06:12 AM",21.303
"2010-12-07:12 AM",20.7124
"2010-12-08:12 AM",16.608
"2010-12-09:12 AM",12.9727
"2010-12-10:12 AM",12.0792
"2010-12-11:12 AM",26.5158
"2010-12-12:12 AM",33.6693
"2010-12-13:12 AM",32.5868
"2010-12-14:12 AM",15.1214
"2010-12-15:12 AM",11.3178
"2010-12-16:12 AM",16.0133
"2010-12-17:12 AM",18.8856
"2010-12-18:12 AM",22.4748
"2010-12-19:12 AM",19.855
"2010-12-20:12 AM",17.9721
"2010-12-21:12 AM",22.0957
"2010-12-22:12 AM",25.8555
"2010-12-23:12 AM",25.1235
"2010-12-24:12 AM",20.2125
"2010-12-25:12 AM",17.634
"2010-12-26:12 AM",15.1048
"2010-12-27:12 AM",13.2564
"2010-12-28:12 AM",13.2476
"2010-12-29:12 AM",22.1182
"2010-12-30:12 AM",23.2495
"2010-12-31:12 AM",31.1468
"2011-01-01:12 AM",35.74
"2011-01-02:12 AM",34.1965
"2011-01-03:12 AM",22.735
"2011-01-04:12 AM",22.0665
"2011-01-05:12 AM",22.3999
"2011-01-06:12 AM",17.2917
"2011-01-07:12 AM",17.5168
"2011-01-08:12 AM",20.8585
"2011-01-09:12 AM",19.4848
"2011-01-10:12 AM",14.5711
"2011-01-11:12 AM",14.4228
"2011-01-12:12 AM",17.1914
"2011-01-13:12 AM",13.7151
"2011-01-14:12 AM",6.4045
"2011-01-15:12 AM",9.7833
"2011-01-16:12 AM",16.4865
"2011-01-17:12 AM",-3.6134
"2011-01-18:12 AM",12.7695
"2011-01-19:12 AM",20.9901
"2011-01-20:12 AM",11.7324
"2011-01-21:12 AM",14.2801
"2011-01-22:12 AM",-2.7886
"2011-01-23:12 AM",-3.867
"2011-01-24:12 AM",-19.4183
"2011-01-25:12 AM",8.2389
"2011-01-26:12 AM",17.3181
"2011-01-27:12 AM",18.3027
"2011-01-28:12 AM",13.9413
"2011-01-29:12 AM",17.6891
"2011-01-30:12 AM",12.758
"2011-01-31:12 AM",-2.5841
"2011-02-01:12 AM",7.8053
"2011-02-02:12 AM",12.9106
"2011-02-03:12 AM",8.6814
"2011-02-04:12 AM",10.8063
"2011-02-05:12 AM",20.1159
"2011-02-06:12 AM",25.3929
"2011-02-07:12 AM",24.5568
"2011-02-08:12 AM",19.1743
"2011-02-09:12 AM",3.672
"2011-02-10:12 AM",5.5603
"2011-02-11:12 AM",4.7268
"2011-02-12:12 AM",18.068
"2011-02-13:12 AM",16.8334
"2011-02-14:12 AM",31.6733
"2011-02-15:12 AM",1.2366
"2011-02-16:12 AM",13.1297
"2011-02-17:12 AM",29.4328
"2011-02-18:12 AM",35.7125
"2011-02-19:12 AM",18.6332
"2011-02-20:12 AM",10.1064
"2011-02-21:12 AM",10.3397
"2011-02-22:12 AM",6.1846
"2011-02-23:12 AM",8.9539
"2011-02-24:12 AM",18.8888
"2011-02-25:12 AM",25.2415
"2011-02-26:12 AM",12.304
"2011-02-27:12 AM",18.5504
"2011-02-28:12 AM",24.5363
"2011-03-01:12 AM",14.6588
"2011-03-02:12 AM",19.9197
"2011-03-03:12 AM",-5.0492
"2011-03-04:12 AM",7.4926
"2011-03-05:12 AM",30.8433
"2011-03-06:12 AM",32.1399
"2011-03-07:12 AM",17.0415
"2011-03-08:12 AM",13.2168
"2011-03-09:12 AM",17.3629
"2011-03-10:12 AM",29.115
"2011-03-11:12 AM",33.7039
"2011-03-12:12 AM",31.7203
"2011-03-13:12 AM",32.1332
"2011-03-14:12 AM",25.9482
"2011-03-15:12 AM",23.0317
"2011-03-16:12 AM",31.1922
"2011-03-17:12 AM",34.8343
"2011-03-18:12 AM",40.2145
"2011-03-19:12 AM",29.0296
"2011-03-20:12 AM",28.0821
"2011-03-21:12 AM",30.1231
"2011-03-22:12 AM",31.1265
"2011-03-23:12 AM",23.5726
"2011-03-24:12 AM",23.3503
"2011-03-25:12 AM",23.5803
"2011-03-26:12 AM",19.5478
"2011-03-27:12 AM",18.8704
"2011-03-28:12 AM",21.5305
"2011-03-29:12 AM",26.7885
"2011-03-30:12 AM",30.3091
"2011-03-31:12 AM",33.9631
"2011-04-01:12 AM",31.1099
"2011-04-02:12 AM",32.3755
"2011-04-03:12 AM",32.1348
"2011-04-04:12 AM",33.6871
"2011-04-05:12 AM",37.7404
"2011-04-06:12 AM",30.4516
"2011-04-07:12 AM",30.1921
"2011-04-08:12 AM",34.018
"2011-04-09:12 AM",39.7877
"2011-04-10:12 AM",45.4262
"2011-04-11:12 AM",52.4818
"2011-04-12:12 AM",45.0187
"2011-04-13:12 AM",38.9275
"2011-04-14:12 AM",38.7383
"2011-04-15:12 AM",30.8363
"2011-04-16:12 AM",33.2254
"2011-04-17:12 AM",38.4274
"2011-04-18:12 AM",36.2093
"2011-04-19:12 AM",37.4488
"2011-04-20:12 AM",39.2238
"2011-04-21:12 AM",34.864
"2011-04-22:12 AM",37.6345
"2011-04-23:12 AM",34.9561
"2011-04-24:12 AM",46.1444
"2011-04-25:12 AM",46.2222
"2011-04-26:12 AM",49.9627
"2011-04-27:12 AM",60.4981
"2011-04-28:12 AM",60.5692
"2011-04-29:12 AM",47.9799
"2011-04-30:12 AM",44.8209
"2011-05-01:12 AM",49.2924
"2011-05-02:12 AM",52.5344
"2011-05-03:12 AM",52.3744
"2011-05-04:12 AM",45.5382
"2011-05-05:12 AM",39.1752
"2011-05-06:12 AM",46.3856
"2011-05-07:12 AM",51.2794
"2011-05-08:12 AM",49.0181
"2011-05-09:12 AM",49.2505
"2011-05-10:12 AM",49.5941
"2011-05-11:12 AM",52.2705
"2011-05-12:12 AM",54.196
"2011-05-13:12 AM",57.4072
"2011-05-14:12 AM",56.3997
"2011-05-15:12 AM",50.8339
"2011-05-16:12 AM",47.4292
"2011-05-17:12 AM",50.4997
"2011-05-18:12 AM",51.8565
"2011-05-19:12 AM",56.9124
"2011-05-20:12 AM",58.795
"2011-05-21:12 AM",59.5458
"2011-05-22:12 AM",58.9399
"2011-05-23:12 AM",54.3403
"2011-05-24:12 AM",61.8769
"2011-05-25:12 AM",58.2058
"2011-05-26:12 AM",66.7933
"2011-05-27:12 AM",66.821
"2011-05-28:12 AM",64.8223
"2011-05-29:12 AM",67.719
"2011-05-30:12 AM",68.9686
"2011-05-31:12 AM",68.4072
"2011-06-01:12 AM",70.2961
"2011-06-02:12 AM",52.2039
"2011-06-03:12 AM",50.3523
"2011-06-04:12 AM",53.9145
"2011-06-05:12 AM",57.1237
"2011-06-06:12 AM",61.0963
"2011-06-07:12 AM",65.4264
"2011-06-08:12 AM",72.8809
"2011-06-09:12 AM",72.2359
"2011-06-10:12 AM",62.4429
"2011-06-11:12 AM",55.3262
"2011-06-12:12 AM",53.4817
"2011-06-13:12 AM",55.4457
"2011-06-14:12 AM",54.3231
"2011-06-15:12 AM",61.9963
"2011-06-16:12 AM",66.7143
"2011-06-17:12 AM",65.1868
"2011-06-18:12 AM",63.3904
"2011-06-19:12 AM",57.7636
"2011-06-20:12 AM",59.3991
"2011-06-21:12 AM",62.6479
"2011-06-22:12 AM",61.1503
"2011-06-23:12 AM",58.6452
"2011-06-24:12 AM",55.0686
"2011-06-25:12 AM",56.6596
"2011-06-26:12 AM",62.2416
"2011-06-27:12 AM",63.7151
"2011-06-28:12 AM",68.7272
"2011-06-29:12 AM",65.7061
"2011-06-30:12 AM",60.8391
"2011-07-01:12 AM",60.7001
"2011-07-02:12 AM",66.0069
"2011-07-03:12 AM",67.8263
"2011-07-04:12 AM",70.3036
"2011-07-05:12 AM",69.1482
"2011-07-06:12 AM",70.2903
"2011-07-07:12 AM",64.7323
"2011-07-08:12 AM",64.5768
"2011-07-09:12 AM",66.2513
"2011-07-10:12 AM",64.9103
"2011-07-11:12 AM",73.4634
"2011-07-12:12 AM",72.8589
"2011-07-13:12 AM",65.6636
"2011-07-14:12 AM",62.7544
"2011-07-15:12 AM",64.1806
"2011-07-16:12 AM",66.8228
"2011-07-17:12 AM",71.9818
"2011-07-18:12 AM",69.3419
"2011-07-19:12 AM",67.7151
"2011-07-20:12 AM",72.0228
"2011-07-21:12 AM",77.4329
"2011-07-22:12 AM",78.7647
"2011-07-23:12 AM",75.4165
"2011-07-24:12 AM",68.5236
"2011-07-25:12 AM",60.3079
"2011-07-26:12 AM",63.7122
"2011-07-27:12 AM",62.4668
"2011-07-28:12 AM",66.304
"2011-07-29:12 AM",69.6088
"2011-07-30:12 AM",67.7556
"2011-07-31:12 AM",65.4908
"2011-08-01:12 AM",69.8196
"2011-08-02:12 AM",65.0995
"2011-08-03:12 AM",64.1016
"2011-08-04:12 AM",65.4476
"2011-08-05:12 AM",67.0215
"2011-08-06:12 AM",70.0417
"2011-08-07:12 AM",68.5274
"2011-08-08:12 AM",67.2805
"2011-08-09:12 AM",64.9737
"2011-08-10:12 AM",65.8074
"2011-08-11:12 AM",62.1889
"2011-08-12:12 AM",60.3667
"2011-08-13:12 AM",64.4338
"2011-08-14:12 AM",65.8378
"2011-08-15:12 AM",61.4041
"2011-08-16:12 AM",60.5232
"2011-08-17:12 AM",62.1511
"2011-08-18:12 AM",67.8596
"2011-08-19:12 AM",67.458
"2011-08-20:12 AM",66.2238
"2011-08-21:12 AM",68.7659
"2011-08-22:12 AM",61.063
"2011-08-23:12 AM",56.7831
"2011-08-24:12 AM",64.8135
"2011-08-25:12 AM",65.5628
"2011-08-26:12 AM",63.6334
"2011-08-27:12 AM",65.9255
"2011-08-28:12 AM",61.7338
"2011-08-29:12 AM",56.0782
"2011-08-30:12 AM",60.0411
"2011-08-31:12 AM",62.6783
"2011-09-01:12 AM",62.5757
"2011-09-02:12 AM",64.5519
"2011-09-03:12 AM",67.9379
"2011-09-04:12 AM",73.0492
"2011-09-05:12 AM",65.9035
"2011-09-06:12 AM",58.2208
"2011-09-07:12 AM",55.4394
"2011-09-08:12 AM",59.088
"2011-09-09:12 AM",62.2852
"2011-09-10:12 AM",55.9072
"2011-09-11:12 AM",53.3161
"2011-09-12:12 AM",61.4403
"2011-09-13:12 AM",66.4338
"2011-09-14:12 AM",61.7958
"2011-09-15:12 AM",51.4492
"2011-09-16:12 AM",42.9278
"2011-09-17:12 AM",44.7076
"2011-09-18:12 AM",47.7847
"2011-09-19:12 AM",49.5457
"2011-09-20:12 AM",53.195
"2011-09-21:12 AM",54.7815
"2011-09-22:12 AM",63.2628
"2011-09-23:12 AM",63.9473
"2011-09-24:12 AM",66.7031
"2011-09-25:12 AM",64.5733
"2011-09-26:12 AM",60.9625
"2011-09-27:12 AM",62.0382
"2011-09-28:12 AM",61.7149
"2011-09-29:12 AM",58.1553
"2011-09-30:12 AM",55.9974
"2011-10-01:12 AM",46.859
"2011-10-02:12 AM",46.4839
"2011-10-03:12 AM",52.1469
"2011-10-04:12 AM",50.5461
"2011-10-05:12 AM",47.3328
"2011-10-06:12 AM",39.6037
"2011-10-07:12 AM",45.4991
"2011-10-08:12 AM",54.7824
"2011-10-09:12 AM",59.1044
"2011-10-10:12 AM",58.7037
"2011-10-11:12 AM",53.0494
"2011-10-12:12 AM",51.2555
"2011-10-13:12 AM",52.0981
"2011-10-14:12 AM",56.1634
"2011-10-15:12 AM",49.6674
"2011-10-16:12 AM",46.6054
"2011-10-17:12 AM",47.048
"2011-10-18:12 AM",46.5332
"2011-10-19:12 AM",49.0593
"2011-10-20:12 AM",50.7101
"2011-10-21:12 AM",46.5366
"2011-10-22:12 AM",44.274
"2011-10-23:12 AM",43.0156
"2011-10-24:12 AM",44.0526
"2011-10-25:12 AM",42.1722
"2011-10-26:12 AM",40.6594
"2011-10-27:12 AM",34.871
"2011-10-28:12 AM",30.555
"2011-10-29:12 AM",31.5426
"2011-10-30:12 AM",29.5556
"2011-10-31:12 AM",31.1833
"2011-11-01:12 AM",35.5649
"2011-11-02:12 AM",38.2491
"2011-11-03:12 AM",44.4349
"2011-11-04:12 AM",35.028
"2011-11-05:12 AM",31.3131
"2011-11-06:12 AM",35.7031
"2011-11-07:12 AM",39.4115
"2011-11-08:12 AM",46.0074
"2011-11-09:12 AM",51.4823
"2011-11-10:12 AM",52.1082
"2011-11-11:12 AM",36.3821
"2011-11-12:12 AM",35.5291
"2011-11-13:12 AM",42.6346
"2011-11-14:12 AM",50.1271
"2011-11-15:12 AM",50.7184
"2011-11-16:12 AM",45.4631
"2011-11-17:12 AM",38.253
"2011-11-18:12 AM",30.5172
"2011-11-19:12 AM",35.3525
"2011-11-20:12 AM",41.5965
"2011-11-21:12 AM",31.3657
"2011-11-22:12 AM",29.0475
"2011-11-23:12 AM",29.5491
"2011-11-24:12 AM",27.8141
"2011-11-25:12 AM",35.1858
"2011-11-26:12 AM",38.5011
"2011-11-27:12 AM",38.444
"2011-11-28:12 AM",48.2851
"2011-11-29:12 AM",49.3052
"2011-11-30:12 AM",46.227
"2011-12-01:12 AM",30.9731
"2011-12-02:12 AM",32.0995
"2011-12-03:12 AM",30.0771
"2011-12-04:12 AM",33.4141
"2011-12-05:12 AM",38.3482
"2011-12-06:12 AM",41.5074
"2011-12-07:12 AM",35.5973
"2011-12-08:12 AM",27.6625
"2011-12-09:12 AM",29.0068
"2011-12-10:12 AM",26.9562
"2011-12-11:12 AM",22.3237
"2011-12-12:12 AM",26.7814
"2011-12-13:12 AM",27.3704
"2011-12-14:12 AM",31.3545
"2011-12-15:12 AM",36.3477
"2011-12-16:12 AM",36.0126
"2011-12-17:12 AM",23.3834
"2011-12-18:12 AM",14.9288
"2011-12-19:12 AM",24.5865
"2011-12-20:12 AM",25.93
"2011-12-21:12 AM",30.1235
"2011-12-22:12 AM",35.5689
"2011-12-23:12 AM",30.7758
"2011-12-24:12 AM",15.3286
"2011-12-25:12 AM",19.2893
"2011-12-26:12 AM",25.8771
"2011-12-27:12 AM",28.9661
"2011-12-28:12 AM",27.8703
"2011-12-29:12 AM",12.5569
"2011-12-30:12 AM",19.9602
"2011-12-31:12 AM",28.8743
"2012-01-01:12 AM",32.1978
"2012-01-02:12 AM",31.0492
"2012-01-03:12 AM",12.2198
"2012-01-04:12 AM",7.2543
"2012-01-05:12 AM",18.8233
"2012-01-06:12 AM",23.5173
"2012-01-07:12 AM",33.4778
"2012-01-08:12 AM",25.633
"2012-01-09:12 AM",22.5891
"2012-01-10:12 AM",28.2987
"2012-01-11:12 AM",23.149
"2012-01-12:12 AM",25.6887
"2012-01-13:12 AM",26.5998
"2012-01-14:12 AM",11.6787
"2012-01-15:12 AM",0.583
"2012-01-16:12 AM",7.7149
"2012-01-17:12 AM",27.0437
"2012-01-18:12 AM",18.6487
"2012-01-19:12 AM",11.2501
"2012-01-20:12 AM",13.6168
"2012-01-21:12 AM",9.5284
"2012-01-22:12 AM",10.6515
"2012-01-23:12 AM",24.3781
"2012-01-24:12 AM",33.206
"2012-01-25:12 AM",25.4566
"2012-01-26:12 AM",23.6563
"2012-01-27:12 AM",30.6104
"2012-01-28:12 AM",28.2162
"2012-01-29:12 AM",26.2539
"2012-01-30:12 AM",20.4588
"2012-01-31:12 AM",24.2134
"2012-02-01:12 AM",35.46
"2012-02-02:12 AM",25.812
"2012-02-03:12 AM",20.8911
"2012-02-04:12 AM",22.6162
"2012-02-05:12 AM",18.0846
"2012-02-06:12 AM",26.5012
"2012-02-07:12 AM",26.3451
"2012-02-08:12 AM",19.6142
"2012-02-09:12 AM",23.6401
"2012-02-10:12 AM",26.3932
"2012-02-11:12 AM",22.0633
"2012-02-12:12 AM",6.7143
"2012-02-13:12 AM",16.9405
"2012-02-14:12 AM",25.4611
