"DateTime","(deg F) Mean Temperature (CFSR) at Oregon, 2010-01-01 to 2019-03-14"
"2010-04-05:12 AM",35.4916
"2010-04-06:12 AM",36.169
"2010-04-07:12 AM",41.2446
"2010-04-08:12 AM",38.0784
"2010-04-09:12 AM",34.8715
"2010-04-10:12 AM",37.9989
"2010-04-11:12 AM",42.1795
"2010-04-12:12 AM",42.9444
"2010-04-13:12 AM",41.1213
"2010-04-14:12 AM",41.6129
"2010-04-15:12 AM",45.6343
"2010-04-16:12 AM",49.5567
"2010-04-17:12 AM",49.9069
"2010-04-18:12 AM",52.3285
"2010-04-19:12 AM",53.384
"2010-04-20:12 AM",47.6596
"2010-04-21:12 AM",39.7902
"2010-04-22:12 AM",42.5664
"2010-04-23:12 AM",45.2968
"2010-04-24:12 AM",43.9417
"2010-04-25:12 AM",45.8256
"2010-04-26:12 AM",49.9915
"2010-04-27:12 AM",45.0108
"2010-04-28:12 AM",38.2282
"2010-04-29:12 AM",37.1973
"2010-04-30:12 AM",39.9749
"2010-05-01:12 AM",40.2116
"2010-05-02:12 AM",43.5558
"2010-05-03:12 AM",45.0007
"2010-05-04:12 AM",39.0783
"2010-05-05:12 AM",35.7762
"2010-05-06:12 AM",38.3758
"2010-05-07:12 AM",43.9117
"2010-05-08:12 AM",45.5077
"2010-05-09:12 AM",45.5644
"2010-05-10:12 AM",42.7291
"2010-05-11:12 AM",42.0462
"2010-05-12:12 AM",46.2403
"2010-05-13:12 AM",50.3467
"2010-05-14:12 AM",53.7417
"2010-05-15:12 AM",56.2876
"2010-05-16:12 AM",58.5982
"2010-05-17:12 AM",56.0212
"2010-05-18:12 AM",48.9844
"2010-05-19:12 AM",49.3183
"2010-05-20:12 AM",43.3945
"2010-05-21:12 AM",39.1849
"2010-05-22:12 AM",37.9929
"2010-05-23:12 AM",40.5631
"2010-05-24:12 AM",43.0754
"2010-05-25:12 AM",47.1146
"2010-05-26:12 AM",47.8893
"2010-05-27:12 AM",46.2234
"2010-05-28:12 AM",44.7721
"2010-05-29:12 AM",45.6616
"2010-05-30:12 AM",49.2323
"2010-05-31:12 AM",52.173
"2010-06-01:12 AM",51.2744
"2010-06-02:12 AM",51.6027
"2010-06-03:12 AM",50.851
"2010-06-04:12 AM",52.3571
"2010-06-05:12 AM",54.2581
"2010-06-06:12 AM",56.3797
"2010-06-07:12 AM",55.6308
"2010-06-08:12 AM",55.6416
"2010-06-09:12 AM",54.1258
"2010-06-10:12 AM",47.0493
"2010-06-11:12 AM",48.3292
"2010-06-12:12 AM",54.777
"2010-06-13:12 AM",57.9214
"2010-06-14:12 AM",56.1263
"2010-06-15:12 AM",50.407
"2010-06-16:12 AM",44.6443
"2010-06-17:12 AM",48.3766
"2010-06-18:12 AM",53.1887
"2010-06-19:12 AM",52.9551
"2010-06-20:12 AM",49.5657
"2010-06-21:12 AM",52.8991
"2010-06-22:12 AM",58.6963
"2010-06-23:12 AM",63.3412
"2010-06-24:12 AM",64.4706
"2010-06-25:12 AM",61.8129
"2010-06-26:12 AM",61.799
"2010-06-27:12 AM",63.6908
"2010-06-28:12 AM",65.0511
"2010-06-29:12 AM",62.4141
"2010-06-30:12 AM",57.4255
"2010-07-01:12 AM",56.9167
"2010-07-02:12 AM",53.4429
"2010-07-03:12 AM",53.6983
"2010-07-04:12 AM",56.9653
"2010-07-05:12 AM",57.4727
"2010-07-06:12 AM",60.4659
"2010-07-07:12 AM",67.1041
"2010-07-08:12 AM",69.3772
"2010-07-09:12 AM",72.1791
"2010-07-10:12 AM",70.759
"2010-07-11:12 AM",69.7347
"2010-07-12:12 AM",65.4944
"2010-07-13:12 AM",58.9636
"2010-07-14:12 AM",61.3159
"2010-07-15:12 AM",68.4768
"2010-07-16:12 AM",68.662
"2010-07-17:12 AM",66.8185
"2010-07-18:12 AM",63.7621
"2010-07-19:12 AM",62.3831
"2010-07-20:12 AM",63.9529
"2010-07-21:12 AM",64.8248
"2010-07-22:12 AM",66.2859
"2010-07-23:12 AM",65.61
"2010-07-24:12 AM",70.8422
"2010-07-25:12 AM",71.5903
"2010-07-26:12 AM",70.9923
"2010-07-27:12 AM",69.4247
"2010-07-28:12 AM",67.865
"2010-07-29:12 AM",67.1738
"2010-07-30:12 AM",67.9217
"2010-07-31:12 AM",65.3086
"2010-08-01:12 AM",63.2059
"2010-08-02:12 AM",65.8063
"2010-08-03:12 AM",66.634
"2010-08-04:12 AM",67.9104
"2010-08-05:12 AM",69.031
"2010-08-06:12 AM",68.2482
"2010-08-07:12 AM",65.671
"2010-08-08:12 AM",64.9501
"2010-08-09:12 AM",63.2077
"2010-08-10:12 AM",60.6666
"2010-08-11:12 AM",59.0358
"2010-08-12:12 AM",62.632
"2010-08-13:12 AM",66.4878
"2010-08-14:12 AM",68.7814
"2010-08-15:12 AM",68.997
"2010-08-16:12 AM",70.6978
"2010-08-17:12 AM",71.0004
"2010-08-18:12 AM",67.9957
"2010-08-19:12 AM",64.8378
"2010-08-20:12 AM",63.6679
"2010-08-21:12 AM",61.2082
"2010-08-22:12 AM",56.0673
"2010-08-23:12 AM",57.985
"2010-08-24:12 AM",67.4215
"2010-08-25:12 AM",72.2257
"2010-08-26:12 AM",67.7736
"2010-08-27:12 AM",56.6731
"2010-08-28:12 AM",52.844
"2010-08-29:12 AM",50.3379
"2010-08-30:12 AM",50.0952
"2010-08-31:12 AM",52.3657
"2010-09-01:12 AM",57.8871
"2010-09-02:12 AM",63.201
"2010-09-03:12 AM",68.7207
"2010-09-04:12 AM",63.0804
"2010-09-05:12 AM",52.3263
"2010-09-06:12 AM",52.9833
"2010-09-07:12 AM",55.4553
"2010-09-08:12 AM",53.6443
"2010-09-09:12 AM",50.1258
"2010-09-10:12 AM",52.4635
"2010-09-11:12 AM",56.0462
"2010-09-12:12 AM",59.878
"2010-09-13:12 AM",61.2581
"2010-09-14:12 AM",61.3456
"2010-09-15:12 AM",60.5129
"2010-09-16:12 AM",61.1586
"2010-09-17:12 AM",62.1887
"2010-09-18:12 AM",60.737
"2010-09-19:12 AM",56.1776
"2010-09-20:12 AM",53.0073
"2010-09-21:12 AM",52.3182
"2010-09-22:12 AM",52.9621
"2010-09-23:12 AM",51.2627
"2010-09-24:12 AM",57.646
"2010-09-25:12 AM",63.3985
"2010-09-26:12 AM",63.2431
"2010-09-27:12 AM",66.8718
"2010-09-28:12 AM",66.0047
"2010-09-29:12 AM",64.9794
"2010-09-30:12 AM",66.4936
"2010-10-01:12 AM",65.9498
"2010-10-02:12 AM",63.4831
"2010-10-03:12 AM",58.9003
"2010-10-04:12 AM",51.5937
"2010-10-05:12 AM",48.9731
"2010-10-06:12 AM",55.1523
"2010-10-07:12 AM",52.7997
"2010-10-08:12 AM",53.5426
"2010-10-09:12 AM",54.5817
"2010-10-10:12 AM",57.0155
"2010-10-11:12 AM",49.8301
"2010-10-12:12 AM",49.4092
"2010-10-13:12 AM",54.7581
"2010-10-14:12 AM",55.908
"2010-10-15:12 AM",52.9144
"2010-10-16:12 AM",50.7513
"2010-10-17:12 AM",49.4406
"2010-10-18:12 AM",48.6041
"2010-10-19:12 AM",51.5847
"2010-10-20:12 AM",53.9769
"2010-10-21:12 AM",52.7139
"2010-10-22:12 AM",49.7964
"2010-10-23:12 AM",47.7387
"2010-10-24:12 AM",46.09
"2010-10-25:12 AM",39.9978
"2010-10-26:12 AM",38.2429
"2010-10-27:12 AM",38.4755
"2010-10-28:12 AM",42.4
"2010-10-29:12 AM",45.2331
"2010-10-30:12 AM",45.5126
"2010-10-31:12 AM",45.5628
"2010-11-01:12 AM",49.5315
"2010-11-02:12 AM",52.723
"2010-11-03:12 AM",52.1474
"2010-11-04:12 AM",52.8418
"2010-11-05:12 AM",52.5371
"2010-11-06:12 AM",51.7217
"2010-11-07:12 AM",46.1768
"2010-11-08:12 AM",37.1039
"2010-11-09:12 AM",35.082
"2010-11-10:12 AM",37.6659
"2010-11-11:12 AM",36.198
"2010-11-12:12 AM",38.0053
"2010-11-13:12 AM",35.8513
"2010-11-14:12 AM",43.5468
"2010-11-15:12 AM",46.0756
"2010-11-16:12 AM",42.6504
"2010-11-17:12 AM",39.7152
"2010-11-18:12 AM",39.2772
"2010-11-19:12 AM",33.5187
"2010-11-20:12 AM",31.7035
"2010-11-21:12 AM",30.4583
"2010-11-22:12 AM",30.812
"2010-11-23:12 AM",23.4729
"2010-11-24:12 AM",19.0549
"2010-11-25:12 AM",24.2074
"2010-11-26:12 AM",31.599
"2010-11-27:12 AM",32.5587
"2010-11-28:12 AM",30.3674
"2010-11-29:12 AM",29.1015
"2010-11-30:12 AM",31.7784
"2010-12-01:12 AM",36.4932
"2010-12-02:12 AM",36.0201
"2010-12-03:12 AM",32.3686
"2010-12-04:12 AM",33.4744
"2010-12-05:12 AM",34.8982
"2010-12-06:12 AM",36.6224
"2010-12-07:12 AM",38.2543
"2010-12-08:12 AM",40.4031
"2010-12-09:12 AM",40.5595
"2010-12-10:12 AM",39.2054
"2010-12-11:12 AM",38.5439
"2010-12-12:12 AM",45.9226
"2010-12-13:12 AM",44.2022
"2010-12-14:12 AM",40.082
"2010-12-15:12 AM",32.068
"2010-12-16:12 AM",27.7065
"2010-12-17:12 AM",26.0996
"2010-12-18:12 AM",32.056
"2010-12-19:12 AM",32.5749
"2010-12-20:12 AM",32.4538
"2010-12-21:12 AM",32.9511
"2010-12-22:12 AM",33.9438
"2010-12-23:12 AM",33.3419
"2010-12-24:12 AM",35.1369
"2010-12-25:12 AM",35.8297
"2010-12-26:12 AM",34.2639
"2010-12-27:12 AM",33.9116
"2010-12-28:12 AM",37.0269
"2010-12-29:12 AM",30.2405
"2010-12-30:12 AM",24.2152
"2010-12-31:12 AM",18.5895
"2011-01-01:12 AM",19.9231
"2011-01-02:12 AM",22.5028
"2011-01-03:12 AM",22.3745
"2011-01-04:12 AM",23.2941
"2011-01-05:12 AM",28.6036
"2011-01-06:12 AM",31.235
"2011-01-07:12 AM",31.1119
"2011-01-08:12 AM",30.4158
"2011-01-09:12 AM",25.0349
"2011-01-10:12 AM",22.6828
"2011-01-11:12 AM",22.7703
"2011-01-12:12 AM",32.9801
"2011-01-13:12 AM",37.9197
"2011-01-14:12 AM",40.8072
"2011-01-15:12 AM",40.1967
"2011-01-16:12 AM",43.9623
"2011-01-17:12 AM",43.0698
"2011-01-18:12 AM",35.7256
"2011-01-19:12 AM",34.0443
"2011-01-20:12 AM",31.4526
"2011-01-21:12 AM",36.0068
"2011-01-22:12 AM",35.0416
"2011-01-23:12 AM",35.7955
"2011-01-24:12 AM",38.386
"2011-01-25:12 AM",37.5022
"2011-01-26:12 AM",37.2034
"2011-01-27:12 AM",38.1628
"2011-01-28:12 AM",37.6261
"2011-01-29:12 AM",37.3422
"2011-01-30:12 AM",35.4999
"2011-01-31:12 AM",33.4117
"2011-02-01:12 AM",27.9763
"2011-02-02:12 AM",27.4888
"2011-02-03:12 AM",33.2386
"2011-02-04:12 AM",38.2231
"2011-02-05:12 AM",39.9207
"2011-02-06:12 AM",39.7825
"2011-02-07:12 AM",35.6938
"2011-02-08:12 AM",32.0068
"2011-02-09:12 AM",29.5531
"2011-02-10:12 AM",31.9591
"2011-02-11:12 AM",36.5758
"2011-02-12:12 AM",40.3342
"2011-02-13:12 AM",40.1115
"2011-02-14:12 AM",39.5353
"2011-02-15:12 AM",37.4331
"2011-02-16:12 AM",31.9838
"2011-02-17:12 AM",28.0204
"2011-02-18:12 AM",29.2865
"2011-02-19:12 AM",29.0984
"2011-02-20:12 AM",28.234
"2011-02-21:12 AM",28.1788
"2011-02-22:12 AM",28.8876
"2011-02-23:12 AM",26.4213
"2011-02-24:12 AM",25.1602
"2011-02-25:12 AM",18.3751
"2011-02-26:12 AM",14.7817
"2011-02-27:12 AM",23.6991
"2011-02-28:12 AM",31.4548
"2011-03-01:12 AM",33.9562
"2011-03-02:12 AM",35.8682
"2011-03-03:12 AM",34.317
"2011-03-04:12 AM",34.3281
"2011-03-05:12 AM",37.8394
"2011-03-06:12 AM",36.4557
"2011-03-07:12 AM",32.5978
"2011-03-08:12 AM",34.083
"2011-03-09:12 AM",40.3876
"2011-03-10:12 AM",39.659
"2011-03-11:12 AM",35.2045
"2011-03-12:12 AM",35.7145
"2011-03-13:12 AM",38.457
"2011-03-14:12 AM",38.7617
"2011-03-15:12 AM",40.0845
"2011-03-16:12 AM",35.5089
"2011-03-17:12 AM",32.6674
"2011-03-18:12 AM",34.9972
"2011-03-19:12 AM",33.4186
"2011-03-20:12 AM",34.8568
"2011-03-21:12 AM",35.0901
"2011-03-22:12 AM",33.4195
"2011-03-23:12 AM",34.4012
"2011-03-24:12 AM",36.2053
"2011-03-25:12 AM",33.2739
"2011-03-26:12 AM",34.1931
"2011-03-27:12 AM",33.2299
"2011-03-28:12 AM",34.862
"2011-03-29:12 AM",36.9921
"2011-03-30:12 AM",43.8937
"2011-03-31:12 AM",46.8199
"2011-04-01:12 AM",48.4399
"2011-04-02:12 AM",39.7467
"2011-04-03:12 AM",35.1954
"2011-04-04:12 AM",39.686
"2011-04-05:12 AM",40.5801
"2011-04-06:12 AM",34.7274
"2011-04-07:12 AM",31.026
"2011-04-08:12 AM",32.9277
"2011-04-09:12 AM",34.5034
"2011-04-10:12 AM",38.7428
"2011-04-11:12 AM",38.6793
"2011-04-12:12 AM",37.2043
"2011-04-13:12 AM",36.5373
"2011-04-14:12 AM",35.3671
"2011-04-15:12 AM",38.4307
"2011-04-16:12 AM",44.6695
"2011-04-17:12 AM",42.8533
"2011-04-18:12 AM",38.4773
"2011-04-19:12 AM",36.7389
"2011-04-20:12 AM",37.4297
"2011-04-21:12 AM",36.1506
"2011-04-22:12 AM",37.3653
"2011-04-23:12 AM",40.2321
"2011-04-24:12 AM",40.8758
"2011-04-25:12 AM",38.6674
"2011-04-26:12 AM",36.9833
"2011-04-27:12 AM",40.3102
"2011-04-28:12 AM",37.2483
"2011-04-29:12 AM",34.1823
"2011-04-30:12 AM",38.2096
"2011-05-01:12 AM",42.2218
"2011-05-02:12 AM",44.1869
"2011-05-03:12 AM",40.8573
"2011-05-04:12 AM",45.487
"2011-05-05:12 AM",48.5109
"2011-05-06:12 AM",46.5008
"2011-05-07:12 AM",45.4683
"2011-05-08:12 AM",41.0851
"2011-05-09:12 AM",39.6045
"2011-05-10:12 AM",46.6614
"2011-05-11:12 AM",48.9576
"2011-05-12:12 AM",46.83
"2011-05-13:12 AM",49.3187
"2011-05-14:12 AM",52.0054
"2011-05-15:12 AM",43.0394
"2011-05-16:12 AM",40.5932
"2011-05-17:12 AM",40.8038
"2011-05-18:12 AM",43.1053
"2011-05-19:12 AM",47.0982
"2011-05-20:12 AM",49.4305
"2011-05-21:12 AM",49.5657
"2011-05-22:12 AM",46.9704
"2011-05-23:12 AM",43.6224
"2011-05-24:12 AM",45.7432
"2011-05-25:12 AM",45.4375
"2011-05-26:12 AM",40.4911
"2011-05-27:12 AM",42.2965
"2011-05-28:12 AM",39.6397
"2011-05-29:12 AM",40.6611
"2011-05-30:12 AM",45.0635
"2011-05-31:12 AM",46.402
"2011-06-01:12 AM",43.7277
"2011-06-02:12 AM",42.7786
"2011-06-03:12 AM",47.2609
"2011-06-04:12 AM",55.0692
"2011-06-05:12 AM",56.9838
"2011-06-06:12 AM",52.5821
"2011-06-07:12 AM",51.157
"2011-06-08:12 AM",49.3237
"2011-06-09:12 AM",51.2496
"2011-06-10:12 AM",52.7364
"2011-06-11:12 AM",51.3115
"2011-06-12:12 AM",53.0956
"2011-06-13:12 AM",54.4489
"2011-06-14:12 AM",54.32
"2011-06-15:12 AM",51.084
"2011-06-16:12 AM",49.0208
"2011-06-17:12 AM",52.702
"2011-06-18:12 AM",50.1435
"2011-06-19:12 AM",53.5433
"2011-06-20:12 AM",57.4106
"2011-06-21:12 AM",62.7496
"2011-06-22:12 AM",64.3375
"2011-06-23:12 AM",58.1103
"2011-06-24:12 AM",53.8923
"2011-06-25:12 AM",54.6942
"2011-06-26:12 AM",57.7913
"2011-06-27:12 AM",62.4765
"2011-06-28:12 AM",62.0213
"2011-06-29:12 AM",57.2612
"2011-06-30:12 AM",55.4715
"2011-07-01:12 AM",58.0797
"2011-07-02:12 AM",63.4426
"2011-07-03:12 AM",63.4125
"2011-07-04:12 AM",63.5814
"2011-07-05:12 AM",65.9556
"2011-07-06:12 AM",68.7421
"2011-07-07:12 AM",65.95
"2011-07-08:12 AM",59.6926
"2011-07-09:12 AM",59.7706
"2011-07-10:12 AM",61.4548
"2011-07-11:12 AM",61.7743
"2011-07-12:12 AM",59.3971
"2011-07-13:12 AM",57.6023
"2011-07-14:12 AM",55.7989
"2011-07-15:12 AM",59.8818
"2011-07-16:12 AM",59.9007
"2011-07-17:12 AM",60.5152
"2011-07-18:12 AM",61.2943
"2011-07-19:12 AM",58.6524
"2011-07-20:12 AM",58.3842
"2011-07-21:12 AM",60.0739
"2011-07-22:12 AM",61.1172
"2011-07-23:12 AM",63.8173
"2011-07-24:12 AM",68.772
"2011-07-25:12 AM",65.6857
"2011-07-26:12 AM",61.6735
"2011-07-27:12 AM",61.4863
"2011-07-28:12 AM",64.5013
"2011-07-29:12 AM",67.9487
"2011-07-30:12 AM",68.7182
"2011-07-31:12 AM",68.1843
"2011-08-01:12 AM",67.5171
"2011-08-02:12 AM",66.5879
"2011-08-03:12 AM",65.8931
"2011-08-04:12 AM",66.8624
"2011-08-05:12 AM",66.7535
"2011-08-06:12 AM",65.9773
"2011-08-07:12 AM",64.8588
"2011-08-08:12 AM",64.7206
"2011-08-09:12 AM",62.8779
"2011-08-10:12 AM",61.516
"2011-08-11:12 AM",61.9246
"2011-08-12:12 AM",64.0603
"2011-08-13:12 AM",64.5008
"2011-08-14:12 AM",62.9515
"2011-08-15:12 AM",60.2335
"2011-08-16:12 AM",63.4651
"2011-08-17:12 AM",65.2206
"2011-08-18:12 AM",64.0427
"2011-08-19:12 AM",64.2108
"2011-08-20:12 AM",67.2726
"2011-08-21:12 AM",68.7472
"2011-08-22:12 AM",67.9674
"2011-08-23:12 AM",67.5235
"2011-08-24:12 AM",69.7957
"2011-08-25:12 AM",69.8247
"2011-08-26:12 AM",70.4889
"2011-08-27:12 AM",70.2059
"2011-08-28:12 AM",69.0141
"2011-08-29:12 AM",65.8096
"2011-08-30:12 AM",62.886
"2011-08-31:12 AM",55.6948
"2011-09-01:12 AM",54.9003
"2011-09-02:12 AM",59.3132
"2011-09-03:12 AM",62.2522
"2011-09-04:12 AM",65.4512
"2011-09-05:12 AM",65.8476
"2011-09-06:12 AM",67.4438
"2011-09-07:12 AM",70.0038
"2011-09-08:12 AM",70.4541
"2011-09-09:12 AM",69.5982
"2011-09-10:12 AM",69.5568
"2011-09-11:12 AM",69.3451
"2011-09-12:12 AM",67.242
"2011-09-13:12 AM",66.0337
"2011-09-14:12 AM",63.4131
"2011-09-15:12 AM",58.2294
"2011-09-16:12 AM",54.1114
"2011-09-17:12 AM",53.1253
"2011-09-18:12 AM",58.6809
"2011-09-19:12 AM",60.8171
"2011-09-20:12 AM",60.3142
"2011-09-21:12 AM",62.6547
"2011-09-22:12 AM",64.8669
"2011-09-23:12 AM",67.9892
"2011-09-24:12 AM",67.6004
"2011-09-25:12 AM",59.5823
"2011-09-26:12 AM",54.9981
"2011-09-27:12 AM",58.6101
"2011-09-28:12 AM",57.1651
"2011-09-29:12 AM",61.4413
"2011-09-30:12 AM",63.4428
"2011-10-01:12 AM",59.1026
"2011-10-02:12 AM",55.1138
"2011-10-03:12 AM",54.7842
"2011-10-04:12 AM",50.2052
"2011-10-05:12 AM",45.2633
"2011-10-06:12 AM",41.0722
"2011-10-07:12 AM",45.2005
"2011-10-08:12 AM",48.0375
"2011-10-09:12 AM",48.6406
"2011-10-10:12 AM",49.2841
"2011-10-11:12 AM",50.11
"2011-10-12:12 AM",47.997
"2011-10-13:12 AM",50.0317
"2011-10-14:12 AM",53.8516
"2011-10-15:12 AM",53.4864
"2011-10-16:12 AM",51.8506
"2011-10-17:12 AM",48.6939
"2011-10-18:12 AM",51.8376
"2011-10-19:12 AM",51.6204
"2011-10-20:12 AM",50.7299
"2011-10-21:12 AM",50.0963
"2011-10-22:12 AM",51.0188
"2011-10-23:12 AM",51.6013
"2011-10-24:12 AM",46.1626
"2011-10-25:12 AM",38.4069
"2011-10-26:12 AM",37.5618
"2011-10-27:12 AM",40.5108
"2011-10-28:12 AM",43.3521
"2011-10-29:12 AM",48.0618
"2011-10-30:12 AM",48.4615
"2011-10-31:12 AM",46.4886
"2011-11-01:12 AM",36.4654
"2011-11-02:12 AM",37.2567
"2011-11-03:12 AM",36.7369
"2011-11-04:12 AM",32.2612
"2011-11-05:12 AM",30.7011
"2011-11-06:12 AM",32.6467
"2011-11-07:12 AM",33.1056
"2011-11-08:12 AM",33.6344
"2011-11-09:12 AM",36.3114
"2011-11-10:12 AM",37.7166
"2011-11-11:12 AM",38.2006
"2011-11-12:12 AM",36.8888
"2011-11-13:12 AM",38.8189
"2011-11-14:12 AM",37.008
"2011-11-15:12 AM",35.4882
"2011-11-16:12 AM",35.4594
"2011-11-17:12 AM",39.6235
"2011-11-18:12 AM",32.0644
"2011-11-19:12 AM",28.0346
"2011-11-20:12 AM",27.7763
"2011-11-21:12 AM",32.4963
"2011-11-22:12 AM",39.2522
"2011-11-23:12 AM",40.728
"2011-11-24:12 AM",37.5127
"2011-11-25:12 AM",35.9971
"2011-11-26:12 AM",36.8656
"2011-11-27:12 AM",40.0728
"2011-11-28:12 AM",39.5019
"2011-11-29:12 AM",36.7745
"2011-11-30:12 AM",35.0577
"2011-12-01:12 AM",30.8939
"2011-12-02:12 AM",31.7354
"2011-12-03:12 AM",28.0616
"2011-12-04:12 AM",28.623
"2011-12-05:12 AM",26.9303
"2011-12-06:12 AM",30.3156
"2011-12-07:12 AM",30.6867
"2011-12-08:12 AM",29.3925
"2011-12-09:12 AM",31.0797
"2011-12-10:12 AM",31.0069
"2011-12-11:12 AM",29.0269
"2011-12-12:12 AM",26.186
"2011-12-13:12 AM",25.1938
"2011-12-14:12 AM",27.6541
"2011-12-15:12 AM",31.8159
"2011-12-16:12 AM",31.3255
"2011-12-17:12 AM",33.3493
"2011-12-18:12 AM",32.7371
"2011-12-19:12 AM",31.4631
"2011-12-20:12 AM",31.3671
"2011-12-21:12 AM",28.8612
"2011-12-22:12 AM",25.4799
"2011-12-23:12 AM",29.466
"2011-12-24:12 AM",32.7879
"2011-12-25:12 AM",33.2546
"2011-12-26:12 AM",31.9323
"2011-12-27:12 AM",34.9002
"2011-12-28:12 AM",41.9257
"2011-12-29:12 AM",42.2164
"2011-12-30:12 AM",40.734
"2011-12-31:12 AM",30.3202
"2012-01-01:12 AM",33.6529
"2012-01-02:12 AM",35.1349
"2012-01-03:12 AM",36.8146
"2012-01-04:12 AM",39.5904
"2012-01-05:12 AM",38.2588
"2012-01-06:12 AM",31.5793
"2012-01-07:12 AM",30.9497
"2012-01-08:12 AM",32.2601
"2012-01-09:12 AM",33.9148
"2012-01-10:12 AM",33.8419
"2012-01-11:12 AM",29.5219
"2012-01-12:12 AM",28.1917
"2012-01-13:12 AM",32.144
"2012-01-14:12 AM",34.5254
"2012-01-15:12 AM",28.5145
"2012-01-16:12 AM",23.0191
"2012-01-17:12 AM",25.3067
"2012-01-18:12 AM",31.9788
"2012-01-19:12 AM",37.409
"2012-01-20:12 AM",37.2855
"2012-01-21:12 AM",35.8293
"2012-01-22:12 AM",30.686
"2012-01-23:12 AM",31.4674
"2012-01-24:12 AM",30.942
"2012-01-25:12 AM",39.3233
"2012-01-26:12 AM",37.6299
"2012-01-27:12 AM",28.5525
"2012-01-28:12 AM",31.5046
"2012-01-29:12 AM",35.5275
"2012-01-30:12 AM",37.6444
"2012-01-31:12 AM",35.145
"2012-02-01:12 AM",35.9011
"2012-02-02:12 AM",32.4262
"2012-02-03:12 AM",32.7483
"2012-02-04:12 AM",32.956
"2012-02-05:12 AM",33.8054
"2012-02-06:12 AM",33.766
"2012-02-07:12 AM",33.8652
"2012-02-08:12 AM",36.0297
"2012-02-09:12 AM",39.4353
"2012-02-10:12 AM",39.7886
"2012-02-11:12 AM",37.8747
"2012-02-12:12 AM",33.6144
"2012-02-13:12 AM",33.0091
"2012-02-14:12 AM",32.023
"2012-02-15:12 AM",29.9525
