"DateTime","(deg F) Mean Temperature (CFSR) at Florida, 2010-01-01 to 2019-03-14"
"2010-05-08:12 AM",79.108
"2010-05-09:12 AM",75.5013
"2010-05-10:12 AM",74.4438
"2010-05-11:12 AM",76.1032
"2010-05-12:12 AM",76.0185
"2010-05-13:12 AM",77.0178
"2010-05-14:12 AM",77.6264
"2010-05-15:12 AM",78.0109
"2010-05-16:12 AM",77.3827
"2010-05-17:12 AM",76.8393
"2010-05-18:12 AM",78.4083
"2010-05-19:12 AM",78.5903
"2010-05-20:12 AM",79.7212
"2010-05-21:12 AM",80.0577
"2010-05-22:12 AM",79.7671
"2010-05-23:12 AM",79.6048
"2010-05-24:12 AM",78.9307
"2010-05-25:12 AM",76.2289
"2010-05-26:12 AM",77.0461
"2010-05-27:12 AM",79.63
"2010-05-28:12 AM",79.2739
"2010-05-29:12 AM",77.554
"2010-05-30:12 AM",77.9268
"2010-05-31:12 AM",79.4548
"2010-06-01:12 AM",80.1657
"2010-06-02:12 AM",80.8533
"2010-06-03:12 AM",80.7058
"2010-06-04:12 AM",81.1584
"2010-06-05:12 AM",82.702
"2010-06-06:12 AM",83.5225
"2010-06-07:12 AM",83.4175
"2010-06-08:12 AM",82.3118
"2010-06-09:12 AM",81.1738
"2010-06-10:12 AM",82.3948
"2010-06-11:12 AM",84.1831
"2010-06-12:12 AM",84.6568
"2010-06-13:12 AM",84.961
"2010-06-14:12 AM",86.1148
"2010-06-15:12 AM",85.8376
"2010-06-16:12 AM",86.1388
"2010-06-17:12 AM",84.8167
"2010-06-18:12 AM",84.2839
"2010-06-19:12 AM",83.3103
"2010-06-20:12 AM",82.9094
"2010-06-21:12 AM",81.6598
"2010-06-22:12 AM",82.8331
"2010-06-23:12 AM",84.0313
"2010-06-24:12 AM",85.0282
"2010-06-25:12 AM",84.4225
"2010-06-26:12 AM",84.5582
"2010-06-27:12 AM",84.3496
"2010-06-28:12 AM",83.1085
"2010-06-29:12 AM",83.1119
"2010-06-30:12 AM",80.9182
"2010-07-01:12 AM",79.6512
"2010-07-02:12 AM",78.503
"2010-07-03:12 AM",78.3372
"2010-07-04:12 AM",78.5304
"2010-07-05:12 AM",77.9569
"2010-07-06:12 AM",79.6456
"2010-07-07:12 AM",81.1549
"2010-07-08:12 AM",81.9754
"2010-07-09:12 AM",84.1026
"2010-07-10:12 AM",84.1246
"2010-07-11:12 AM",82.8369
"2010-07-12:12 AM",82.348
"2010-07-13:12 AM",83.781
"2010-07-14:12 AM",83.6204
"2010-07-15:12 AM",83.0143
"2010-07-16:12 AM",82.2331
"2010-07-17:12 AM",83.4424
"2010-07-18:12 AM",83.0493
"2010-07-19:12 AM",83.0647
"2010-07-20:12 AM",84.7027
"2010-07-21:12 AM",85.0447
"2010-07-22:12 AM",84.7402
"2010-07-23:12 AM",83.4622
"2010-07-24:12 AM",83.0532
"2010-07-25:12 AM",82.9717
"2010-07-26:12 AM",83.7208
"2010-07-27:12 AM",85.6186
"2010-07-28:12 AM",85.2494
"2010-07-29:12 AM",85.8463
"2010-07-30:12 AM",85.6636
"2010-07-31:12 AM",85.9327
"2010-08-01:12 AM",85.5212
"2010-08-02:12 AM",85.1135
"2010-08-03:12 AM",84.0693
"2010-08-04:12 AM",83.5241
"2010-08-05:12 AM",82.6155
"2010-08-06:12 AM",83.2181
"2010-08-07:12 AM",83.2204
"2010-08-08:12 AM",82.6963
"2010-08-09:12 AM",81.9223
"2010-08-10:12 AM",81.2208
"2010-08-11:12 AM",81.2228
"2010-08-12:12 AM",82.3159
"2010-08-13:12 AM",83.6391
"2010-08-14:12 AM",84.5404
"2010-08-15:12 AM",83.8236
"2010-08-16:12 AM",83.2356
"2010-08-17:12 AM",84.1856
"2010-08-18:12 AM",83.3873
"2010-08-19:12 AM",83.82
"2010-08-20:12 AM",83.9588
"2010-08-21:12 AM",83.4834
"2010-08-22:12 AM",82.9861
"2010-08-23:12 AM",80.9654
"2010-08-24:12 AM",81.0264
"2010-08-25:12 AM",81.4842
"2010-08-26:12 AM",80.5271
"2010-08-27:12 AM",79.1467
"2010-08-28:12 AM",78.8878
"2010-08-29:12 AM",79.6483
"2010-08-30:12 AM",79.8951
"2010-08-31:12 AM",80.8072
"2010-09-01:12 AM",80.8437
"2010-09-02:12 AM",80.6457
"2010-09-03:12 AM",81.3936
"2010-09-04:12 AM",82.2321
"2010-09-05:12 AM",80.8752
"2010-09-06:12 AM",80.8992
"2010-09-07:12 AM",80.118
"2010-09-08:12 AM",80.8954
"2010-09-09:12 AM",81.9657
"2010-09-10:12 AM",82.4216
"2010-09-11:12 AM",83.4805
"2010-09-12:12 AM",82.6086
"2010-09-13:12 AM",81.7761
"2010-09-14:12 AM",81.0028
"2010-09-15:12 AM",79.0844
"2010-09-16:12 AM",79.605
"2010-09-17:12 AM",80.0899
"2010-09-18:12 AM",80.5969
"2010-09-19:12 AM",79.9277
"2010-09-20:12 AM",79.9284
"2010-09-21:12 AM",80.0757
"2010-09-22:12 AM",80.0416
"2010-09-23:12 AM",79.7351
"2010-09-24:12 AM",79.8413
"2010-09-25:12 AM",79.9178
"2010-09-26:12 AM",78.6751
"2010-09-27:12 AM",77.8458
"2010-09-28:12 AM",76.3768
"2010-09-29:12 AM",75.2014
"2010-09-30:12 AM",75.0403
"2010-10-01:12 AM",74.6643
"2010-10-02:12 AM",74.6415
"2010-10-03:12 AM",73.2295
"2010-10-04:12 AM",69.375
"2010-10-05:12 AM",69.0913
"2010-10-06:12 AM",68.5701
"2010-10-07:12 AM",67.6618
"2010-10-08:12 AM",70.8426
"2010-10-09:12 AM",71.9326
"2010-10-10:12 AM",74.0012
"2010-10-11:12 AM",74.7248
"2010-10-12:12 AM",73.5921
"2010-10-13:12 AM",74.8445
"2010-10-14:12 AM",73.0292
"2010-10-15:12 AM",69.0816
"2010-10-16:12 AM",67.9417
"2010-10-17:12 AM",68.1028
"2010-10-18:12 AM",68.6122
"2010-10-19:12 AM",71.2623
"2010-10-20:12 AM",73.8997
"2010-10-21:12 AM",71.6594
"2010-10-22:12 AM",71.251
"2010-10-23:12 AM",72.6762
"2010-10-24:12 AM",75.0596
"2010-10-25:12 AM",76.0654
"2010-10-26:12 AM",77.7319
"2010-10-27:12 AM",78.9899
"2010-10-28:12 AM",77.583
"2010-10-29:12 AM",71.9487
"2010-10-30:12 AM",69.6389
"2010-10-31:12 AM",70.8397
"2010-11-01:12 AM",71.5766
"2010-11-02:12 AM",71.4682
"2010-11-03:12 AM",71.9778
"2010-11-04:12 AM",69.2089
"2010-11-05:12 AM",58.6263
"2010-11-06:12 AM",52.4826
"2010-11-07:12 AM",53.1531
"2010-11-08:12 AM",56.8418
"2010-11-09:12 AM",60.6
"2010-11-10:12 AM",63.3547
"2010-11-11:12 AM",65.6058
"2010-11-12:12 AM",65.8368
"2010-11-13:12 AM",62.5345
"2010-11-14:12 AM",62.5474
"2010-11-15:12 AM",65.728
"2010-11-16:12 AM",70.1791
"2010-11-17:12 AM",67.5162
"2010-11-18:12 AM",63.9887
"2010-11-19:12 AM",63.1211
"2010-11-20:12 AM",65.9746
"2010-11-21:12 AM",68.1118
"2010-11-22:12 AM",69.5395
"2010-11-23:12 AM",70.1794
"2010-11-24:12 AM",69.4746
"2010-11-25:12 AM",70.8627
"2010-11-26:12 AM",71.3597
"2010-11-27:12 AM",63.6586
"2010-11-28:12 AM",61.6599
"2010-11-29:12 AM",70.2536
"2010-11-30:12 AM",73.1278
"2010-12-01:12 AM",60.6825
"2010-12-02:12 AM",50.3411
"2010-12-03:12 AM",51.6853
"2010-12-04:12 AM",56.5815
"2010-12-05:12 AM",59.1346
"2010-12-06:12 AM",46.5706
"2010-12-07:12 AM",42.4607
"2010-12-08:12 AM",43.6325
"2010-12-09:12 AM",45.4708
"2010-12-10:12 AM",51.2879
"2010-12-11:12 AM",55.8514
"2010-12-12:12 AM",55.5838
"2010-12-13:12 AM",43.1227
"2010-12-14:12 AM",37.3577
"2010-12-15:12 AM",41.1332
"2010-12-16:12 AM",52.8834
"2010-12-17:12 AM",61.0846
"2010-12-18:12 AM",59.3296
"2010-12-19:12 AM",53.9847
"2010-12-20:12 AM",48.5686
"2010-12-21:12 AM",53.7924
"2010-12-22:12 AM",60.3318
"2010-12-23:12 AM",57.0619
"2010-12-24:12 AM",50.9241
"2010-12-25:12 AM",54.8431
"2010-12-26:12 AM",48.1744
"2010-12-27:12 AM",39.9396
"2010-12-28:12 AM",40.5529
"2010-12-29:12 AM",45.631
"2010-12-30:12 AM",56.3234
"2010-12-31:12 AM",63.0865
"2011-01-01:12 AM",65.2523
"2011-01-02:12 AM",63.8577
"2011-01-03:12 AM",56.2379
"2011-01-04:12 AM",56.0833
"2011-01-05:12 AM",60.6943
"2011-01-06:12 AM",59.1588
"2011-01-07:12 AM",53.0622
"2011-01-08:12 AM",57.22
"2011-01-09:12 AM",51.2197
"2011-01-10:12 AM",59.0322
"2011-01-11:12 AM",55.4743
"2011-01-12:12 AM",45.1139
"2011-01-13:12 AM",40.5113
"2011-01-14:12 AM",45.4653
"2011-01-15:12 AM",51.0665
"2011-01-16:12 AM",54.5391
"2011-01-17:12 AM",58.2157
"2011-01-18:12 AM",61.1931
"2011-01-19:12 AM",62.3129
"2011-01-20:12 AM",59.6262
"2011-01-21:12 AM",60.0807
"2011-01-22:12 AM",50.3233
"2011-01-23:12 AM",44.967
"2011-01-24:12 AM",53.1804
"2011-01-25:12 AM",63.1364
"2011-01-26:12 AM",59.2668
"2011-01-27:12 AM",49.5217
"2011-01-28:12 AM",51.9409
"2011-01-29:12 AM",55.204
"2011-01-30:12 AM",57.0274
"2011-01-31:12 AM",59.9828
"2011-02-01:12 AM",64.594
"2011-02-02:12 AM",65.4397
"2011-02-03:12 AM",59.4955
"2011-02-04:12 AM",62.2233
"2011-02-05:12 AM",62.9263
"2011-02-06:12 AM",57.7983
"2011-02-07:12 AM",61.1512
"2011-02-08:12 AM",52.248
"2011-02-09:12 AM",52.722
"2011-02-10:12 AM",57.5422
"2011-02-11:12 AM",52.7248
"2011-02-12:12 AM",48.6829
"2011-02-13:12 AM",50.7223
"2011-02-14:12 AM",53.7051
"2011-02-15:12 AM",56.3475
"2011-02-16:12 AM",60.2681
"2011-02-17:12 AM",62.1383
"2011-02-18:12 AM",63.9052
"2011-02-19:12 AM",63.6341
"2011-02-20:12 AM",64.5962
"2011-02-21:12 AM",66.3881
"2011-02-22:12 AM",68.1456
"2011-02-23:12 AM",67.168
"2011-02-24:12 AM",65.9392
"2011-02-25:12 AM",69.1797
"2011-02-26:12 AM",67.5991
"2011-02-27:12 AM",68.0202
"2011-02-28:12 AM",70.016
"2011-03-01:12 AM",67.8148
"2011-03-02:12 AM",64.2918
"2011-03-03:12 AM",64.4545
"2011-03-04:12 AM",65.6409
"2011-03-05:12 AM",67.0426
"2011-03-06:12 AM",65.1168
"2011-03-07:12 AM",57.301
"2011-03-08:12 AM",62.6448
"2011-03-09:12 AM",69.4738
"2011-03-10:12 AM",63.8208
"2011-03-11:12 AM",53.3466
"2011-03-12:12 AM",55.45
"2011-03-13:12 AM",59.9056
"2011-03-14:12 AM",62.3683
"2011-03-15:12 AM",65.0269
"2011-03-16:12 AM",66.1253
"2011-03-17:12 AM",66.2581
"2011-03-18:12 AM",66.994
"2011-03-19:12 AM",66.9443
"2011-03-20:12 AM",68.0338
"2011-03-21:12 AM",69.613
"2011-03-22:12 AM",68.4898
"2011-03-23:12 AM",68.9765
"2011-03-24:12 AM",71.0364
"2011-03-25:12 AM",68.1955
"2011-03-26:12 AM",70.0174
"2011-03-27:12 AM",74.0995
"2011-03-28:12 AM",72.6496
"2011-03-29:12 AM",67.6674
"2011-03-30:12 AM",72.5338
"2011-03-31:12 AM",70.4953
"2011-04-01:12 AM",67.0316
"2011-04-02:12 AM",69.033
"2011-04-03:12 AM",69.8884
"2011-04-04:12 AM",73.8151
"2011-04-05:12 AM",68.0441
"2011-04-06:12 AM",62.8925
"2011-04-07:12 AM",69.8619
"2011-04-08:12 AM",74.5923
"2011-04-09:12 AM",76.2802
"2011-04-10:12 AM",75.6208
"2011-04-11:12 AM",76.3002
"2011-04-12:12 AM",73.481
"2011-04-13:12 AM",70.2514
"2011-04-14:12 AM",70.0821
"2011-04-15:12 AM",73.5049
"2011-04-16:12 AM",74.5786
"2011-04-17:12 AM",70.1928
"2011-04-18:12 AM",71.1838
"2011-04-19:12 AM",75.1645
"2011-04-20:12 AM",77.0572
"2011-04-21:12 AM",76.2453
"2011-04-22:12 AM",75.2657
"2011-04-23:12 AM",75.1658
"2011-04-24:12 AM",75.3658
"2011-04-25:12 AM",75.5233
"2011-04-26:12 AM",77.1721
"2011-04-27:12 AM",79.8138
"2011-04-28:12 AM",78.2632
"2011-04-29:12 AM",73.1671
"2011-04-30:12 AM",72.0102
"2011-05-01:12 AM",75.636
"2011-05-02:12 AM",77.2675
"2011-05-03:12 AM",77.0436
"2011-05-04:12 AM",72.558
"2011-05-05:12 AM",70.7886
"2011-05-06:12 AM",71.7453
"2011-05-07:12 AM",73.7607
"2011-05-08:12 AM",75.862
"2011-05-09:12 AM",77.905
"2011-05-10:12 AM",79.5434
"2011-05-11:12 AM",80.0218
"2011-05-12:12 AM",79.6807
"2011-05-13:12 AM",78.3617
"2011-05-14:12 AM",76.8063
"2011-05-15:12 AM",73.3521
"2011-05-16:12 AM",70.2545
"2011-05-17:12 AM",69.7905
"2011-05-18:12 AM",70.2658
"2011-05-19:12 AM",73.981
"2011-05-20:12 AM",77.7641
"2011-05-21:12 AM",80.2337
"2011-05-22:12 AM",81.0329
"2011-05-23:12 AM",81.2291
"2011-05-24:12 AM",80.6473
"2011-05-25:12 AM",79.5877
"2011-05-26:12 AM",79.3942
"2011-05-27:12 AM",79.144
"2011-05-28:12 AM",80.8205
"2011-05-29:12 AM",80.9958
"2011-05-30:12 AM",80.8075
"2011-05-31:12 AM",80.8693
"2011-06-01:12 AM",80.4058
"2011-06-02:12 AM",81.2863
"2011-06-03:12 AM",81.6062
"2011-06-04:12 AM",81.6305
"2011-06-05:12 AM",82.2907
"2011-06-06:12 AM",82.6367
"2011-06-07:12 AM",81.8155
"2011-06-08:12 AM",81.3981
"2011-06-09:12 AM",80.1333
"2011-06-10:12 AM",81.766
"2011-06-11:12 AM",81.8746
"2011-06-12:12 AM",82.4765
"2011-06-13:12 AM",83.7225
"2011-06-14:12 AM",85.3383
"2011-06-15:12 AM",86.0549
"2011-06-16:12 AM",84.3073
"2011-06-17:12 AM",83.9284
"2011-06-18:12 AM",82.7868
"2011-06-19:12 AM",83.3284
"2011-06-20:12 AM",84.9954
"2011-06-21:12 AM",86.1323
"2011-06-22:12 AM",85.815
"2011-06-23:12 AM",84.7256
"2011-06-24:12 AM",81.5715
"2011-06-25:12 AM",81.0036
"2011-06-26:12 AM",81.5099
"2011-06-27:12 AM",81.2541
"2011-06-28:12 AM",80.483
"2011-06-29:12 AM",79.6964
"2011-06-30:12 AM",79.3971
"2011-07-01:12 AM",80.973
"2011-07-02:12 AM",81.4266
"2011-07-03:12 AM",81.0318
"2011-07-04:12 AM",81.4906
"2011-07-05:12 AM",83.1735
"2011-07-06:12 AM",82.751
"2011-07-07:12 AM",81.531
"2011-07-08:12 AM",79.4026
"2011-07-09:12 AM",81.6319
"2011-07-10:12 AM",82.3053
"2011-07-11:12 AM",80.8826
"2011-07-12:12 AM",81.7725
"2011-07-13:12 AM",81.9181
"2011-07-14:12 AM",82.1104
"2011-07-15:12 AM",82.3489
"2011-07-16:12 AM",80.4988
"2011-07-17:12 AM",80.1167
"2011-07-18:12 AM",79.7572
"2011-07-19:12 AM",80.7076
"2011-07-20:12 AM",82.9395
"2011-07-21:12 AM",83.4507
"2011-07-22:12 AM",83.626
"2011-07-23:12 AM",82.893
"2011-07-24:12 AM",83.1105
"2011-07-25:12 AM",83.3382
"2011-07-26:12 AM",81.8631
"2011-07-27:12 AM",80.8405
"2011-07-28:12 AM",82.346
"2011-07-29:12 AM",83.586
"2011-07-30:12 AM",84.0123
"2011-07-31:12 AM",84.1813
"2011-08-01:12 AM",82.8271
"2011-08-02:12 AM",83.0124
"2011-08-03:12 AM",84.3442
"2011-08-04:12 AM",85.2231
"2011-08-05:12 AM",85.1243
"2011-08-06:12 AM",84.1829
"2011-08-07:12 AM",83.8278
"2011-08-08:12 AM",82.1338
"2011-08-09:12 AM",81.5184
"2011-08-10:12 AM",81.9838
"2011-08-11:12 AM",83.4116
"2011-08-12:12 AM",84.2562
"2011-08-13:12 AM",83.6703
"2011-08-14:12 AM",82.3111
"2011-08-15:12 AM",82.8219
"2011-08-16:12 AM",82.1095
"2011-08-17:12 AM",82.0182
"2011-08-18:12 AM",81.3691
"2011-08-19:12 AM",81.6942
"2011-08-20:12 AM",81.307
"2011-08-21:12 AM",81.5671
"2011-08-22:12 AM",82.6803
"2011-08-23:12 AM",83.6269
"2011-08-24:12 AM",81.4599
"2011-08-25:12 AM",81.4177
"2011-08-26:12 AM",83.484
"2011-08-27:12 AM",85.1427
"2011-08-28:12 AM",83.5156
"2011-08-29:12 AM",82.3348
"2011-08-30:12 AM",81.8719
"2011-08-31:12 AM",80.0008
"2011-09-01:12 AM",80.537
"2011-09-02:12 AM",79.4385
"2011-09-03:12 AM",79.2225
"2011-09-04:12 AM",80.0238
"2011-09-05:12 AM",80.2787
"2011-09-06:12 AM",77.6286
"2011-09-07:12 AM",75.0322
"2011-09-08:12 AM",74.9606
"2011-09-09:12 AM",75.6981
"2011-09-10:12 AM",78.2206
"2011-09-11:12 AM",79.7972
"2011-09-12:12 AM",79.5947
"2011-09-13:12 AM",79.3391
"2011-09-14:12 AM",79.2124
"2011-09-15:12 AM",79.3254
"2011-09-16:12 AM",78.5673
"2011-09-17:12 AM",78.1446
"2011-09-18:12 AM",77.187
"2011-09-19:12 AM",77.6604
"2011-09-20:12 AM",78.337
"2011-09-21:12 AM",79.6608
"2011-09-22:12 AM",78.816
"2011-09-23:12 AM",79.1595
"2011-09-24:12 AM",79.0396
"2011-09-25:12 AM",79.3357
"2011-09-26:12 AM",78.2672
"2011-09-27:12 AM",78.3867
"2011-09-28:12 AM",79.417
"2011-09-29:12 AM",78.3432
"2011-09-30:12 AM",77.7508
"2011-10-01:12 AM",72.264
"2011-10-02:12 AM",67.2678
"2011-10-03:12 AM",68.659
"2011-10-04:12 AM",71.0665
"2011-10-05:12 AM",72.0199
"2011-10-06:12 AM",73.1772
"2011-10-07:12 AM",73.7901
"2011-10-08:12 AM",72.9162
"2011-10-09:12 AM",72.0363
"2011-10-10:12 AM",73.3732
"2011-10-11:12 AM",74.6537
"2011-10-12:12 AM",74.9503
"2011-10-13:12 AM",74.5509
"2011-10-14:12 AM",72.9081
"2011-10-15:12 AM",71.8432
"2011-10-16:12 AM",73.4148
"2011-10-17:12 AM",73.5422
"2011-10-18:12 AM",74.3824
"2011-10-19:12 AM",71.0391
"2011-10-20:12 AM",60.6232
"2011-10-21:12 AM",59.0929
"2011-10-22:12 AM",59.9724
"2011-10-23:12 AM",63.4887
"2011-10-24:12 AM",65.4197
"2011-10-25:12 AM",66.7301
"2011-10-26:12 AM",69.3331
"2011-10-27:12 AM",71.1223
"2011-10-28:12 AM",70.8451
"2011-10-29:12 AM",69.244
"2011-10-30:12 AM",63.2257
"2011-10-31:12 AM",66.8016
"2011-11-01:12 AM",64.3235
"2011-11-02:12 AM",64.8293
"2011-11-03:12 AM",67.6692
"2011-11-04:12 AM",62.1849
"2011-11-05:12 AM",59.3348
"2011-11-06:12 AM",64.1854
"2011-11-07:12 AM",66.4142
"2011-11-08:12 AM",67.5253
"2011-11-09:12 AM",67.7588
"2011-11-10:12 AM",63.8976
"2011-11-11:12 AM",56.0566
"2011-11-12:12 AM",56.6335
"2011-11-13:12 AM",63.9716
"2011-11-14:12 AM",68.6392
"2011-11-15:12 AM",72.9136
"2011-11-16:12 AM",74.7864
"2011-11-17:12 AM",71.0586
"2011-11-18:12 AM",63.3038
"2011-11-19:12 AM",67.9406
"2011-11-20:12 AM",71.2287
"2011-11-21:12 AM",71.3536
"2011-11-22:12 AM",71.6884
"2011-11-23:12 AM",69.9834
"2011-11-24:12 AM",64.1145
"2011-11-25:12 AM",64.4308
"2011-11-26:12 AM",67.8828
"2011-11-27:12 AM",69.1783
"2011-11-28:12 AM",65.3324
"2011-11-29:12 AM",58.1225
"2011-11-30:12 AM",54.0862
"2011-12-01:12 AM",52.7878
"2011-12-02:12 AM",58.717
"2011-12-03:12 AM",62.3514
"2011-12-04:12 AM",65.4931
"2011-12-05:12 AM",67.8848
"2011-12-06:12 AM",68.4864
"2011-12-07:12 AM",63.9939
"2011-12-08:12 AM",52.5528
"2011-12-09:12 AM",60.9229
"2011-12-10:12 AM",62.3138
"2011-12-11:12 AM",61.8346
"2011-12-12:12 AM",63.7061
"2011-12-13:12 AM",65.0088
"2011-12-14:12 AM",64.7074
"2011-12-15:12 AM",65.1132
"2011-12-16:12 AM",66.421
"2011-12-17:12 AM",64.9917
"2011-12-18:12 AM",57.8887
"2011-12-19:12 AM",60.4368
"2011-12-20:12 AM",65.628
"2011-12-21:12 AM",68.9488
"2011-12-22:12 AM",69.4697
"2011-12-23:12 AM",68.7826
"2011-12-24:12 AM",66.1487
"2011-12-25:12 AM",67.7943
"2011-12-26:12 AM",66.5101
"2011-12-27:12 AM",65.485
"2011-12-28:12 AM",53.8794
"2011-12-29:12 AM",52.8996
"2011-12-30:12 AM",59.4122
"2011-12-31:12 AM",64.2301
"2012-01-01:12 AM",64.2911
"2012-01-02:12 AM",58.6886
"2012-01-03:12 AM",43.8337
"2012-01-04:12 AM",42.2467
"2012-01-05:12 AM",51.0208
"2012-01-06:12 AM",55.6327
"2012-01-07:12 AM",59.5852
"2012-01-08:12 AM",61.7261
"2012-01-09:12 AM",63.3754
"2012-01-10:12 AM",64.584
"2012-01-11:12 AM",65.0586
"2012-01-12:12 AM",63.5335
"2012-01-13:12 AM",54.7637
"2012-01-14:12 AM",48.8061
"2012-01-15:12 AM",51.5871
"2012-01-16:12 AM",56.7705
"2012-01-17:12 AM",62.7404
"2012-01-18:12 AM",62.2972
"2012-01-19:12 AM",57.4149
"2012-01-20:12 AM",60.9454
"2012-01-21:12 AM",64.9778
"2012-01-22:12 AM",65.203
"2012-01-23:12 AM",67.132
"2012-01-24:12 AM",67.8384
"2012-01-25:12 AM",68.4685
"2012-01-26:12 AM",69.449
"2012-01-27:12 AM",66.7143
"2012-01-28:12 AM",60.17
"2012-01-29:12 AM",59.2675
"2012-01-30:12 AM",57.8737
"2012-01-31:12 AM",62.1684
"2012-02-01:12 AM",65.6929
"2012-02-02:12 AM",66.7332
"2012-02-03:12 AM",67.0023
"2012-02-04:12 AM",68.4082
"2012-02-05:12 AM",68.774
"2012-02-06:12 AM",67.2915
"2012-02-07:12 AM",65.0201
"2012-02-08:12 AM",63.7131
"2012-02-09:12 AM",61.4944
"2012-02-10:12 AM",63.8143
"2012-02-11:12 AM",56.7037
"2012-02-12:12 AM",42.4672
"2012-02-13:12 AM",46.7602
"2012-02-14:12 AM",59.3244
"2012-02-15:12 AM",65.7957
