"DateTime","(deg F) Mean Temperature (CFSR) at New Jersey, 2010-01-01 to 2019-03-14"
"2010-04-18:12 AM",45.0885
"2010-04-19:12 AM",50.6851
"2010-04-20:12 AM",53.7274
"2010-04-21:12 AM",54.882
"2010-04-22:12 AM",56.6164
"2010-04-23:12 AM",52.2838
"2010-04-24:12 AM",52.3146
"2010-04-25:12 AM",50.7888
"2010-04-26:12 AM",51.0795
"2010-04-27:12 AM",49.8794
"2010-04-28:12 AM",45.077
"2010-04-29:12 AM",51.4348
"2010-04-30:12 AM",60.7863
"2010-05-01:12 AM",69.9724
"2010-05-02:12 AM",73.9153
"2010-05-03:12 AM",71.922
"2010-05-04:12 AM",68.0432
"2010-05-05:12 AM",64.0798
"2010-05-06:12 AM",67.1981
"2010-05-07:12 AM",59.7868
"2010-05-08:12 AM",63.4618
"2010-05-09:12 AM",48.8575
"2010-05-10:12 AM",47.2446
"2010-05-11:12 AM",47.8141
"2010-05-12:12 AM",49.8999
"2010-05-13:12 AM",52.6887
"2010-05-14:12 AM",64.6902
"2010-05-15:12 AM",62.8831
"2010-05-16:12 AM",58.4451
"2010-05-17:12 AM",58.5655
"2010-05-18:12 AM",50.8851
"2010-05-19:12 AM",56.3518
"2010-05-20:12 AM",64.1075
"2010-05-21:12 AM",68.7027
"2010-05-22:12 AM",63.4138
"2010-05-23:12 AM",62.6886
"2010-05-24:12 AM",63.1773
"2010-05-25:12 AM",67.4013
"2010-05-26:12 AM",73.6345
"2010-05-27:12 AM",71.6079
"2010-05-28:12 AM",63.1503
"2010-05-29:12 AM",66.591
"2010-05-30:12 AM",70.7617
"2010-05-31:12 AM",74.7207
"2010-06-01:12 AM",74.161
"2010-06-02:12 AM",73.0886
"2010-06-03:12 AM",75.6761
"2010-06-04:12 AM",75.7009
"2010-06-05:12 AM",77.7112
"2010-06-06:12 AM",75.0843
"2010-06-07:12 AM",63.219
"2010-06-08:12 AM",63.5819
"2010-06-09:12 AM",60.0643
"2010-06-10:12 AM",67.9872
"2010-06-11:12 AM",66.7548
"2010-06-12:12 AM",70.1512
"2010-06-13:12 AM",75.2306
"2010-06-14:12 AM",71.0645
"2010-06-15:12 AM",70.8343
"2010-06-16:12 AM",69.6814
"2010-06-17:12 AM",71.1808
"2010-06-18:12 AM",69.2141
"2010-06-19:12 AM",72.1209
"2010-06-20:12 AM",78.319
"2010-06-21:12 AM",76.7527
"2010-06-22:12 AM",76.8472
"2010-06-23:12 AM",79.9342
"2010-06-24:12 AM",82.8649
"2010-06-25:12 AM",77.6881
"2010-06-26:12 AM",77.3938
"2010-06-27:12 AM",80.6553
"2010-06-28:12 AM",84.5395
"2010-06-29:12 AM",79.8877
"2010-06-30:12 AM",69.6915
"2010-07-01:12 AM",68.6401
"2010-07-02:12 AM",67.5568
"2010-07-03:12 AM",72.2961
"2010-07-04:12 AM",78.3243
"2010-07-05:12 AM",82.2999
"2010-07-06:12 AM",86.6028
"2010-07-07:12 AM",87.82
"2010-07-08:12 AM",79.9783
"2010-07-09:12 AM",77.7646
"2010-07-10:12 AM",73.1575
"2010-07-11:12 AM",77.0826
"2010-07-12:12 AM",78.2991
"2010-07-13:12 AM",75.7985
"2010-07-14:12 AM",75.6486
"2010-07-15:12 AM",77.9508
"2010-07-16:12 AM",80.8345
"2010-07-17:12 AM",81.0914
"2010-07-18:12 AM",81.3123
"2010-07-19:12 AM",81.3996
"2010-07-20:12 AM",80.4627
"2010-07-21:12 AM",81.0048
"2010-07-22:12 AM",79.0351
"2010-07-23:12 AM",80.8632
"2010-07-24:12 AM",87.8997
"2010-07-25:12 AM",84.648
"2010-07-26:12 AM",75.0344
"2010-07-27:12 AM",76.4276
"2010-07-28:12 AM",78.9982
"2010-07-29:12 AM",80.1468
"2010-07-30:12 AM",73.6007
"2010-07-31:12 AM",72.2557
"2010-08-01:12 AM",71.5804
"2010-08-02:12 AM",73.0755
"2010-08-03:12 AM",76.8636
"2010-08-04:12 AM",81.7158
"2010-08-05:12 AM",83.0313
"2010-08-06:12 AM",78.8943
"2010-08-07:12 AM",73.6464
"2010-08-08:12 AM",77.0052
"2010-08-09:12 AM",79.7896
"2010-08-10:12 AM",82.9056
"2010-08-11:12 AM",83.3389
"2010-08-12:12 AM",74.1967
"2010-08-13:12 AM",72.0622
"2010-08-14:12 AM",71.4713
"2010-08-15:12 AM",71.6509
"2010-08-16:12 AM",78.0868
"2010-08-17:12 AM",79.1047
"2010-08-18:12 AM",72.6831
"2010-08-19:12 AM",75.5848
"2010-08-20:12 AM",77.9821
"2010-08-21:12 AM",76.1839
"2010-08-22:12 AM",74.5567
"2010-08-23:12 AM",68.4487
"2010-08-24:12 AM",64.9546
"2010-08-25:12 AM",66.1242
"2010-08-26:12 AM",72.3283
"2010-08-27:12 AM",66.6005
"2010-08-28:12 AM",67.7217
"2010-08-29:12 AM",74.1376
"2010-08-30:12 AM",77.5051
"2010-08-31:12 AM",80.1387
"2010-09-01:12 AM",81.2287
"2010-09-02:12 AM",80.6842
"2010-09-03:12 AM",76.9276
"2010-09-04:12 AM",72.6026
"2010-09-05:12 AM",63.6409
"2010-09-06:12 AM",65.5254
"2010-09-07:12 AM",74.6166
"2010-09-08:12 AM",78.2917
"2010-09-09:12 AM",64.0153
"2010-09-10:12 AM",65.3812
"2010-09-11:12 AM",65.7347
"2010-09-12:12 AM",62.5379
"2010-09-13:12 AM",65.2867
"2010-09-14:12 AM",65.9975
"2010-09-15:12 AM",62.6149
"2010-09-16:12 AM",66.8266
"2010-09-17:12 AM",68.0412
"2010-09-18:12 AM",60.6619
"2010-09-19:12 AM",66.5326
"2010-09-20:12 AM",64.8847
"2010-09-21:12 AM",62.0596
"2010-09-22:12 AM",73.3757
"2010-09-23:12 AM",73.5762
"2010-09-24:12 AM",76.7615
"2010-09-25:12 AM",78.2118
"2010-09-26:12 AM",65.9664
"2010-09-27:12 AM",68.9191
"2010-09-28:12 AM",72.3114
"2010-09-29:12 AM",66.7564
"2010-09-30:12 AM",73.0339
"2010-10-01:12 AM",65.433
"2010-10-02:12 AM",55.8648
"2010-10-03:12 AM",54.3528
"2010-10-04:12 AM",51.4189
"2010-10-05:12 AM",52.4818
"2010-10-06:12 AM",54.4084
"2010-10-07:12 AM",57.4311
"2010-10-08:12 AM",59.2131
"2010-10-09:12 AM",60.6861
"2010-10-10:12 AM",55.4905
"2010-10-11:12 AM",64.7785
"2010-10-12:12 AM",63.2601
"2010-10-13:12 AM",52.9039
"2010-10-14:12 AM",51.1075
"2010-10-15:12 AM",51.4411
"2010-10-16:12 AM",50.9877
"2010-10-17:12 AM",53.6868
"2010-10-18:12 AM",51.8259
"2010-10-19:12 AM",51.8052
"2010-10-20:12 AM",49.6666
"2010-10-21:12 AM",51.8725
"2010-10-22:12 AM",46.2843
"2010-10-23:12 AM",50.3958
"2010-10-24:12 AM",59.0877
"2010-10-25:12 AM",62.557
"2010-10-26:12 AM",65.5119
"2010-10-27:12 AM",70.3573
"2010-10-28:12 AM",64.7742
"2010-10-29:12 AM",49.3966
"2010-10-30:12 AM",46.3656
"2010-10-31:12 AM",48.8305
"2010-11-01:12 AM",40.0111
"2010-11-02:12 AM",38.0349
"2010-11-03:12 AM",40.2611
"2010-11-04:12 AM",47.2168
"2010-11-05:12 AM",45.2361
"2010-11-06:12 AM",42.9208
"2010-11-07:12 AM",39.7175
"2010-11-08:12 AM",41.0884
"2010-11-09:12 AM",45.0554
"2010-11-10:12 AM",48.6505
"2010-11-11:12 AM",44.6846
"2010-11-12:12 AM",45.8035
"2010-11-13:12 AM",47.5367
"2010-11-14:12 AM",46.5238
"2010-11-15:12 AM",49.2276
"2010-11-16:12 AM",52.7542
"2010-11-17:12 AM",54.5738
"2010-11-18:12 AM",46.4446
"2010-11-19:12 AM",40.2028
"2010-11-20:12 AM",43.0228
"2010-11-21:12 AM",42.4728
"2010-11-22:12 AM",52.0245
"2010-11-23:12 AM",55.1125
"2010-11-24:12 AM",40.3752
"2010-11-25:12 AM",37.7373
"2010-11-26:12 AM",47.3617
"2010-11-27:12 AM",34.3389
"2010-11-28:12 AM",34.8435
"2010-11-29:12 AM",36.2777
"2010-11-30:12 AM",49.4607
"2010-12-01:12 AM",53.4164
"2010-12-02:12 AM",33.4029
"2010-12-03:12 AM",33.5637
"2010-12-04:12 AM",31.7343
"2010-12-05:12 AM",29.836
"2010-12-06:12 AM",29.7676
"2010-12-07:12 AM",29.8033
"2010-12-08:12 AM",27.5747
"2010-12-09:12 AM",25.0225
"2010-12-10:12 AM",26.8095
"2010-12-11:12 AM",33.273
"2010-12-12:12 AM",47.7196
"2010-12-13:12 AM",32.4345
"2010-12-14:12 AM",20.9116
"2010-12-15:12 AM",23.6113
"2010-12-16:12 AM",23.0011
"2010-12-17:12 AM",24.6195
"2010-12-18:12 AM",26.5663
"2010-12-19:12 AM",27.4107
"2010-12-20:12 AM",26.847
"2010-12-21:12 AM",27.4995
"2010-12-22:12 AM",28.0908
"2010-12-23:12 AM",27.666
"2010-12-24:12 AM",27.7286
"2010-12-25:12 AM",26.2531
"2010-12-26:12 AM",25.4836
"2010-12-27:12 AM",20.6042
"2010-12-28:12 AM",25.8049
"2010-12-29:12 AM",29.9687
"2010-12-30:12 AM",27.1515
"2010-12-31:12 AM",33.3621
"2011-01-01:12 AM",38.3572
"2011-01-02:12 AM",42.5129
"2011-01-03:12 AM",29.1186
"2011-01-04:12 AM",31.181
"2011-01-05:12 AM",31.2496
"2011-01-06:12 AM",27.1008
"2011-01-07:12 AM",28.9913
"2011-01-08:12 AM",23.6692
"2011-01-09:12 AM",23.3769
"2011-01-10:12 AM",23.5958
"2011-01-11:12 AM",25.484
"2011-01-12:12 AM",24.6564
"2011-01-13:12 AM",19.7816
"2011-01-14:12 AM",19.3845
"2011-01-15:12 AM",24.8803
"2011-01-16:12 AM",26.0069
"2011-01-17:12 AM",20.0746
"2011-01-18:12 AM",33.2168
"2011-01-19:12 AM",33.2607
"2011-01-20:12 AM",26.874
"2011-01-21:12 AM",26.3836
"2011-01-22:12 AM",14.963
"2011-01-23:12 AM",15.8833
"2011-01-24:12 AM",12.2477
"2011-01-25:12 AM",27.0783
"2011-01-26:12 AM",30.5935
"2011-01-27:12 AM",30.1203
"2011-01-28:12 AM",27.8254
"2011-01-29:12 AM",27.3245
"2011-01-30:12 AM",24.8679
"2011-01-31:12 AM",20.3045
"2011-02-01:12 AM",28.0512
"2011-02-02:12 AM",33.9337
"2011-02-03:12 AM",21.4297
"2011-02-04:12 AM",22.9053
"2011-02-05:12 AM",31.7082
"2011-02-06:12 AM",32.7124
"2011-02-07:12 AM",32.2767
"2011-02-08:12 AM",30.1705
"2011-02-09:12 AM",20.6519
"2011-02-10:12 AM",21.3156
"2011-02-11:12 AM",22.8265
"2011-02-12:12 AM",29.0588
"2011-02-13:12 AM",32.799
"2011-02-14:12 AM",42.0247
"2011-02-15:12 AM",27.9658
"2011-02-16:12 AM",33.0166
"2011-02-17:12 AM",43.8055
"2011-02-18:12 AM",54.0477
"2011-02-19:12 AM",36.4446
"2011-02-20:12 AM",28.0245
"2011-02-21:12 AM",31.8855
"2011-02-22:12 AM",23.3262
"2011-02-23:12 AM",23.2448
"2011-02-24:12 AM",31.7077
"2011-02-25:12 AM",42.2476
"2011-02-26:12 AM",34.025
"2011-02-27:12 AM",38.7669
"2011-02-28:12 AM",48.4689
"2011-03-01:12 AM",34.792
"2011-03-02:12 AM",36.91
"2011-03-03:12 AM",26.0105
"2011-03-04:12 AM",32.607
"2011-03-05:12 AM",44.3793
"2011-03-06:12 AM",50.977
"2011-03-07:12 AM",36.5806
"2011-03-08:12 AM",34.3441
"2011-03-09:12 AM",36.9072
"2011-03-10:12 AM",48.142
"2011-03-11:12 AM",47.7725
"2011-03-12:12 AM",41.8955
"2011-03-13:12 AM",43.9313
"2011-03-14:12 AM",38.2393
"2011-03-15:12 AM",38.0817
"2011-03-16:12 AM",44.3921
"2011-03-17:12 AM",47.8249
"2011-03-18:12 AM",55.2312
"2011-03-19:12 AM",46.1305
"2011-03-20:12 AM",37.2819
"2011-03-21:12 AM",41.6404
"2011-03-22:12 AM",44.7453
"2011-03-23:12 AM",37.9159
"2011-03-24:12 AM",34.1177
"2011-03-25:12 AM",31.503
"2011-03-26:12 AM",29.5749
"2011-03-27:12 AM",31.4989
"2011-03-28:12 AM",31.1094
"2011-03-29:12 AM",34.5218
"2011-03-30:12 AM",38.854
"2011-03-31:12 AM",38.039
"2011-04-01:12 AM",37.8725
"2011-04-02:12 AM",40.3704
"2011-04-03:12 AM",42.7635
"2011-04-04:12 AM",53.094
"2011-04-05:12 AM",52.3809
"2011-04-06:12 AM",42.2125
"2011-04-07:12 AM",44.1523
"2011-04-08:12 AM",41.5184
"2011-04-09:12 AM",44.481
"2011-04-10:12 AM",48.3859
"2011-04-11:12 AM",60.6522
"2011-04-12:12 AM",55.7172
"2011-04-13:12 AM",49.4562
"2011-04-14:12 AM",51.532
"2011-04-15:12 AM",47.5356
"2011-04-16:12 AM",48.7153
"2011-04-17:12 AM",51.3032
"2011-04-18:12 AM",50.3589
"2011-04-19:12 AM",53.9035
"2011-04-20:12 AM",57.8779
"2011-04-21:12 AM",49.3592
"2011-04-22:12 AM",42.7789
"2011-04-23:12 AM",52.4383
"2011-04-24:12 AM",65.0547
"2011-04-25:12 AM",64.5436
"2011-04-26:12 AM",67.0656
"2011-04-27:12 AM",66.6113
"2011-04-28:12 AM",65.9503
"2011-04-29:12 AM",55.7593
"2011-04-30:12 AM",51.8324
"2011-05-01:12 AM",54.4665
"2011-05-02:12 AM",56.8179
"2011-05-03:12 AM",64.0756
"2011-05-04:12 AM",51.9373
"2011-05-05:12 AM",50.6854
"2011-05-06:12 AM",55.0375
"2011-05-07:12 AM",57.6811
"2011-05-08:12 AM",57.7972
"2011-05-09:12 AM",56.7856
"2011-05-10:12 AM",57.4707
"2011-05-11:12 AM",55.8322
"2011-05-12:12 AM",58.4058
"2011-05-13:12 AM",57.0839
"2011-05-14:12 AM",57.1291
"2011-05-15:12 AM",63.4462
"2011-05-16:12 AM",61.0471
"2011-05-17:12 AM",59.4055
"2011-05-18:12 AM",63.0343
"2011-05-19:12 AM",62.7814
"2011-05-20:12 AM",58.8758
"2011-05-21:12 AM",61.7664
"2011-05-22:12 AM",59.1103
"2011-05-23:12 AM",62.974
"2011-05-24:12 AM",70.6962
"2011-05-25:12 AM",69.3243
"2011-05-26:12 AM",70.8901
"2011-05-27:12 AM",73.6534
"2011-05-28:12 AM",70.9844
"2011-05-29:12 AM",72.2026
"2011-05-30:12 AM",76.2571
"2011-05-31:12 AM",75.0427
"2011-06-01:12 AM",75.7123
"2011-06-02:12 AM",68.1755
"2011-06-03:12 AM",62.049
"2011-06-04:12 AM",61.6485
"2011-06-05:12 AM",62.42
"2011-06-06:12 AM",67.4953
"2011-06-07:12 AM",71.3595
"2011-06-08:12 AM",77.7558
"2011-06-09:12 AM",81.8341
"2011-06-10:12 AM",76.2247
"2011-06-11:12 AM",70.4435
"2011-06-12:12 AM",68.3865
"2011-06-13:12 AM",65.9869
"2011-06-14:12 AM",63.0057
"2011-06-15:12 AM",65.0534
"2011-06-16:12 AM",69.3478
"2011-06-17:12 AM",70.3951
"2011-06-18:12 AM",71.6715
"2011-06-19:12 AM",71.3631
"2011-06-20:12 AM",69.2398
"2011-06-21:12 AM",71.6167
"2011-06-22:12 AM",74.802
"2011-06-23:12 AM",74.6137
"2011-06-24:12 AM",72.8649
"2011-06-25:12 AM",70.9911
"2011-06-26:12 AM",70.5
"2011-06-27:12 AM",71.9888
"2011-06-28:12 AM",73.6408
"2011-06-29:12 AM",72.6931
"2011-06-30:12 AM",70.5168
"2011-07-01:12 AM",70.4019
"2011-07-02:12 AM",72.9441
"2011-07-03:12 AM",75.4214
"2011-07-04:12 AM",75.6507
"2011-07-05:12 AM",75.6185
"2011-07-06:12 AM",77.0112
"2011-07-07:12 AM",77.5396
"2011-07-08:12 AM",75.229
"2011-07-09:12 AM",74.7462
"2011-07-10:12 AM",73.962
"2011-07-11:12 AM",78.4056
"2011-07-12:12 AM",81.4357
"2011-07-13:12 AM",77.8503
"2011-07-14:12 AM",70.52
"2011-07-15:12 AM",72.0192
"2011-07-16:12 AM",73.9607
"2011-07-17:12 AM",75.1253
"2011-07-18:12 AM",79.6136
"2011-07-19:12 AM",79.6656
"2011-07-20:12 AM",77.4057
"2011-07-21:12 AM",81.739
"2011-07-22:12 AM",87.6209
"2011-07-23:12 AM",86.6617
"2011-07-24:12 AM",81.934
"2011-07-25:12 AM",76.6371
"2011-07-26:12 AM",78.4062
"2011-07-27:12 AM",76.5286
"2011-07-28:12 AM",76.1284
"2011-07-29:12 AM",80.5665
"2011-07-30:12 AM",80.7784
"2011-07-31:12 AM",78.4072
"2011-08-01:12 AM",79.6645
"2011-08-02:12 AM",78.5908
"2011-08-03:12 AM",77.3915
"2011-08-04:12 AM",73.2308
"2011-08-05:12 AM",73.0623
"2011-08-06:12 AM",75.1813
"2011-08-07:12 AM",78.3102
"2011-08-08:12 AM",79.3497
"2011-08-09:12 AM",77.0549
"2011-08-10:12 AM",75.7103
"2011-08-11:12 AM",72.8636
"2011-08-12:12 AM",70.228
"2011-08-13:12 AM",72.581
"2011-08-14:12 AM",70.7036
"2011-08-15:12 AM",71.7683
"2011-08-16:12 AM",68.5738
"2011-08-17:12 AM",72.2395
"2011-08-18:12 AM",73.7071
"2011-08-19:12 AM",74.3464
"2011-08-20:12 AM",71.9456
"2011-08-21:12 AM",73.9533
"2011-08-22:12 AM",68.6043
"2011-08-23:12 AM",66.7557
"2011-08-24:12 AM",69.5055
"2011-08-25:12 AM",74.7907
"2011-08-26:12 AM",73.7398
"2011-08-27:12 AM",72.318
"2011-08-28:12 AM",69.3804
"2011-08-29:12 AM",63.5058
"2011-08-30:12 AM",65.962
"2011-08-31:12 AM",67.64
"2011-09-01:12 AM",68.1604
"2011-09-02:12 AM",66.4306
"2011-09-03:12 AM",68.9905
"2011-09-04:12 AM",73.8682
"2011-09-05:12 AM",73.5683
"2011-09-06:12 AM",63.5198
"2011-09-07:12 AM",69.9206
"2011-09-08:12 AM",71.7838
"2011-09-09:12 AM",71.398
"2011-09-10:12 AM",70.8552
"2011-09-11:12 AM",67.4737
"2011-09-12:12 AM",67.2555
"2011-09-13:12 AM",70.1001
"2011-09-14:12 AM",72.3819
"2011-09-15:12 AM",66.8635
"2011-09-16:12 AM",54.3054
"2011-09-17:12 AM",55.2547
"2011-09-18:12 AM",56.7727
"2011-09-19:12 AM",57.6525
"2011-09-20:12 AM",62.7447
"2011-09-21:12 AM",65.6188
"2011-09-22:12 AM",70.1411
"2011-09-23:12 AM",68.9941
"2011-09-24:12 AM",69.7906
"2011-09-25:12 AM",69.8022
"2011-09-26:12 AM",70.0777
"2011-09-27:12 AM",69.735
"2011-09-28:12 AM",69.8572
"2011-09-29:12 AM",68.1478
"2011-09-30:12 AM",64.4977
"2011-10-01:12 AM",57.0434
"2011-10-02:12 AM",51.0193
"2011-10-03:12 AM",48.3631
"2011-10-04:12 AM",53.5546
"2011-10-05:12 AM",58.4935
"2011-10-06:12 AM",53.4587
"2011-10-07:12 AM",53.2625
"2011-10-08:12 AM",57.7965
"2011-10-09:12 AM",62.9692
"2011-10-10:12 AM",65.642
"2011-10-11:12 AM",64.407
"2011-10-12:12 AM",60.9931
"2011-10-13:12 AM",62.9667
"2011-10-14:12 AM",65.0793
"2011-10-15:12 AM",55.8313
"2011-10-16:12 AM",56.214
"2011-10-17:12 AM",58.3966
"2011-10-18:12 AM",56.5777
"2011-10-19:12 AM",62.5968
"2011-10-20:12 AM",58.5307
"2011-10-21:12 AM",50.4991
"2011-10-22:12 AM",49.1448
"2011-10-23:12 AM",50.5668
"2011-10-24:12 AM",53.2155
"2011-10-25:12 AM",51.3196
"2011-10-26:12 AM",54.6629
"2011-10-27:12 AM",53.978
"2011-10-28:12 AM",41.3884
"2011-10-29:12 AM",38.0453
"2011-10-30:12 AM",36.1582
"2011-10-31:12 AM",40.6254
"2011-11-01:12 AM",46.1007
"2011-11-02:12 AM",46.2765
"2011-11-03:12 AM",49.3864
"2011-11-04:12 AM",46.5755
"2011-11-05:12 AM",39.2704
"2011-11-06:12 AM",41.4286
"2011-11-07:12 AM",46.0479
"2011-11-08:12 AM",52.6051
"2011-11-09:12 AM",52.209
"2011-11-10:12 AM",53.1581
"2011-11-11:12 AM",42.1167
"2011-11-12:12 AM",43.1913
"2011-11-13:12 AM",49.5828
"2011-11-14:12 AM",56.568
"2011-11-15:12 AM",61.2428
"2011-11-16:12 AM",55.6943
"2011-11-17:12 AM",43.918
"2011-11-18:12 AM",35.7197
"2011-11-19:12 AM",40.2775
"2011-11-20:12 AM",53.3133
"2011-11-21:12 AM",52.063
"2011-11-22:12 AM",49.2073
"2011-11-23:12 AM",53.0031
"2011-11-24:12 AM",41.648
"2011-11-25:12 AM",46.8273
"2011-11-26:12 AM",49.2073
"2011-11-27:12 AM",51.3667
"2011-11-28:12 AM",57.6995
"2011-11-29:12 AM",59.5116
"2011-11-30:12 AM",45.495
"2011-12-01:12 AM",39.0688
"2011-12-02:12 AM",40.4258
"2011-12-03:12 AM",37.36
"2011-12-04:12 AM",42.9206
"2011-12-05:12 AM",49.8061
"2011-12-06:12 AM",57.9497
"2011-12-07:12 AM",55.913
"2011-12-08:12 AM",37.3597
"2011-12-09:12 AM",38.9788
"2011-12-10:12 AM",37.197
"2011-12-11:12 AM",31.9435
"2011-12-12:12 AM",33.2253
"2011-12-13:12 AM",34.641
"2011-12-14:12 AM",38.2986
"2011-12-15:12 AM",48.679
"2011-12-16:12 AM",45.6316
"2011-12-17:12 AM",36.3519
"2011-12-18:12 AM",28.6689
"2011-12-19:12 AM",35.733
"2011-12-20:12 AM",41.8546
"2011-12-21:12 AM",50.0254
"2011-12-22:12 AM",50.698
"2011-12-23:12 AM",45.1683
"2011-12-24:12 AM",33.1491
"2011-12-25:12 AM",36.1593
"2011-12-26:12 AM",36.61
"2011-12-27:12 AM",42.8803
"2011-12-28:12 AM",37.2274
"2011-12-29:12 AM",30.9045
"2011-12-30:12 AM",38.5943
"2011-12-31:12 AM",45.3105
"2012-01-01:12 AM",43.4817
"2012-01-02:12 AM",35.9465
"2012-01-03:12 AM",24.1504
"2012-01-04:12 AM",20.6029
"2012-01-05:12 AM",30.5132
"2012-01-06:12 AM",38.7187
"2012-01-07:12 AM",44.7089
"2012-01-08:12 AM",38.8542
"2012-01-09:12 AM",32.7927
"2012-01-10:12 AM",36.0145
"2012-01-11:12 AM",37.4452
"2012-01-12:12 AM",46.1156
"2012-01-13:12 AM",35.6437
"2012-01-14:12 AM",29.307
"2012-01-15:12 AM",22.4974
"2012-01-16:12 AM",24.4848
"2012-01-17:12 AM",41.3472
"2012-01-18:12 AM",36.3906
"2012-01-19:12 AM",29.3409
"2012-01-20:12 AM",28.8932
"2012-01-21:12 AM",27.7444
"2012-01-22:12 AM",25.2599
"2012-01-23:12 AM",41.7168
"2012-01-24:12 AM",42.796
"2012-01-25:12 AM",36.7266
"2012-01-26:12 AM",38.2424
"2012-01-27:12 AM",49.1949
"2012-01-28:12 AM",38.5464
"2012-01-29:12 AM",34.9443
"2012-01-30:12 AM",33.4189
"2012-01-31:12 AM",42.8106
"2012-02-01:12 AM",50.9394
"2012-02-02:12 AM",42.4666
"2012-02-03:12 AM",34.4264
"2012-02-04:12 AM",36.0216
"2012-02-05:12 AM",34.0308
"2012-02-06:12 AM",36.0504
"2012-02-07:12 AM",38.2102
"2012-02-08:12 AM",34.5897
"2012-02-09:12 AM",33.0732
"2012-02-10:12 AM",35.0928
"2012-02-11:12 AM",34.3683
"2012-02-12:12 AM",24.4207
"2012-02-13:12 AM",29.3691
"2012-02-14:12 AM",35.9629
"2012-02-15:12 AM",38.6719
