"DateTime","(deg F) Mean Temperature (CFSR) at Idaho, 2010-01-01 to 2019-03-14"
"2010-04-06:12 AM",29.4112
"2010-04-07:12 AM",31.5522
"2010-04-08:12 AM",32.9153
"2010-04-09:12 AM",27.7651
"2010-04-10:12 AM",31.8414
"2010-04-11:12 AM",40.5093
"2010-04-12:12 AM",40.6846
"2010-04-13:12 AM",35.3318
"2010-04-14:12 AM",38.2084
"2010-04-15:12 AM",44.7904
"2010-04-16:12 AM",49.8628
"2010-04-17:12 AM",50.3373
"2010-04-18:12 AM",50.0358
"2010-04-19:12 AM",53.2949
"2010-04-20:12 AM",56.1681
"2010-04-21:12 AM",49.0437
"2010-04-22:12 AM",41.439
"2010-04-23:12 AM",41.652
"2010-04-24:12 AM",41.4792
"2010-04-25:12 AM",39.2986
"2010-04-26:12 AM",43.6309
"2010-04-27:12 AM",47.444
"2010-04-28:12 AM",36.6001
"2010-04-29:12 AM",32.7891
"2010-04-30:12 AM",36.6892
"2010-05-01:12 AM",35.1608
"2010-05-02:12 AM",37.5276
"2010-05-03:12 AM",40.9518
"2010-05-04:12 AM",33.5026
"2010-05-05:12 AM",33.1079
"2010-05-06:12 AM",32.4536
"2010-05-07:12 AM",35.8509
"2010-05-08:12 AM",40.2795
"2010-05-09:12 AM",42.0843
"2010-05-10:12 AM",42.3414
"2010-05-11:12 AM",41.2282
"2010-05-12:12 AM",42.9143
"2010-05-13:12 AM",44.2756
"2010-05-14:12 AM",48.1039
"2010-05-15:12 AM",51.8886
"2010-05-16:12 AM",55.9917
"2010-05-17:12 AM",59.6719
"2010-05-18:12 AM",50.479
"2010-05-19:12 AM",49.7455
"2010-05-20:12 AM",44.3653
"2010-05-21:12 AM",39.7051
"2010-05-22:12 AM",36.8577
"2010-05-23:12 AM",37.791
"2010-05-24:12 AM",38.4868
"2010-05-25:12 AM",43.5301
"2010-05-26:12 AM",48.8302
"2010-05-27:12 AM",46.6815
"2010-05-28:12 AM",43.4887
"2010-05-29:12 AM",42.3534
"2010-05-30:12 AM",44.8977
"2010-05-31:12 AM",48.7575
"2010-06-01:12 AM",49.3452
"2010-06-02:12 AM",49.4875
"2010-06-03:12 AM",51.3487
"2010-06-04:12 AM",50.2207
"2010-06-05:12 AM",52.5148
"2010-06-06:12 AM",53.1685
"2010-06-07:12 AM",52.043
"2010-06-08:12 AM",52.7061
"2010-06-09:12 AM",55.209
"2010-06-10:12 AM",47.6458
"2010-06-11:12 AM",46.0224
"2010-06-12:12 AM",49.9014
"2010-06-13:12 AM",53.7534
"2010-06-14:12 AM",55.9715
"2010-06-15:12 AM",54.5139
"2010-06-16:12 AM",46.2628
"2010-06-17:12 AM",43.3209
"2010-06-18:12 AM",49.9894
"2010-06-19:12 AM",57.7195
"2010-06-20:12 AM",55.1151
"2010-06-21:12 AM",51.3772
"2010-06-22:12 AM",54.5743
"2010-06-23:12 AM",60.6382
"2010-06-24:12 AM",64.9958
"2010-06-25:12 AM",62.9211
"2010-06-26:12 AM",60.9955
"2010-06-27:12 AM",61.155
"2010-06-28:12 AM",66.6478
"2010-06-29:12 AM",70.0983
"2010-06-30:12 AM",65.021
"2010-07-01:12 AM",62.6457
"2010-07-02:12 AM",57.6883
"2010-07-03:12 AM",53.773
"2010-07-04:12 AM",54.0885
"2010-07-05:12 AM",55.6662
"2010-07-06:12 AM",55.9474
"2010-07-07:12 AM",60.5547
"2010-07-08:12 AM",65.7081
"2010-07-09:12 AM",67.1839
"2010-07-10:12 AM",68.0383
"2010-07-11:12 AM",67.5923
"2010-07-12:12 AM",66.7738
"2010-07-13:12 AM",59.1865
"2010-07-14:12 AM",57.3618
"2010-07-15:12 AM",63.277
"2010-07-16:12 AM",70.8249
"2010-07-17:12 AM",70.6417
"2010-07-18:12 AM",68.5726
"2010-07-19:12 AM",65.0671
"2010-07-20:12 AM",64.6912
"2010-07-21:12 AM",67.8241
"2010-07-22:12 AM",65.8299
"2010-07-23:12 AM",64.9153
"2010-07-24:12 AM",66.6388
"2010-07-25:12 AM",70.7014
"2010-07-26:12 AM",70.7196
"2010-07-27:12 AM",69.4638
"2010-07-28:12 AM",70.88
"2010-07-29:12 AM",70.5124
"2010-07-30:12 AM",73.3905
"2010-07-31:12 AM",72.3852
"2010-08-01:12 AM",67.8157
"2010-08-02:12 AM",67.1007
"2010-08-03:12 AM",70.1404
"2010-08-04:12 AM",70.662
"2010-08-05:12 AM",72.7335
"2010-08-06:12 AM",72.5149
"2010-08-07:12 AM",68.1463
"2010-08-08:12 AM",66.4124
"2010-08-09:12 AM",64.1413
"2010-08-10:12 AM",64.35
"2010-08-11:12 AM",62.3109
"2010-08-12:12 AM",59.3002
"2010-08-13:12 AM",60.9928
"2010-08-14:12 AM",62.4814
"2010-08-15:12 AM",66.1023
"2010-08-16:12 AM",69.4254
"2010-08-17:12 AM",69.2994
"2010-08-18:12 AM",70.0671
"2010-08-19:12 AM",66.2605
"2010-08-20:12 AM",65.6299
"2010-08-21:12 AM",69.229
"2010-08-22:12 AM",61.8795
"2010-08-23:12 AM",54.8928
"2010-08-24:12 AM",60.2316
"2010-08-25:12 AM",68.8228
"2010-08-26:12 AM",74.0352
"2010-08-27:12 AM",63.2026
"2010-08-28:12 AM",56.3767
"2010-08-29:12 AM",51.3331
"2010-08-30:12 AM",49.7935
"2010-08-31:12 AM",50.5036
"2010-09-01:12 AM",53.6799
"2010-09-02:12 AM",57.2671
"2010-09-03:12 AM",64.0389
"2010-09-04:12 AM",66.4974
"2010-09-05:12 AM",53.0231
"2010-09-06:12 AM",47.8238
"2010-09-07:12 AM",55.3192
"2010-09-08:12 AM",56.8917
"2010-09-09:12 AM",48.3105
"2010-09-10:12 AM",48.3156
"2010-09-11:12 AM",52.3623
"2010-09-12:12 AM",57.672
"2010-09-13:12 AM",61.165
"2010-09-14:12 AM",61.3404
"2010-09-15:12 AM",59.311
"2010-09-16:12 AM",60.3954
"2010-09-17:12 AM",62.4675
"2010-09-18:12 AM",62.1504
"2010-09-19:12 AM",60.5302
"2010-09-20:12 AM",53.3059
"2010-09-21:12 AM",52.8022
"2010-09-22:12 AM",53.6882
"2010-09-23:12 AM",51.4465
"2010-09-24:12 AM",55.108
"2010-09-25:12 AM",61.5682
"2010-09-26:12 AM",64.6952
"2010-09-27:12 AM",64.2006
"2010-09-28:12 AM",64.3784
"2010-09-29:12 AM",62.9215
"2010-09-30:12 AM",63.3348
"2010-10-01:12 AM",65.8935
"2010-10-02:12 AM",65.8944
"2010-10-03:12 AM",65.5394
"2010-10-04:12 AM",54.8076
"2010-10-05:12 AM",52.313
"2010-10-06:12 AM",54.7434
"2010-10-07:12 AM",53.1255
"2010-10-08:12 AM",47.5614
"2010-10-09:12 AM",49.7172
"2010-10-10:12 AM",52.9198
"2010-10-11:12 AM",48.7335
"2010-10-12:12 AM",42.7681
"2010-10-13:12 AM",47.2069
"2010-10-14:12 AM",51.9229
"2010-10-15:12 AM",51.0091
"2010-10-16:12 AM",49.4904
"2010-10-17:12 AM",48.7128
"2010-10-18:12 AM",45.6105
"2010-10-19:12 AM",44.3635
"2010-10-20:12 AM",47.0599
"2010-10-21:12 AM",48.7663
"2010-10-22:12 AM",47.7372
"2010-10-23:12 AM",43.9029
"2010-10-24:12 AM",42.1092
"2010-10-25:12 AM",35.4798
"2010-10-26:12 AM",32.3733
"2010-10-27:12 AM",32.3715
"2010-10-28:12 AM",36.8325
"2010-10-29:12 AM",39.9
"2010-10-30:12 AM",40.7016
"2010-10-31:12 AM",40.4523
"2010-11-01:12 AM",40.854
"2010-11-02:12 AM",44.4299
"2010-11-03:12 AM",43.8278
"2010-11-04:12 AM",46.5247
"2010-11-05:12 AM",48.1035
"2010-11-06:12 AM",49.5756
"2010-11-07:12 AM",46.0319
"2010-11-08:12 AM",35.9775
"2010-11-09:12 AM",29.3173
"2010-11-10:12 AM",29.62
"2010-11-11:12 AM",27.9226
"2010-11-12:12 AM",29.7487
"2010-11-13:12 AM",28.0218
"2010-11-14:12 AM",31.8837
"2010-11-15:12 AM",37.3026
"2010-11-16:12 AM",36.6737
"2010-11-17:12 AM",32.8822
"2010-11-18:12 AM",36.0075
"2010-11-19:12 AM",30.6691
"2010-11-20:12 AM",27.734
"2010-11-21:12 AM",23.806
"2010-11-22:12 AM",22.9552
"2010-11-23:12 AM",18.8136
"2010-11-24:12 AM",6.6119
"2010-11-25:12 AM",9.9113
"2010-11-26:12 AM",19.3595
"2010-11-27:12 AM",24.5444
"2010-11-28:12 AM",23.8604
"2010-11-29:12 AM",18.1301
"2010-11-30:12 AM",18.9201
"2010-12-01:12 AM",26.6749
"2010-12-02:12 AM",30.7229
"2010-12-03:12 AM",27.9729
"2010-12-04:12 AM",25.1352
"2010-12-05:12 AM",28.3066
"2010-12-06:12 AM",29.673
"2010-12-07:12 AM",30.6759
"2010-12-08:12 AM",32.3586
"2010-12-09:12 AM",32.9133
"2010-12-10:12 AM",32.3627
"2010-12-11:12 AM",29.4368
"2010-12-12:12 AM",35.8259
"2010-12-13:12 AM",37.1674
"2010-12-14:12 AM",35.904
"2010-12-15:12 AM",26.5048
"2010-12-16:12 AM",19.7769
"2010-12-17:12 AM",16.489
"2010-12-18:12 AM",22.4159
"2010-12-19:12 AM",27.9277
"2010-12-20:12 AM",26.0825
"2010-12-21:12 AM",25.0457
"2010-12-22:12 AM",26.7804
"2010-12-23:12 AM",28.7314
"2010-12-24:12 AM",27.7133
"2010-12-25:12 AM",27.7524
"2010-12-26:12 AM",29.014
"2010-12-27:12 AM",25.6766
"2010-12-28:12 AM",26.7778
"2010-12-29:12 AM",26.9888
"2010-12-30:12 AM",15.5226
"2010-12-31:12 AM",7.8733
"2011-01-01:12 AM",0.3015
"2011-01-02:12 AM",7.1539
"2011-01-03:12 AM",7.567
"2011-01-04:12 AM",8.8506
"2011-01-05:12 AM",16.2423
"2011-01-06:12 AM",19.5076
"2011-01-07:12 AM",21.7794
"2011-01-08:12 AM",22.41
"2011-01-09:12 AM",13.3657
"2011-01-10:12 AM",9.2066
"2011-01-11:12 AM",7.2028
"2011-01-12:12 AM",18.7129
"2011-01-13:12 AM",29.1787
"2011-01-14:12 AM",31.9856
"2011-01-15:12 AM",32.8577
"2011-01-16:12 AM",34.5756
"2011-01-17:12 AM",37.0963
"2011-01-18:12 AM",30.0231
"2011-01-19:12 AM",24.8526
"2011-01-20:12 AM",18.0304
"2011-01-21:12 AM",26.0004
"2011-01-22:12 AM",27.8811
"2011-01-23:12 AM",23.4999
"2011-01-24:12 AM",24.4137
"2011-01-25:12 AM",29.6856
"2011-01-26:12 AM",25.2154
"2011-01-27:12 AM",26.253
"2011-01-28:12 AM",27.4564
"2011-01-29:12 AM",27.3823
"2011-01-30:12 AM",26.645
"2011-01-31:12 AM",20.8985
"2011-02-01:12 AM",8.0465
"2011-02-02:12 AM",7.3301
"2011-02-03:12 AM",16.7117
"2011-02-04:12 AM",26.7528
"2011-02-05:12 AM",31.2012
"2011-02-06:12 AM",26.5447
"2011-02-07:12 AM",29.4436
"2011-02-08:12 AM",22.0649
"2011-02-09:12 AM",17.1554
"2011-02-10:12 AM",19.9663
"2011-02-11:12 AM",22.7235
"2011-02-12:12 AM",30.1685
"2011-02-13:12 AM",32.8156
"2011-02-14:12 AM",32.5467
"2011-02-15:12 AM",35.1014
"2011-02-16:12 AM",32.0225
"2011-02-17:12 AM",23.4667
"2011-02-18:12 AM",25.0824
"2011-02-19:12 AM",24.2488
"2011-02-20:12 AM",24.5444
"2011-02-21:12 AM",20.4676
"2011-02-22:12 AM",21.6644
"2011-02-23:12 AM",19.8712
"2011-02-24:12 AM",18.2091
"2011-02-25:12 AM",13.2984
"2011-02-26:12 AM",10.765
"2011-02-27:12 AM",12.6687
"2011-02-28:12 AM",23.0623
"2011-03-01:12 AM",28.2276
"2011-03-02:12 AM",28.8016
"2011-03-03:12 AM",31.5277
"2011-03-04:12 AM",27.4392
"2011-03-05:12 AM",29.919
"2011-03-06:12 AM",29.0363
"2011-03-07:12 AM",26.4616
"2011-03-08:12 AM",24.0928
"2011-03-09:12 AM",29.0174
"2011-03-10:12 AM",35.8777
"2011-03-11:12 AM",30.6759
"2011-03-12:12 AM",28.9674
"2011-03-13:12 AM",33.0262
"2011-03-14:12 AM",35.8925
"2011-03-15:12 AM",34.3827
"2011-03-16:12 AM",35.2836
"2011-03-17:12 AM",28.8234
"2011-03-18:12 AM",30.5668
"2011-03-19:12 AM",31.5307
"2011-03-20:12 AM",28.5298
"2011-03-21:12 AM",33.7883
"2011-03-22:12 AM",31.2283
"2011-03-23:12 AM",28.5165
"2011-03-24:12 AM",33.0701
"2011-03-25:12 AM",32.0837
"2011-03-26:12 AM",30.9528
"2011-03-27:12 AM",30.6387
"2011-03-28:12 AM",29.3756
"2011-03-29:12 AM",28.2751
"2011-03-30:12 AM",35.5035
"2011-03-31:12 AM",42.015
"2011-04-01:12 AM",43.3828
"2011-04-02:12 AM",40.3502
"2011-04-03:12 AM",29.5551
"2011-04-04:12 AM",31.6177
"2011-04-05:12 AM",36.5664
"2011-04-06:12 AM",31.156
"2011-04-07:12 AM",29.8051
"2011-04-08:12 AM",30.211
"2011-04-09:12 AM",30.7897
"2011-04-10:12 AM",31.4515
"2011-04-11:12 AM",36.6165
"2011-04-12:12 AM",35.7604
"2011-04-13:12 AM",35.7913
"2011-04-14:12 AM",32.059
"2011-04-15:12 AM",33.3363
"2011-04-16:12 AM",40.4344
"2011-04-17:12 AM",40.4814
"2011-04-18:12 AM",35.9796
"2011-04-19:12 AM",30.2158
"2011-04-20:12 AM",32.5062
"2011-04-21:12 AM",34.3215
"2011-04-22:12 AM",29.5578
"2011-04-23:12 AM",32.4813
"2011-04-24:12 AM",35.9497
"2011-04-25:12 AM",36.1206
"2011-04-26:12 AM",32.5789
"2011-04-27:12 AM",34.0522
"2011-04-28:12 AM",36.1591
"2011-04-29:12 AM",29.5421
"2011-04-30:12 AM",32.2099
"2011-05-01:12 AM",34.5414
"2011-05-02:12 AM",38.6186
"2011-05-03:12 AM",38.4114
"2011-05-04:12 AM",38.5327
"2011-05-05:12 AM",43.6735
"2011-05-06:12 AM",44.5077
"2011-05-07:12 AM",45.3034
"2011-05-08:12 AM",41.2178
"2011-05-09:12 AM",38.0509
"2011-05-10:12 AM",42.0661
"2011-05-11:12 AM",46.3037
"2011-05-12:12 AM",49.4004
"2011-05-13:12 AM",52.9698
"2011-05-14:12 AM",54.2332
"2011-05-15:12 AM",46.9927
"2011-05-16:12 AM",37.9195
"2011-05-17:12 AM",38.1259
"2011-05-18:12 AM",40.255
"2011-05-19:12 AM",45.5299
"2011-05-20:12 AM",47.5099
"2011-05-21:12 AM",49.6074
"2011-05-22:12 AM",48.4473
"2011-05-23:12 AM",44.7202
"2011-05-24:12 AM",43.1631
"2011-05-25:12 AM",46.306
"2011-05-26:12 AM",40.933
"2011-05-27:12 AM",38.3563
"2011-05-28:12 AM",37.9209
"2011-05-29:12 AM",38.4426
"2011-05-30:12 AM",41.2032
"2011-05-31:12 AM",46.1593
"2011-06-01:12 AM",49.262
"2011-06-02:12 AM",41.6782
"2011-06-03:12 AM",42.3046
"2011-06-04:12 AM",50.7069
"2011-06-05:12 AM",57.4984
"2011-06-06:12 AM",55.5843
"2011-06-07:12 AM",49.8603
"2011-06-08:12 AM",48.3111
"2011-06-09:12 AM",44.5203
"2011-06-10:12 AM",47.9595
"2011-06-11:12 AM",49.289
"2011-06-12:12 AM",51.3894
"2011-06-13:12 AM",51.5651
"2011-06-14:12 AM",51.5782
"2011-06-15:12 AM",49.8384
"2011-06-16:12 AM",44.5077
"2011-06-17:12 AM",48.2396
"2011-06-18:12 AM",47.8843
"2011-06-19:12 AM",48.9771
"2011-06-20:12 AM",52.2354
"2011-06-21:12 AM",56.9809
"2011-06-22:12 AM",63.2676
"2011-06-23:12 AM",63.0248
"2011-06-24:12 AM",55.2425
"2011-06-25:12 AM",53.1066
"2011-06-26:12 AM",54.9927
"2011-06-27:12 AM",59.6755
"2011-06-28:12 AM",67.0435
"2011-06-29:12 AM",62.8858
"2011-06-30:12 AM",56.9669
"2011-07-01:12 AM",56.129
"2011-07-02:12 AM",61.2765
"2011-07-03:12 AM",67.1536
"2011-07-04:12 AM",66.6849
"2011-07-05:12 AM",66.8039
"2011-07-06:12 AM",67.519
"2011-07-07:12 AM",66.6073
"2011-07-08:12 AM",61.8692
"2011-07-09:12 AM",59.0698
"2011-07-10:12 AM",62.9215
"2011-07-11:12 AM",65.9937
"2011-07-12:12 AM",66.7267
"2011-07-13:12 AM",64.117
"2011-07-14:12 AM",60.0584
"2011-07-15:12 AM",60.8943
"2011-07-16:12 AM",65.1209
"2011-07-17:12 AM",67.4184
"2011-07-18:12 AM",69.2771
"2011-07-19:12 AM",65.0511
"2011-07-20:12 AM",59.1562
"2011-07-21:12 AM",60.7734
"2011-07-22:12 AM",61.074
"2011-07-23:12 AM",60.5858
"2011-07-24:12 AM",68.6199
"2011-07-25:12 AM",71.838
"2011-07-26:12 AM",64.8214
"2011-07-27:12 AM",61.3882
"2011-07-28:12 AM",62.843
"2011-07-29:12 AM",65.8299
"2011-07-30:12 AM",68.7904
"2011-07-31:12 AM",68.8458
"2011-08-01:12 AM",67.8697
"2011-08-02:12 AM",67.9782
"2011-08-03:12 AM",67.9433
"2011-08-04:12 AM",67.4571
"2011-08-05:12 AM",65.7802
"2011-08-06:12 AM",66.9438
"2011-08-07:12 AM",66.5879
"2011-08-08:12 AM",66.0807
"2011-08-09:12 AM",65.4658
"2011-08-10:12 AM",64.4979
"2011-08-11:12 AM",62.8113
"2011-08-12:12 AM",62.9951
"2011-08-13:12 AM",68.3121
"2011-08-14:12 AM",68.5537
"2011-08-15:12 AM",63.9509
"2011-08-16:12 AM",60.4546
"2011-08-17:12 AM",65.1972
"2011-08-18:12 AM",65.3362
"2011-08-19:12 AM",64.4698
"2011-08-20:12 AM",66.9853
"2011-08-21:12 AM",69.9406
"2011-08-22:12 AM",71.4099
"2011-08-23:12 AM",69.1117
"2011-08-24:12 AM",71.121
"2011-08-25:12 AM",73.1563
"2011-08-26:12 AM",73.0602
"2011-08-27:12 AM",71.1408
"2011-08-28:12 AM",71.85
"2011-08-29:12 AM",69.7919
"2011-08-30:12 AM",66.6324
"2011-08-31:12 AM",61.3683
"2011-09-01:12 AM",55.5895
"2011-09-02:12 AM",55.6135
"2011-09-03:12 AM",57.259
"2011-09-04:12 AM",60.7591
"2011-09-05:12 AM",63.6229
"2011-09-06:12 AM",65.075
"2011-09-07:12 AM",65.7023
"2011-09-08:12 AM",66.6271
"2011-09-09:12 AM",66.1854
"2011-09-10:12 AM",67.3061
"2011-09-11:12 AM",66.3388
"2011-09-12:12 AM",64.589
"2011-09-13:12 AM",63.7092
"2011-09-14:12 AM",63.453
"2011-09-15:12 AM",60.8828
"2011-09-16:12 AM",55.6578
"2011-09-17:12 AM",52.0135
"2011-09-18:12 AM",53.9242
"2011-09-19:12 AM",57.7402
"2011-09-20:12 AM",55.6248
"2011-09-21:12 AM",56.9374
"2011-09-22:12 AM",59.9365
"2011-09-23:12 AM",64.7528
"2011-09-24:12 AM",66.5294
"2011-09-25:12 AM",63.7817
"2011-09-26:12 AM",57.162
"2011-09-27:12 AM",59.9945
"2011-09-28:12 AM",58.343
"2011-09-29:12 AM",58.5759
"2011-09-30:12 AM",64.7056
"2011-10-01:12 AM",65.0707
"2011-10-02:12 AM",59.7142
"2011-10-03:12 AM",60.9913
"2011-10-04:12 AM",53.2774
"2011-10-05:12 AM",46.8342
"2011-10-06:12 AM",38.5952
"2011-10-07:12 AM",40.3911
"2011-10-08:12 AM",42.7797
"2011-10-09:12 AM",43.3422
"2011-10-10:12 AM",43.9322
"2011-10-11:12 AM",45.6087
"2011-10-12:12 AM",42.84
"2011-10-13:12 AM",45.1722
"2011-10-14:12 AM",49.278
"2011-10-15:12 AM",50.7063
"2011-10-16:12 AM",47.397
"2011-10-17:12 AM",42.1378
"2011-10-18:12 AM",41.9074
"2011-10-19:12 AM",44.0305
"2011-10-20:12 AM",44.5226
"2011-10-21:12 AM",46.4362
"2011-10-22:12 AM",45.7594
"2011-10-23:12 AM",46.8495
"2011-10-24:12 AM",44.323
"2011-10-25:12 AM",34.6057
"2011-10-26:12 AM",31.0903
"2011-10-27:12 AM",31.9422
"2011-10-28:12 AM",33.4805
"2011-10-29:12 AM",38.8414
"2011-10-30:12 AM",39.6018
"2011-10-31:12 AM",41.9333
"2011-11-01:12 AM",31.8952
"2011-11-02:12 AM",28.3854
"2011-11-03:12 AM",32.0814
"2011-11-04:12 AM",31.4004
"2011-11-05:12 AM",26.2042
"2011-11-06:12 AM",24.4387
"2011-11-07:12 AM",23.8719
"2011-11-08:12 AM",23.2686
"2011-11-09:12 AM",25.029
"2011-11-10:12 AM",28.5939
"2011-11-11:12 AM",30.6169
"2011-11-12:12 AM",29.1789
"2011-11-13:12 AM",29.2311
"2011-11-14:12 AM",29.3589
"2011-11-15:12 AM",26.1102
"2011-11-16:12 AM",21.3989
"2011-11-17:12 AM",31.3338
"2011-11-18:12 AM",28.2227
"2011-11-19:12 AM",19.4632
"2011-11-20:12 AM",18.7974
"2011-11-21:12 AM",25.911
"2011-11-22:12 AM",30.3795
"2011-11-23:12 AM",33.9057
"2011-11-24:12 AM",34.2453
"2011-11-25:12 AM",29.7973
"2011-11-26:12 AM",22.3875
"2011-11-27:12 AM",28.7303
"2011-11-28:12 AM",32.5852
"2011-11-29:12 AM",29.3025
"2011-11-30:12 AM",29.4186
"2011-12-01:12 AM",22.251
"2011-12-02:12 AM",22.1929
"2011-12-03:12 AM",18.3121
"2011-12-04:12 AM",20.2856
"2011-12-05:12 AM",12.1631
"2011-12-06:12 AM",15.9471
"2011-12-07:12 AM",18.5745
"2011-12-08:12 AM",17.9983
"2011-12-09:12 AM",19.6254
"2011-12-10:12 AM",21.8719
"2011-12-11:12 AM",20.9584
"2011-12-12:12 AM",21.7569
"2011-12-13:12 AM",20.0988
"2011-12-14:12 AM",20.7489
"2011-12-15:12 AM",22.7566
"2011-12-16:12 AM",20.3731
"2011-12-17:12 AM",23.3215
"2011-12-18:12 AM",23.6836
"2011-12-19:12 AM",22.933
"2011-12-20:12 AM",22.0923
"2011-12-21:12 AM",22.1092
"2011-12-22:12 AM",15.1695
"2011-12-23:12 AM",15.2602
"2011-12-24:12 AM",18.3342
"2011-12-25:12 AM",22.1945
"2011-12-26:12 AM",21.8964
"2011-12-27:12 AM",25.7104
"2011-12-28:12 AM",31.4152
"2011-12-29:12 AM",35.1361
"2011-12-30:12 AM",35.5651
"2011-12-31:12 AM",24.4521
"2012-01-01:12 AM",23.7236
"2012-01-02:12 AM",28.6936
"2012-01-03:12 AM",29.8913
"2012-01-04:12 AM",30.9463
"2012-01-05:12 AM",32.1555
"2012-01-06:12 AM",26.5415
"2012-01-07:12 AM",23.8539
"2012-01-08:12 AM",24.7563
"2012-01-09:12 AM",25.7992
"2012-01-10:12 AM",26.7339
"2012-01-11:12 AM",19.6543
"2012-01-12:12 AM",16.758
"2012-01-13:12 AM",19.7532
"2012-01-14:12 AM",25.8919
"2012-01-15:12 AM",24.8877
"2012-01-16:12 AM",16.4862
"2012-01-17:12 AM",14.3055
"2012-01-18:12 AM",22.7358
"2012-01-19:12 AM",30.3217
"2012-01-20:12 AM",31.4091
"2012-01-21:12 AM",32.7708
"2012-01-22:12 AM",23.7772
"2012-01-23:12 AM",25.2068
"2012-01-24:12 AM",18.9388
"2012-01-25:12 AM",30.0112
"2012-01-26:12 AM",31.2179
"2012-01-27:12 AM",20.2478
"2012-01-28:12 AM",18.6188
"2012-01-29:12 AM",25.5713
"2012-01-30:12 AM",28.9094
"2012-01-31:12 AM",25.3342
"2012-02-01:12 AM",27.4179
"2012-02-02:12 AM",26.4771
"2012-02-03:12 AM",22.5221
"2012-02-04:12 AM",21.6246
"2012-02-05:12 AM",22.3464
"2012-02-06:12 AM",22.7701
"2012-02-07:12 AM",23.9281
"2012-02-08:12 AM",26.1142
"2012-02-09:12 AM",28.5026
"2012-02-10:12 AM",32.0517
"2012-02-11:12 AM",31.2364
"2012-02-12:12 AM",30.8541
"2012-02-13:12 AM",29.0368
"2012-02-14:12 AM",26.6659
"2012-02-15:12 AM",24.8542
