"DateTime","(deg F) Mean Temperature (CFSR) at Nebraska, 2010-01-01 to 2019-03-14"
"2010-03-21:12 AM",36.8674
"2010-03-22:12 AM",48.1836
"2010-03-23:12 AM",44.9942
"2010-03-24:12 AM",40.1509
"2010-03-25:12 AM",41.625
"2010-03-26:12 AM",45.8699
"2010-03-27:12 AM",42.5833
"2010-03-28:12 AM",45.5499
"2010-03-29:12 AM",54.9522
"2010-03-30:12 AM",64.4729
"2010-03-31:12 AM",61.435
"2010-04-01:12 AM",59.2786
"2010-04-02:12 AM",50.1314
"2010-04-03:12 AM",47.4472
"2010-04-04:12 AM",50.1571
"2010-04-05:12 AM",49.9671
"2010-04-06:12 AM",48.4961
"2010-04-07:12 AM",43.0666
"2010-04-08:12 AM",46.6772
"2010-04-09:12 AM",51.3639
"2010-04-10:12 AM",49.6215
"2010-04-11:12 AM",54.91
"2010-04-12:12 AM",65.28
"2010-04-13:12 AM",66.8671
"2010-04-14:12 AM",61.5999
"2010-04-15:12 AM",61.0088
"2010-04-16:12 AM",51.0028
"2010-04-17:12 AM",48.5663
"2010-04-18:12 AM",52.7007
"2010-04-19:12 AM",55.1322
"2010-04-20:12 AM",55.231
"2010-04-21:12 AM",55.7659
"2010-04-22:12 AM",53.9276
"2010-04-23:12 AM",55.1145
"2010-04-24:12 AM",52.1091
"2010-04-25:12 AM",50.578
"2010-04-26:12 AM",44.7224
"2010-04-27:12 AM",47.7649
"2010-04-28:12 AM",58.4974
"2010-04-29:12 AM",58.9957
"2010-04-30:12 AM",51.7606
"2010-05-01:12 AM",52.236
"2010-05-02:12 AM",53.8862
"2010-05-03:12 AM",55.0681
"2010-05-04:12 AM",61.8768
"2010-05-05:12 AM",52.9729
"2010-05-06:12 AM",52.6267
"2010-05-07:12 AM",45.9043
"2010-05-08:12 AM",44.7823
"2010-05-09:12 AM",53.3057
"2010-05-10:12 AM",49.1497
"2010-05-11:12 AM",47.606
"2010-05-12:12 AM",41.7344
"2010-05-13:12 AM",46.6473
"2010-05-14:12 AM",53.9112
"2010-05-15:12 AM",55.2537
"2010-05-16:12 AM",53.9974
"2010-05-17:12 AM",57.1721
"2010-05-18:12 AM",58.5189
"2010-05-19:12 AM",55.4787
"2010-05-20:12 AM",54.3684
"2010-05-21:12 AM",60.5206
"2010-05-22:12 AM",72.6319
"2010-05-23:12 AM",70.0871
"2010-05-24:12 AM",72.208
"2010-05-25:12 AM",64.5049
"2010-05-26:12 AM",66.502
"2010-05-27:12 AM",71.7694
"2010-05-28:12 AM",76.6686
"2010-05-29:12 AM",76.2638
"2010-05-30:12 AM",63.9486
"2010-05-31:12 AM",65.9928
"2010-06-01:12 AM",72.5828
"2010-06-02:12 AM",65.8206
"2010-06-03:12 AM",70.4059
"2010-06-04:12 AM",76.3992
"2010-06-05:12 AM",75.3712
"2010-06-06:12 AM",68.0063
"2010-06-07:12 AM",67.1337
"2010-06-08:12 AM",70.1722
"2010-06-09:12 AM",69.3682
"2010-06-10:12 AM",74.2008
"2010-06-11:12 AM",73.454
"2010-06-12:12 AM",63.723
"2010-06-13:12 AM",59.2239
"2010-06-14:12 AM",61.0056
"2010-06-15:12 AM",64.8766
"2010-06-16:12 AM",72.0667
"2010-06-17:12 AM",76.5064
"2010-06-18:12 AM",72.4802
"2010-06-19:12 AM",70.6761
"2010-06-20:12 AM",73.8673
"2010-06-21:12 AM",75.5589
"2010-06-22:12 AM",77.5845
"2010-06-23:12 AM",72.5056
"2010-06-24:12 AM",71.341
"2010-06-25:12 AM",81.0268
"2010-06-26:12 AM",82.6711
"2010-06-27:12 AM",75.9988
"2010-06-28:12 AM",74.8522
"2010-06-29:12 AM",74.098
"2010-06-30:12 AM",76.5952
"2010-07-01:12 AM",77.2486
"2010-07-02:12 AM",80.625
"2010-07-03:12 AM",80.7508
"2010-07-04:12 AM",71.8525
"2010-07-05:12 AM",70.8849
"2010-07-06:12 AM",73.2087
"2010-07-07:12 AM",65.7536
"2010-07-08:12 AM",67.9284
"2010-07-09:12 AM",71.7057
"2010-07-10:12 AM",76.7421
"2010-07-11:12 AM",76.3016
"2010-07-12:12 AM",73.4043
"2010-07-13:12 AM",81.7493
"2010-07-14:12 AM",85.3633
"2010-07-15:12 AM",75
"2010-07-16:12 AM",80.4141
"2010-07-17:12 AM",84.7391
"2010-07-18:12 AM",81.0621
"2010-07-19:12 AM",80.146
"2010-07-20:12 AM",76.118
"2010-07-21:12 AM",73.4821
"2010-07-22:12 AM",81.7381
"2010-07-23:12 AM",83.3207
"2010-07-24:12 AM",76.0984
"2010-07-25:12 AM",74.3439
"2010-07-26:12 AM",80.5692
"2010-07-27:12 AM",84.8905
"2010-07-28:12 AM",77.0769
"2010-07-29:12 AM",78.2771
"2010-07-30:12 AM",83.2698
"2010-07-31:12 AM",80.5982
"2010-08-01:12 AM",80.1631
"2010-08-02:12 AM",82.4464
"2010-08-03:12 AM",79.3474
"2010-08-04:12 AM",75.9427
"2010-08-05:12 AM",74.966
"2010-08-06:12 AM",76.8142
"2010-08-07:12 AM",83.0628
"2010-08-08:12 AM",84.6016
"2010-08-09:12 AM",81.1983
"2010-08-10:12 AM",81.842
"2010-08-11:12 AM",83.6137
"2010-08-12:12 AM",86.3578
"2010-08-13:12 AM",84.1312
"2010-08-14:12 AM",73.5145
"2010-08-15:12 AM",70.9327
"2010-08-16:12 AM",68.3339
"2010-08-17:12 AM",69.6702
"2010-08-18:12 AM",77.5663
"2010-08-19:12 AM",82.2227
"2010-08-20:12 AM",81.426
"2010-08-21:12 AM",82.1701
"2010-08-22:12 AM",84.8316
"2010-08-23:12 AM",78.0667
"2010-08-24:12 AM",69.512
"2010-08-25:12 AM",69.6861
"2010-08-26:12 AM",76.5415
"2010-08-27:12 AM",79.6591
"2010-08-28:12 AM",80.9499
"2010-08-29:12 AM",83.3731
"2010-08-30:12 AM",82.3566
"2010-08-31:12 AM",77.1939
"2010-09-01:12 AM",71.4295
"2010-09-02:12 AM",68.0662
"2010-09-03:12 AM",63.52
"2010-09-04:12 AM",67.9348
"2010-09-05:12 AM",78.5712
"2010-09-06:12 AM",71.7895
"2010-09-07:12 AM",62.1372
"2010-09-08:12 AM",67.8468
"2010-09-09:12 AM",70.7963
"2010-09-10:12 AM",70.149
"2010-09-11:12 AM",66.4486
"2010-09-12:12 AM",72.0689
"2010-09-13:12 AM",72.5025
"2010-09-14:12 AM",73.5499
"2010-09-15:12 AM",74.0671
"2010-09-16:12 AM",66.5343
"2010-09-17:12 AM",69.6405
"2010-09-18:12 AM",52.3155
"2010-09-19:12 AM",54.7689
"2010-09-20:12 AM",73.4328
"2010-09-21:12 AM",68.545
"2010-09-22:12 AM",70.8899
"2010-09-23:12 AM",67.9753
"2010-09-24:12 AM",61.8472
"2010-09-25:12 AM",62.8655
"2010-09-26:12 AM",60.1189
"2010-09-27:12 AM",65.4759
"2010-09-28:12 AM",66.6738
"2010-09-29:12 AM",69.8695
"2010-09-30:12 AM",61.16
"2010-10-01:12 AM",63.1116
"2010-10-02:12 AM",53.9069
"2010-10-03:12 AM",52.5371
"2010-10-04:12 AM",58.494
"2010-10-05:12 AM",65.2474
"2010-10-06:12 AM",64.8235
"2010-10-07:12 AM",63.7608
"2010-10-08:12 AM",71.5224
"2010-10-09:12 AM",64.1374
"2010-10-10:12 AM",58.406
"2010-10-11:12 AM",58.4364
"2010-10-12:12 AM",57.9861
"2010-10-13:12 AM",51.7402
"2010-10-14:12 AM",58.0575
"2010-10-15:12 AM",61.0126
"2010-10-16:12 AM",60.4094
"2010-10-17:12 AM",53.4843
"2010-10-18:12 AM",51.2249
"2010-10-19:12 AM",51.8252
"2010-10-20:12 AM",55.9512
"2010-10-21:12 AM",55.9434
"2010-10-22:12 AM",58.788
"2010-10-23:12 AM",58.4872
"2010-10-24:12 AM",55.5321
"2010-10-25:12 AM",56.1493
"2010-10-26:12 AM",48.0807
"2010-10-27:12 AM",44.9551
"2010-10-28:12 AM",43.5054
"2010-10-29:12 AM",52.0286
"2010-10-30:12 AM",55.3485
"2010-10-31:12 AM",48.8998
"2010-11-01:12 AM",48.5767
"2010-11-02:12 AM",49.9086
"2010-11-03:12 AM",53.6423
"2010-11-04:12 AM",44.094
"2010-11-05:12 AM",41.7488
"2010-11-06:12 AM",52.4565
"2010-11-07:12 AM",59.0931
"2010-11-08:12 AM",60.913
"2010-11-09:12 AM",55.2049
"2010-11-10:12 AM",43.846
"2010-11-11:12 AM",38.7635
"2010-11-12:12 AM",36.3205
"2010-11-13:12 AM",36.0241
"2010-11-14:12 AM",35.7415
"2010-11-15:12 AM",38.8776
"2010-11-16:12 AM",39.5838
"2010-11-17:12 AM",35.4677
"2010-11-18:12 AM",37.0524
"2010-11-19:12 AM",40.1027
"2010-11-20:12 AM",28.501
"2010-11-21:12 AM",29.6449
"2010-11-22:12 AM",27.3285
"2010-11-23:12 AM",25.3447
"2010-11-24:12 AM",28.5631
"2010-11-25:12 AM",20.485
"2010-11-26:12 AM",30.7938
"2010-11-27:12 AM",36.7167
"2010-11-28:12 AM",41.0038
"2010-11-29:12 AM",31.9856
"2010-11-30:12 AM",26.0159
"2010-12-01:12 AM",27.8892
"2010-12-02:12 AM",35.7831
"2010-12-03:12 AM",40.8276
"2010-12-04:12 AM",29.8555
"2010-12-05:12 AM",22.8398
"2010-12-06:12 AM",26.1144
"2010-12-07:12 AM",28.4189
"2010-12-08:12 AM",30.988
"2010-12-09:12 AM",42.0292
"2010-12-10:12 AM",43.5979
"2010-12-11:12 AM",26.8079
"2010-12-12:12 AM",17.9528
"2010-12-13:12 AM",24.3604
"2010-12-14:12 AM",31.3999
"2010-12-15:12 AM",32.1701
"2010-12-16:12 AM",29.6098
"2010-12-17:12 AM",22.8785
"2010-12-18:12 AM",18.9669
"2010-12-19:12 AM",25.2203
"2010-12-20:12 AM",32.9506
"2010-12-21:12 AM",28.9044
"2010-12-22:12 AM",22.0649
"2010-12-23:12 AM",23.4846
"2010-12-24:12 AM",27.2669
"2010-12-25:12 AM",21.8287
"2010-12-26:12 AM",20.851
"2010-12-27:12 AM",26.5109
"2010-12-28:12 AM",31.6767
"2010-12-29:12 AM",36.0779
"2010-12-30:12 AM",30.1381
"2010-12-31:12 AM",7.3117
"2011-01-01:12 AM",8.9186
"2011-01-02:12 AM",16.5236
"2011-01-03:12 AM",20.3313
"2011-01-04:12 AM",18.9415
"2011-01-05:12 AM",25.0529
"2011-01-06:12 AM",32.412
"2011-01-07:12 AM",32.7861
"2011-01-08:12 AM",22.5633
"2011-01-09:12 AM",19.1304
"2011-01-10:12 AM",11.9941
"2011-01-11:12 AM",4.2231
"2011-01-12:12 AM",2.9705
"2011-01-13:12 AM",21.4686
"2011-01-14:12 AM",30.9639
"2011-01-15:12 AM",26.8995
"2011-01-16:12 AM",24.6222
"2011-01-17:12 AM",36.3801
"2011-01-18:12 AM",22.996
"2011-01-19:12 AM",15.0454
"2011-01-20:12 AM",14.1424
"2011-01-21:12 AM",24.2294
"2011-01-22:12 AM",28.0688
"2011-01-23:12 AM",16.3157
"2011-01-24:12 AM",28.1271
"2011-01-25:12 AM",26.1617
"2011-01-26:12 AM",29.9383
"2011-01-27:12 AM",35.944
"2011-01-28:12 AM",37.9315
"2011-01-29:12 AM",33.501
"2011-01-30:12 AM",21.9385
"2011-01-31:12 AM",12.7573
"2011-02-01:12 AM",0.7369
"2011-02-02:12 AM",1.4126
"2011-02-03:12 AM",12.7044
"2011-02-04:12 AM",26.5366
"2011-02-05:12 AM",34.0981
"2011-02-06:12 AM",30.0493
"2011-02-07:12 AM",20.2996
"2011-02-08:12 AM",3.5798
"2011-02-09:12 AM",7.7119
"2011-02-10:12 AM",17.9906
"2011-02-11:12 AM",27.3879
"2011-02-12:12 AM",34.4656
"2011-02-13:12 AM",41.8951
"2011-02-14:12 AM",38.7126
"2011-02-15:12 AM",43.5832
"2011-02-16:12 AM",49.6191
"2011-02-17:12 AM",50.2261
"2011-02-18:12 AM",39.5811
"2011-02-19:12 AM",40.2348
"2011-02-20:12 AM",32.185
"2011-02-21:12 AM",16.9252
"2011-02-22:12 AM",25.713
"2011-02-23:12 AM",33.3295
"2011-02-24:12 AM",23.2695
"2011-02-25:12 AM",12.9497
"2011-02-26:12 AM",17.4988
"2011-02-27:12 AM",27.5014
"2011-02-28:12 AM",27.111
"2011-03-01:12 AM",37.9537
"2011-03-02:12 AM",28.2907
"2011-03-03:12 AM",38.1736
"2011-03-04:12 AM",32.7884
"2011-03-05:12 AM",28.4527
"2011-03-06:12 AM",33.1583
"2011-03-07:12 AM",23.1037
"2011-03-08:12 AM",26.0173
"2011-03-09:12 AM",27.4282
"2011-03-10:12 AM",33.3441
"2011-03-11:12 AM",43.3963
"2011-03-12:12 AM",39.7846
"2011-03-13:12 AM",34.525
"2011-03-14:12 AM",38.4321
"2011-03-15:12 AM",44.8326
"2011-03-16:12 AM",53.4031
"2011-03-17:12 AM",55.3833
"2011-03-18:12 AM",47.6499
"2011-03-19:12 AM",47.8389
"2011-03-20:12 AM",56.5282
"2011-03-21:12 AM",50.6763
"2011-03-22:12 AM",55.0742
"2011-03-23:12 AM",41.5942
"2011-03-24:12 AM",33.9012
"2011-03-25:12 AM",36.1353
"2011-03-26:12 AM",33.8421
"2011-03-27:12 AM",31.113
"2011-03-28:12 AM",31.8033
"2011-03-29:12 AM",34.2943
"2011-03-30:12 AM",37.1671
"2011-03-31:12 AM",42.6897
"2011-04-01:12 AM",47.5943
"2011-04-02:12 AM",54.4478
"2011-04-03:12 AM",54.1852
"2011-04-04:12 AM",40.0487
"2011-04-05:12 AM",51.1506
"2011-04-06:12 AM",53.2726
"2011-04-07:12 AM",49.5502
"2011-04-08:12 AM",51.0154
"2011-04-09:12 AM",58.7124
"2011-04-10:12 AM",53.7035
"2011-04-11:12 AM",50.9365
"2011-04-12:12 AM",55.2571
"2011-04-13:12 AM",51.4405
"2011-04-14:12 AM",42.2625
"2011-04-15:12 AM",37.0877
"2011-04-16:12 AM",40.9647
"2011-04-17:12 AM",46.2213
"2011-04-18:12 AM",40.4726
"2011-04-19:12 AM",36.4217
"2011-04-20:12 AM",39.8971
"2011-04-21:12 AM",44.0514
"2011-04-22:12 AM",50.5267
"2011-04-23:12 AM",44.3797
"2011-04-24:12 AM",44.7768
"2011-04-25:12 AM",44.6374
"2011-04-26:12 AM",46.2438
"2011-04-27:12 AM",46.0994
"2011-04-28:12 AM",52.5819
"2011-04-29:12 AM",57.9069
"2011-04-30:12 AM",47.6382
"2011-05-01:12 AM",45.8661
"2011-05-02:12 AM",45.2421
"2011-05-03:12 AM",49.6533
"2011-05-04:12 AM",54.2721
"2011-05-05:12 AM",53.8234
"2011-05-06:12 AM",59.7202
"2011-05-07:12 AM",64.6057
"2011-05-08:12 AM",71.6112
"2011-05-09:12 AM",73.7895
"2011-05-10:12 AM",71.1489
"2011-05-11:12 AM",59.8347
"2011-05-12:12 AM",52.327
"2011-05-13:12 AM",45.831
"2011-05-14:12 AM",43.6104
"2011-05-15:12 AM",45.372
"2011-05-16:12 AM",50.5153
"2011-05-17:12 AM",54.8717
"2011-05-18:12 AM",50.7686
"2011-05-19:12 AM",51.9534
"2011-05-20:12 AM",59.4466
"2011-05-21:12 AM",58.9422
"2011-05-22:12 AM",61.4642
"2011-05-23:12 AM",62.404
"2011-05-24:12 AM",62.6356
"2011-05-25:12 AM",54.8431
"2011-05-26:12 AM",53.2332
"2011-05-27:12 AM",56.736
"2011-05-28:12 AM",57.8305
"2011-05-29:12 AM",57.6669
"2011-05-30:12 AM",68.0256
"2011-05-31:12 AM",63.8526
"2011-06-01:12 AM",67.0899
"2011-06-02:12 AM",77.1926
"2011-06-03:12 AM",74.9917
"2011-06-04:12 AM",69.6126
"2011-06-05:12 AM",74.9331
"2011-06-06:12 AM",80.9661
"2011-06-07:12 AM",80.883
"2011-06-08:12 AM",67.6668
"2011-06-09:12 AM",56.4987
"2011-06-10:12 AM",59.5519
"2011-06-11:12 AM",63.4219
"2011-06-12:12 AM",69.3115
"2011-06-13:12 AM",71.334
"2011-06-14:12 AM",70.1028
"2011-06-15:12 AM",69.4715
"2011-06-16:12 AM",72.0739
"2011-06-17:12 AM",71.2332
"2011-06-18:12 AM",69.4981
"2011-06-19:12 AM",70.7873
"2011-06-20:12 AM",69.1083
"2011-06-21:12 AM",62.0962
"2011-06-22:12 AM",65.327
"2011-06-23:12 AM",67.6096
"2011-06-24:12 AM",70.8651
"2011-06-25:12 AM",74.3745
"2011-06-26:12 AM",76.3432
"2011-06-27:12 AM",68.715
"2011-06-28:12 AM",69.4884
"2011-06-29:12 AM",81.0613
"2011-06-30:12 AM",88.3526
"2011-07-01:12 AM",82.4178
"2011-07-02:12 AM",74.7793
"2011-07-03:12 AM",76.5172
"2011-07-04:12 AM",78.7026
"2011-07-05:12 AM",77.8293
"2011-07-06:12 AM",74.5534
"2011-07-07:12 AM",75.7782
"2011-07-08:12 AM",76.9991
"2011-07-09:12 AM",81.259
"2011-07-10:12 AM",84.6565
"2011-07-11:12 AM",77.8428
"2011-07-12:12 AM",69.8364
"2011-07-13:12 AM",70.3762
"2011-07-14:12 AM",79.1694
"2011-07-15:12 AM",83.403
"2011-07-16:12 AM",85.604
"2011-07-17:12 AM",90.2028
"2011-07-18:12 AM",89.6529
"2011-07-19:12 AM",89.9433
"2011-07-20:12 AM",88.6323
"2011-07-21:12 AM",81.8636
"2011-07-22:12 AM",83.2368
"2011-07-23:12 AM",84.9187
"2011-07-24:12 AM",80.1444
"2011-07-25:12 AM",82.7407
"2011-07-26:12 AM",83.4897
"2011-07-27:12 AM",81.4221
"2011-07-28:12 AM",80.4231
"2011-07-29:12 AM",76.9739
"2011-07-30:12 AM",81.0331
"2011-07-31:12 AM",85.2859
"2011-08-01:12 AM",89.6846
"2011-08-02:12 AM",84.1543
"2011-08-03:12 AM",75.5978
"2011-08-04:12 AM",75.3483
"2011-08-05:12 AM",75.731
"2011-08-06:12 AM",78.9145
"2011-08-07:12 AM",79.2014
"2011-08-08:12 AM",76.0869
"2011-08-09:12 AM",72.3281
"2011-08-10:12 AM",67.4526
"2011-08-11:12 AM",73.067
"2011-08-12:12 AM",75.6082
"2011-08-13:12 AM",72.1087
"2011-08-14:12 AM",72.5488
"2011-08-15:12 AM",75.1827
"2011-08-16:12 AM",75.668
"2011-08-17:12 AM",75.5265
"2011-08-18:12 AM",80.8594
"2011-08-19:12 AM",73.7949
"2011-08-20:12 AM",68.7778
"2011-08-21:12 AM",74.0655
"2011-08-22:12 AM",81.4377
"2011-08-23:12 AM",84.8235
"2011-08-24:12 AM",81.2637
"2011-08-25:12 AM",77.959
"2011-08-26:12 AM",81.9397
"2011-08-27:12 AM",79.3112
"2011-08-28:12 AM",78.5923
"2011-08-29:12 AM",71.38
"2011-08-30:12 AM",73.7726
"2011-08-31:12 AM",80.5901
"2011-09-01:12 AM",85.8096
"2011-09-02:12 AM",72.4573
"2011-09-03:12 AM",65.4238
"2011-09-04:12 AM",60.2515
"2011-09-05:12 AM",61.2756
"2011-09-06:12 AM",65.3981
"2011-09-07:12 AM",69.6349
"2011-09-08:12 AM",65.232
"2011-09-09:12 AM",65.7547
"2011-09-10:12 AM",67.7307
"2011-09-11:12 AM",71.3772
"2011-09-12:12 AM",78.2821
"2011-09-13:12 AM",69.4195
"2011-09-14:12 AM",55.4758
"2011-09-15:12 AM",42.7302
"2011-09-16:12 AM",50.6642
"2011-09-17:12 AM",55.582
"2011-09-18:12 AM",61.8579
"2011-09-19:12 AM",65.7021
"2011-09-20:12 AM",64.699
"2011-09-21:12 AM",55.9155
"2011-09-22:12 AM",54.4496
"2011-09-23:12 AM",58.2285
"2011-09-24:12 AM",65.5617
"2011-09-25:12 AM",60.9381
"2011-09-26:12 AM",60.2485
"2011-09-27:12 AM",64.1563
"2011-09-28:12 AM",67.6521
"2011-09-29:12 AM",64.7078
"2011-09-30:12 AM",56.2372
"2011-10-01:12 AM",61.4682
"2011-10-02:12 AM",65.7289
"2011-10-03:12 AM",68.6451
"2011-10-04:12 AM",73.5888
"2011-10-05:12 AM",72.3366
"2011-10-06:12 AM",69.4737
"2011-10-07:12 AM",66.7251
"2011-10-08:12 AM",60.4605
"2011-10-09:12 AM",54.9439
"2011-10-10:12 AM",54.4872
"2011-10-11:12 AM",58.0251
"2011-10-12:12 AM",57.4248
"2011-10-13:12 AM",55.5874
"2011-10-14:12 AM",52.0477
"2011-10-15:12 AM",56.7851
"2011-10-16:12 AM",53.8605
"2011-10-17:12 AM",46.5593
"2011-10-18:12 AM",44.5325
"2011-10-19:12 AM",42.2533
"2011-10-20:12 AM",41.1296
"2011-10-21:12 AM",52.0178
"2011-10-22:12 AM",53.8075
"2011-10-23:12 AM",56.478
"2011-10-24:12 AM",58.5406
"2011-10-25:12 AM",54.2989
"2011-10-26:12 AM",42.4281
"2011-10-27:12 AM",38.8405
"2011-10-28:12 AM",41.1247
"2011-10-29:12 AM",47.2881
"2011-10-30:12 AM",48.0961
"2011-10-31:12 AM",50.4108
"2011-11-01:12 AM",51.3021
"2011-11-02:12 AM",36.1463
"2011-11-03:12 AM",32.407
"2011-11-04:12 AM",37.2465
"2011-11-05:12 AM",47.5795
"2011-11-06:12 AM",43.3423
"2011-11-07:12 AM",39.6277
"2011-11-08:12 AM",37.9425
"2011-11-09:12 AM",37.3194
"2011-11-10:12 AM",37.3656
"2011-11-11:12 AM",45.5191
"2011-11-12:12 AM",49.2863
"2011-11-13:12 AM",47.9208
"2011-11-14:12 AM",46.3354
"2011-11-15:12 AM",42.586
"2011-11-16:12 AM",32.1773
"2011-11-17:12 AM",34.1544
"2011-11-18:12 AM",44.8891
"2011-11-19:12 AM",32.7798
"2011-11-20:12 AM",26.4693
"2011-11-21:12 AM",31.1806
"2011-11-22:12 AM",38.3871
"2011-11-23:12 AM",46.0297
"2011-11-24:12 AM",51.7555
"2011-11-25:12 AM",51.4326
"2011-11-26:12 AM",39.0022
"2011-11-27:12 AM",33.6326
"2011-11-28:12 AM",40.8121
"2011-11-29:12 AM",36.808
"2011-11-30:12 AM",40.5257
"2011-12-01:12 AM",31.3137
"2011-12-02:12 AM",26.2247
"2011-12-03:12 AM",28.5588
"2011-12-04:12 AM",20.581
"2011-12-05:12 AM",14.016
"2011-12-06:12 AM",11.1654
"2011-12-07:12 AM",25.3888
"2011-12-08:12 AM",24.6504
"2011-12-09:12 AM",19.4999
"2011-12-10:12 AM",26.994
"2011-12-11:12 AM",31.2525
"2011-12-12:12 AM",31.6175
"2011-12-13:12 AM",31.6107
"2011-12-14:12 AM",35.6801
"2011-12-15:12 AM",30.3273
"2011-12-16:12 AM",29.3603
"2011-12-17:12 AM",32.9011
"2011-12-18:12 AM",38.4467
"2011-12-19:12 AM",34.3335
"2011-12-20:12 AM",29.8834
"2011-12-21:12 AM",33.2404
"2011-12-22:12 AM",26.5393
"2011-12-23:12 AM",24.4267
"2011-12-24:12 AM",30.747
"2011-12-25:12 AM",32.8433
"2011-12-26:12 AM",36.5875
"2011-12-27:12 AM",34.5754
"2011-12-28:12 AM",39.0232
"2011-12-29:12 AM",47.44
"2011-12-30:12 AM",43.2441
"2011-12-31:12 AM",42.6362
"2012-01-01:12 AM",32.2329
"2012-01-02:12 AM",26.8266
"2012-01-03:12 AM",36.6607
"2012-01-04:12 AM",42.6997
"2012-01-05:12 AM",49.2006
"2012-01-06:12 AM",44.4034
"2012-01-07:12 AM",33.0242
"2012-01-08:12 AM",32.2124
"2012-01-09:12 AM",36.1359
"2012-01-10:12 AM",41.1636
"2012-01-11:12 AM",32.5395
"2012-01-12:12 AM",18.5515
"2012-01-13:12 AM",25.5475
"2012-01-14:12 AM",32.8627
"2012-01-15:12 AM",42.519
"2012-01-16:12 AM",29.946
"2012-01-17:12 AM",16.7229
"2012-01-18:12 AM",26.5375
"2012-01-19:12 AM",17.1396
"2012-01-20:12 AM",21.2009
"2012-01-21:12 AM",24.3131
"2012-01-22:12 AM",33.3383
"2012-01-23:12 AM",31.7599
"2012-01-24:12 AM",30.4237
"2012-01-25:12 AM",33.3316
"2012-01-26:12 AM",38.0737
"2012-01-27:12 AM",35.0074
"2012-01-28:12 AM",30.817
"2012-01-29:12 AM",36.3339
"2012-01-30:12 AM",47.5716
"2012-01-31:12 AM",44.8799
"2012-02-01:12 AM",40.4431
"2012-02-02:12 AM",40.7142
"2012-02-03:12 AM",36.7153
"2012-02-04:12 AM",30.4558
"2012-02-05:12 AM",26.726
"2012-02-06:12 AM",27.7513
"2012-02-07:12 AM",25.0142
"2012-02-08:12 AM",18.3596
"2012-02-09:12 AM",26.8295
"2012-02-10:12 AM",19.8347
"2012-02-11:12 AM",8.8981
"2012-02-12:12 AM",15.001
"2012-02-13:12 AM",25.8946
"2012-02-14:12 AM",31.0282
"2012-02-15:12 AM",31.8924
"2012-02-16:12 AM",30.9333
